 	ces	femmes	ont	attrapé	des	grenouilles	pendant	la	pêche	</S>
a66	0.289705	0.212365	0.133319	0.103977	0.0849419	0.0815347	0.0418001	0.0247191	0.0148471	0.0127917
a87	0.42253	0.16734	0.0765961	0.0459982	0.0363953	0.0421825	0.0519052	0.0485299	0.0513235	0.0571996
a23	0.36783	0.134837	0.0920354	0.0835903	0.0623095	0.0576088	0.0454465	0.0397321	0.0497775	0.0668325
a40	0.210606	0.0989606	0.0867056	0.0941269	0.0885498	0.0872622	0.0596114	0.0568983	0.0827271	0.134552
a5	0.327349	0.176126	0.102696	0.0921443	0.0704733	0.0659733	0.0490314	0.0408709	0.0362549	0.0390805
a61	0.255259	0.273504	0.209879	0.111716	0.0483233	0.0328597	0.0150689	0.015306	0.0179775	0.0201065
a12	0.20714	0.235931	0.213404	0.151531	0.0748165	0.0501668	0.0199158	0.0162883	0.0154039	0.015402
a96	0.155004	0.195932	0.191532	0.159296	0.103626	0.0806962	0.0365294	0.0255685	0.0251099	0.0267052
a70	0.100029	0.157916	0.181282	0.171726	0.124988	0.102972	0.0515625	0.0351606	0.0356175	0.0387465
a98	0.0746065	0.136608	0.18033	0.178885	0.134002	0.110765	0.0592064	0.0394203	0.0404242	0.045753
a47	0.0665171	0.116703	0.150966	0.139002	0.114701	0.102543	0.0720643	0.0604568	0.0751509	0.101895
a36	0.077634	0.113182	0.145657	0.142527	0.124376	0.103273	0.0622204	0.0504251	0.0696743	0.111032
a37	0.0639341	0.0916095	0.119745	0.14716	0.154238	0.138323	0.0712707	0.0547297	0.0672661	0.091723
a75	0.0618731	0.0905334	0.113353	0.130209	0.149714	0.153727	0.0896569	0.0591807	0.0656225	0.0861298
a6	0.0435692	0.06132	0.0621187	0.0664332	0.0989828	0.127024	0.12169	0.115153	0.132503	0.171206
a37	0.0257382	0.0386971	0.0469488	0.0615038	0.115029	0.157834	0.164727	0.119586	0.116261	0.153676
a54	0.0272488	0.0344124	0.0421758	0.0556832	0.0992902	0.146511	0.172618	0.126163	0.12544	0.170458
a6	0.00782863	0.0128602	0.015859	0.0238069	0.0532465	0.112307	0.173663	0.170691	0.190436	0.239301
a5	0.00620963	0.0104268	0.0135521	0.0211457	0.0484724	0.105086	0.196782	0.200622	0.182308	0.215396
a61	0.00559912	0.00774972	0.00969064	0.0149933	0.0291198	0.0627855	0.152056	0.189412	0.227043	0.301551
a5	0.00330757	0.0048022	0.00647192	0.0108713	0.0200995	0.0413435	0.105836	0.172172	0.270557	0.364539
a37	0.00224696	0.00282884	0.00362825	0.00670838	0.0148856	0.0276146	0.0753965	0.145255	0.288723	0.432714
a62	0.00189367	0.00253092	0.00391393	0.00812647	0.0166935	0.0249424	0.0607576	0.120307	0.290272	0.470562
a88	0.00167078	0.00247534	0.0034224	0.00611757	0.0129005	0.0218093	0.0522387	0.112897	0.285374	0.501095
a71	0.000422269	0.000704037	0.0013089	0.00240811	0.00499149	0.010105	0.0354925	0.0950354	0.292887	0.556645
a93	0.00358866	0.00309682	0.00509964	0.00831352	0.0144363	0.0255788	0.0886353	0.151175	0.273674	0.426403
a90	0.00041056	0.000590559	0.00103071	0.00218544	0.0055151	0.0115105	0.0413818	0.111704	0.311461	0.514211
a69	0.000296223	0.00046734	0.000807837	0.00170102	0.00468886	0.0100659	0.0419523	0.112944	0.300576	0.5265
a58	0.000266744	0.000413433	0.000737384	0.00149971	0.00360299	0.00704757	0.0254834	0.0735063	0.273023	0.61442
a82	0.000704652	0.000767937	0.00147948	0.00235359	0.00455996	0.00804478	0.0436385	0.119586	0.290995	0.52787
a87	0.0428276	0.0348716	0.0399024	0.0399146	0.0442625	0.0510417	0.110863	0.138781	0.199612	0.297924
a23	0.359987	0.139113	0.0808465	0.0473173	0.0384711	0.0379029	0.0560227	0.0645242	0.0804104	0.0954047
a87	0.131964	0.0486623	0.0268313	0.0186736	0.0161121	0.013947	0.0318127	0.0751152	0.259111	0.377771
</S>	0.0184709	0.00683842	0.00449509	0.00378325	0.00432415	0.00510937	0.0214901	0.0670234	0.294688	0.573777
