 	chacun	a	sa	manière	de	se	prosterner	</S>
a66	0.270626	0.182083	0.167016	0.146506	0.110772	0.0577429	0.0363267	0.0289286
a87	0.251623	0.22149	0.197883	0.171954	0.0836728	0.0394779	0.0198557	0.0140434
a23	0.45376	0.26524	0.135827	0.0709175	0.0317202	0.0210491	0.0109645	0.0105216
a87	0.53602	0.258078	0.11236	0.0446017	0.0173142	0.0110923	0.00858509	0.0119487
a23	0.538513	0.260635	0.113141	0.0481295	0.0175909	0.00981793	0.00577124	0.00640087
a83	0.521926	0.229645	0.104056	0.0498039	0.0267781	0.0228817	0.0205313	0.0243772
a93	0.394187	0.201454	0.118683	0.0682849	0.0420432	0.049869	0.0628499	0.0626284
a56	0.410847	0.227984	0.124567	0.0792999	0.0390036	0.0376045	0.0435069	0.037187
a92	0.293512	0.201336	0.135347	0.0992714	0.0550742	0.056468	0.0867214	0.0722703
a79	0.151902	0.11894	0.104445	0.0883759	0.0746032	0.0880571	0.187927	0.18575
a56	0.14123	0.121012	0.117509	0.103598	0.0922186	0.093542	0.162942	0.167947
a69	0.214132	0.181196	0.162949	0.128127	0.0771858	0.054151	0.0835333	0.0987258
a54	0.145828	0.136645	0.141898	0.120749	0.105734	0.0764539	0.115161	0.157531
a6	0.0895683	0.0891556	0.112267	0.114718	0.131209	0.0940528	0.140133	0.228896
a5	0.107115	0.106604	0.130902	0.135609	0.143894	0.0893145	0.111727	0.174834
a61	0.123893	0.11749	0.154177	0.156611	0.159912	0.0843037	0.0874016	0.116212
a47	0.101209	0.0872101	0.122222	0.129893	0.192082	0.114659	0.108574	0.144152
a88	0.124154	0.108027	0.129045	0.120558	0.206048	0.109795	0.0866896	0.115684
a66	0.0999732	0.0804577	0.0984877	0.0905321	0.17608	0.125434	0.124788	0.204247
a93	0.0798767	0.0650735	0.0853397	0.0796283	0.159067	0.145198	0.143668	0.24215
a56	0.0460504	0.0360486	0.0467051	0.0439259	0.117659	0.156703	0.20536	0.347548
a61	0.0142756	0.0119312	0.015324	0.0162131	0.0609135	0.132425	0.266844	0.482073
a56	0.0153254	0.0117103	0.0144164	0.0132454	0.0360851	0.088107	0.238007	0.583103
a90	0.00459226	0.00379157	0.00520158	0.00579482	0.0211072	0.0757312	0.24636	0.637421
a56	0.0040716	0.00334189	0.00431301	0.00439663	0.0157068	0.0602482	0.230509	0.677413
a34	0.00347826	0.0031025	0.0040608	0.00417209	0.0136774	0.0508293	0.20852	0.71216
a21	0.00257613	0.00283797	0.00415957	0.00469807	0.014913	0.0584513	0.197248	0.715116
a98	0.00332329	0.00329142	0.00452242	0.00520561	0.0150698	0.0623674	0.176922	0.729299
a92	0.00132302	0.00156078	0.00243118	0.00334588	0.0122817	0.0503246	0.162645	0.766088
a56	0.0017155	0.0018972	0.00267124	0.00353821	0.0117621	0.0487967	0.161238	0.768381
a44	0.00329527	0.00391866	0.00566244	0.00738975	0.0240013	0.0784679	0.203349	0.673915
a26	0.00444527	0.00529849	0.0074478	0.0106195	0.0332275	0.0957638	0.210514	0.632683
a82	0.0615433	0.0588972	0.0719124	0.0840641	0.123775	0.166248	0.165108	0.268452
a87	0.217962	0.166332	0.147721	0.128982	0.102349	0.100735	0.059709	0.0762091
a23	0.199973	0.182861	0.177799	0.151848	0.101829	0.0949533	0.0431662	0.0475713
a87	0.0854862	0.0856422	0.0846241	0.0901856	0.0971523	0.165093	0.163906	0.22791
a23	0.0316286	0.0336229	0.0386181	0.0477041	0.0912154	0.151636	0.21101	0.394565
a87	0.0474788	0.0509734	0.0584158	0.0721037	0.126668	0.18806	0.189949	0.266352
a10	0.0258404	0.0311402	0.0409181	0.0564658	0.126381	0.213489	0.230473	0.275293
</S>	0.0488243	0.0537185	0.0651439	0.0854024	0.143004	0.197246	0.184651	0.22201
