 	on	fabrique	le	masque	avec	le	bois	qu'	on	appelle	otombá	</S>
a84	0.133808	0.127491	0.157589	0.106799	0.0701646	0.0839986	0.127992	0.0831858	0.0517495	0.0266683	0.0183239	0.0122306
a87	0.164793	0.115264	0.0492034	0.0466732	0.0485083	0.0735332	0.117791	0.119638	0.101667	0.080453	0.0425775	0.0398977
a10	0.199894	0.103769	0.0749187	0.102123	0.0569849	0.0819945	0.0823815	0.0688982	0.0496175	0.0611859	0.067076	0.0511567
a87	0.226146	0.137101	0.116555	0.110276	0.0441585	0.0647471	0.056126	0.0449143	0.0442141	0.0559779	0.0636733	0.0361109
a23	0.173597	0.111617	0.0941453	0.107438	0.0457907	0.0754086	0.0743525	0.0569931	0.0547201	0.0724362	0.0862137	0.0472881
a50	0.182591	0.0781879	0.0816862	0.0807838	0.035491	0.0614496	0.0843232	0.0693515	0.0778298	0.104117	0.0965459	0.0476434
a88	0.238387	0.127707	0.185927	0.0994489	0.0356725	0.0490458	0.0581339	0.0431704	0.0405308	0.052533	0.0460879	0.023357
a0	0.197241	0.145867	0.25985	0.152179	0.0608832	0.0514271	0.0380565	0.0290189	0.0203384	0.0178073	0.0149698	0.0123619
a62	0.135771	0.114508	0.202822	0.173252	0.0880052	0.0744027	0.0542625	0.0439671	0.0296206	0.0270813	0.0278479	0.0284611
a21	0.0462683	0.0557883	0.124652	0.212168	0.173577	0.141443	0.103247	0.0696347	0.0327331	0.0180344	0.0115159	0.0109379
a5	0.0371367	0.0431594	0.0894643	0.183202	0.197104	0.176784	0.128438	0.0736404	0.034132	0.0164794	0.0106097	0.00984955
a98	0.0265803	0.0313509	0.0574282	0.119596	0.199236	0.199797	0.14755	0.0903313	0.0511031	0.0322189	0.0233748	0.0214333
a47	0.0306493	0.0407529	0.074409	0.117214	0.156	0.170741	0.134178	0.0954574	0.0609432	0.0472642	0.0332913	0.0390994
a36	0.0159074	0.0166659	0.0239828	0.0416391	0.101355	0.143059	0.153051	0.127307	0.0976321	0.0926331	0.0756624	0.111105
a98	0.0105978	0.00908586	0.00826778	0.0147616	0.0497544	0.0737999	0.093378	0.0958938	0.107353	0.139406	0.18017	0.217532
a47	0.00400814	0.00449811	0.00553217	0.0115116	0.0460248	0.0761658	0.100296	0.0984463	0.110238	0.157921	0.178438	0.20692
a98	0.00131823	0.00108523	0.0010431	0.00207168	0.0126758	0.0266649	0.0431843	0.0584446	0.104673	0.180837	0.229351	0.338651
a79	0.00153943	0.00138253	0.00142636	0.00259839	0.0147639	0.0302726	0.059108	0.0846223	0.147731	0.216859	0.217228	0.222468
a90	0.00209318	0.00155539	0.00128172	0.00165097	0.0062733	0.015306	0.0371917	0.0623057	0.130807	0.208138	0.261933	0.271464
a44	0.000650666	0.000483022	0.000408132	0.000581426	0.00298228	0.00773103	0.0207723	0.0454008	0.111462	0.212349	0.274064	0.323116
a93	0.000930935	0.000573481	0.000396167	0.000609096	0.00278256	0.00672168	0.0164449	0.0347229	0.0907264	0.186138	0.275558	0.384397
a4	0.00048906	0.000278975	0.000148845	0.000235154	0.00112892	0.00270762	0.00721808	0.0189523	0.0616314	0.169667	0.288955	0.448588
a15	0.000558317	0.000265756	0.000133825	0.000261024	0.00103275	0.00244518	0.00598716	0.013899	0.0405437	0.144714	0.330177	0.459983
a7	0.000436088	0.000247404	0.000130403	0.000303413	0.000877856	0.00167826	0.00302495	0.00737042	0.0234198	0.110572	0.386286	0.465653
a26	0.000457081	0.000230698	0.00010888	0.000290646	0.000841428	0.00176864	0.00318795	0.00756144	0.0214575	0.112805	0.371964	0.479327
a3	0.0101469	0.00402045	0.000964494	0.00172403	0.00344389	0.0064724	0.0135448	0.0258643	0.0553773	0.147528	0.314462	0.416451
a99	0.0407606	0.0274085	0.00926356	0.00969568	0.0102962	0.0161875	0.0243741	0.0332954	0.0616272	0.110029	0.273999	0.383063
a97	0.0395617	0.0283348	0.0109912	0.01113	0.0108903	0.015304	0.0199343	0.0292112	0.0652486	0.124558	0.263655	0.38118
a99	0.0202082	0.0155909	0.00893824	0.0107985	0.0133507	0.018973	0.0228508	0.0309481	0.0677429	0.137245	0.265989	0.387365
a97	0.0075515	0.00489525	0.00297402	0.0053544	0.00751607	0.0119664	0.0175623	0.0299055	0.0634452	0.126891	0.235018	0.48692
a99	0.00569731	0.00393893	0.00321246	0.0072873	0.0115295	0.0219422	0.0289514	0.041871	0.0659465	0.113728	0.194267	0.501628
a97	0.00675106	0.00529105	0.00503571	0.0114489	0.0173995	0.029517	0.041813	0.0601926	0.0860896	0.130894	0.187816	0.417751
</S>	0.00961406	0.00693038	0.00597388	0.0162967	0.0268334	0.0487098	0.0555283	0.0703041	0.0907407	0.118507	0.172335	0.378226
