 	l'	enfant	s'	est	blessé	au	nez	</S>
a23	0.38378	0.21749	0.117233	0.0838963	0.0673983	0.0511333	0.0401512	0.0389183
a79	0.481621	0.21002	0.0965675	0.0714195	0.0524171	0.0327137	0.0231171	0.0321242
a54	0.462252	0.171072	0.0608369	0.0356736	0.0327969	0.0484938	0.076072	0.112804
a36	0.543092	0.218447	0.085767	0.0405441	0.0256373	0.0276364	0.0269415	0.0319342
a6	0.378687	0.222693	0.144772	0.0877708	0.0522669	0.0408755	0.032914	0.0400208
a37	0.244115	0.159934	0.136491	0.112783	0.0972101	0.0944552	0.0763521	0.0786599
a26	0.194263	0.154052	0.162727	0.143773	0.121161	0.0900193	0.0660073	0.0679966
a90	0.150154	0.159536	0.195526	0.177571	0.122678	0.0749843	0.0576507	0.0619003
a56	0.0885872	0.106565	0.147221	0.157934	0.150857	0.128705	0.108524	0.111608
a90	0.0614392	0.0751907	0.120488	0.160688	0.19604	0.165803	0.116289	0.104062
a4	0.0522665	0.0687215	0.111073	0.145303	0.180508	0.189239	0.143838	0.109051
a44	0.0363802	0.0522637	0.0932135	0.148574	0.212511	0.196467	0.142485	0.118106
a56	0.0311942	0.0431856	0.0760423	0.131345	0.219208	0.213301	0.155677	0.130046
a96	0.0223398	0.0314686	0.058006	0.101687	0.198882	0.240684	0.191047	0.155886
a44	0.015615	0.0188905	0.0338527	0.0734468	0.20174	0.257159	0.202579	0.196717
a98	0.0161946	0.0192982	0.0305369	0.0570027	0.157662	0.258392	0.235487	0.225426
a15	0.0183244	0.019315	0.022911	0.0345448	0.103158	0.229102	0.274636	0.298009
a7	0.00796599	0.008204	0.00966117	0.0149616	0.0479164	0.167984	0.322296	0.421011
a2	0.00350005	0.00450703	0.00604579	0.0117638	0.0361806	0.123249	0.292104	0.52265
a57	0.00871715	0.00699839	0.00902794	0.0156124	0.0391558	0.106337	0.204199	0.609952
a87	0.0479414	0.0262158	0.0217836	0.0254695	0.0451086	0.131829	0.253798	0.447854
a23	0.226668	0.12506	0.0718164	0.0546134	0.0663517	0.105476	0.162426	0.187588
a87	0.097167	0.0533772	0.039673	0.0449075	0.0968976	0.211645	0.267243	0.189089
</S>	0.0263121	0.0216896	0.0203385	0.0255701	0.0551272	0.146112	0.325278	0.379572
