 	l'	enseignant	a	classé	les	élèves	en	groupes	</S>
a82	0.351402	0.113876	0.097713	0.0715302	0.096366	0.105542	0.0656529	0.0526894	0.0452282
a10	0.197627	0.165364	0.16272	0.140227	0.131543	0.0787156	0.0489624	0.0383003	0.036541
a90	0.327381	0.251161	0.207963	0.0783082	0.0533758	0.0307734	0.019341	0.0154365	0.0162601
a56	0.315056	0.25443	0.202743	0.108308	0.0493695	0.0181896	0.013646	0.0143177	0.0239398
a62	0.402734	0.23407	0.13925	0.100622	0.0516698	0.0269849	0.0170453	0.013406	0.0142171
a21	0.306892	0.293368	0.171731	0.125827	0.0400967	0.0173364	0.0129024	0.0141038	0.0177416
a47	0.244302	0.285883	0.17512	0.163571	0.0531459	0.0236814	0.0179373	0.0168499	0.0195092
a31	0.188668	0.284609	0.225321	0.147319	0.0573955	0.0299067	0.0214577	0.0194693	0.0258535
a21	0.157795	0.258341	0.197303	0.189586	0.0797509	0.0345478	0.0227641	0.0247696	0.0351427
a85	0.126503	0.228304	0.206116	0.199268	0.099194	0.0428183	0.0280662	0.030438	0.0392918
a5	0.0673885	0.142405	0.178329	0.147195	0.095924	0.0665755	0.0656006	0.103873	0.13271
a61	0.0527198	0.139968	0.178552	0.173721	0.137117	0.077358	0.0577049	0.0803297	0.10253
a31	0.0314879	0.0807273	0.107963	0.116995	0.167573	0.12982	0.0861104	0.121033	0.15829
a88	0.0139665	0.0536474	0.0786229	0.0928855	0.167782	0.183139	0.119835	0.133212	0.156909
a98	0.00754639	0.0238298	0.0329295	0.0364117	0.0747966	0.137489	0.18205	0.252987	0.25196
a85	0.00830852	0.0211677	0.0281711	0.030817	0.0562974	0.108668	0.143288	0.24015	0.363133
a37	0.00474754	0.00983753	0.0123528	0.0172268	0.0468769	0.109212	0.158781	0.252209	0.388757
a75	0.0053357	0.0138649	0.0160682	0.0156139	0.0204547	0.0545098	0.119721	0.273972	0.480459
a37	0.00192183	0.00717876	0.00831844	0.0121316	0.0295097	0.0931582	0.161278	0.265942	0.420561
a24	0.00126551	0.00485247	0.00603269	0.00849154	0.0142628	0.0582881	0.135373	0.307186	0.464248
a61	0.000736407	0.002446	0.003324	0.00645423	0.0132844	0.0512762	0.138765	0.337876	0.445837
a18	0.00131731	0.0039055	0.00541089	0.0108951	0.0227267	0.072538	0.166877	0.328884	0.387445
a38	0.00101958	0.0015078	0.00167441	0.00290341	0.00511585	0.0300132	0.116435	0.321638	0.519692
a70	0.0025715	0.00277175	0.00269855	0.00430168	0.00773406	0.034397	0.107516	0.307563	0.530446
a66	0.000304689	0.00051237	0.000603285	0.00125892	0.00302065	0.0224204	0.124502	0.342691	0.504687
a40	0.00237627	0.00260556	0.00259544	0.00456575	0.00903855	0.0401245	0.137247	0.334347	0.467099
a26	8.68361e-05	0.000242838	0.000290554	0.00084567	0.00205379	0.0101216	0.0579067	0.283677	0.644775
a38	0.000472271	0.000672497	0.000631761	0.00201731	0.00460084	0.0235415	0.085331	0.281928	0.600804
a9	0.00262562	0.00261403	0.00217267	0.00531896	0.0101016	0.0339813	0.090266	0.260259	0.592661
a82	0.0359046	0.0246595	0.0205078	0.0336115	0.0382624	0.0644628	0.0990568	0.225666	0.457869
a10	0.115418	0.0668762	0.053052	0.0407599	0.0556885	0.072667	0.0953573	0.175835	0.324347
a82	0.104612	0.0941976	0.082466	0.044378	0.0697659	0.096251	0.123516	0.161396	0.223418
a9	0.0956381	0.0852326	0.0757587	0.0475999	0.0738178	0.100669	0.126265	0.16564	0.229379
a10	0.0680071	0.0568475	0.0506472	0.0343765	0.0688122	0.0949671	0.130556	0.18618	0.309606
a82	0.0551291	0.0485255	0.0480162	0.0353998	0.0709206	0.0969147	0.131406	0.192839	0.320849
a38	0.080072	0.0551718	0.0497825	0.033788	0.0724418	0.0855014	0.11795	0.181344	0.323949
a82	0.0322703	0.0252464	0.022563	0.0235827	0.050739	0.0752127	0.121963	0.231652	0.416771
a2	0.0457816	0.0365957	0.0379254	0.0310486	0.0610107	0.0739	0.111867	0.20124	0.400631
</S>	0.0343258	0.0256214	0.0246232	0.0252519	0.0509607	0.0706209	0.118231	0.225885	0.424481
