 	son	tirelire	est	dans	la	maison	</S>
a66	0.457993	0.199891	0.104232	0.0914282	0.0771536	0.0396125	0.0296896
a87	0.307846	0.194278	0.173545	0.120349	0.0846839	0.0610352	0.0582627
a23	0.636382	0.187155	0.0532994	0.0309067	0.0282	0.0301069	0.0339505
a83	0.602409	0.221989	0.066031	0.034175	0.0267761	0.0222414	0.0263782
a90	0.461007	0.231373	0.0975551	0.0641268	0.0573123	0.047227	0.0413996
a92	0.46501	0.349066	0.11498	0.0363466	0.0179605	0.00959448	0.00704258
a56	0.255825	0.375607	0.204995	0.084728	0.0428311	0.0202381	0.0157759
a75	0.268765	0.375965	0.190727	0.0819669	0.0391107	0.021925	0.02154
a98	0.171651	0.300152	0.224199	0.133942	0.0791297	0.047045	0.0438822
a25	0.0949643	0.20931	0.25424	0.20269	0.116226	0.0673776	0.0551931
a98	0.0477221	0.131706	0.214012	0.21089	0.148175	0.121438	0.126057
a85	0.0286736	0.0770268	0.152308	0.207904	0.206835	0.171411	0.155842
a92	0.0259629	0.0619757	0.115254	0.163973	0.205098	0.209467	0.218269
a79	0.0181572	0.029264	0.0756643	0.160672	0.229705	0.238879	0.247658
a90	0.00892409	0.0117226	0.0319659	0.0966146	0.21257	0.28485	0.353353
a56	0.00599618	0.00839694	0.0228437	0.0631758	0.16415	0.300005	0.435432
a62	0.00321919	0.00432421	0.0124573	0.0322974	0.104862	0.297902	0.544938
a88	0.00159385	0.00130774	0.00388485	0.0108152	0.0436748	0.235618	0.703105
a0	0.00191622	0.00140965	0.00371738	0.0121431	0.0465335	0.233568	0.700712
a75	0.00386024	0.00362785	0.0098116	0.0284422	0.0875099	0.263965	0.602783
a5	0.000337691	0.000495102	0.00235033	0.00724288	0.0331548	0.219209	0.73721
a94	0.000425205	0.000528609	0.00159783	0.00464999	0.0243255	0.198087	0.770386
a47	0.000833502	0.00162142	0.00618451	0.0202585	0.0826394	0.290625	0.597837
a88	0.00118362	0.00206025	0.00593394	0.0189149	0.0758912	0.290017	0.605999
a71	0.00140231	0.00244956	0.00617934	0.0156409	0.0633154	0.274702	0.63631
a9	0.0160311	0.0137267	0.0277906	0.0589543	0.139538	0.2824	0.461559
a87	0.306483	0.0900519	0.0743108	0.0847342	0.108412	0.13739	0.198619
a23	0.492426	0.14878	0.0584257	0.0543167	0.0654018	0.0794034	0.101246
a87	0.111577	0.0333509	0.028296	0.0374173	0.0739339	0.224369	0.491056
</S>	0.0100957	0.00626683	0.0126338	0.0296375	0.0914364	0.287549	0.56238
