 	il	n'	a	pas	fini	de	verser	l'	argent	de	la	dot	</S>
a23	0.347419	0.264456	0.151302	0.0730418	0.0280346	0.0172174	0.0207742	0.017798	0.0142802	0.0126949	0.0146881	0.0175354	0.0207583
a85	0.271128	0.247934	0.138107	0.0921369	0.0468739	0.0368575	0.0298593	0.0184954	0.0183818	0.0188747	0.01879	0.0233446	0.0392171
a87	0.103284	0.125798	0.120874	0.123237	0.0718454	0.0669119	0.0649432	0.0536495	0.0599852	0.0564259	0.0502473	0.0418036	0.0609942
a23	0.0943995	0.117498	0.11979	0.14358	0.0962349	0.0717166	0.0582834	0.0446296	0.0494719	0.0499562	0.0497972	0.0416641	0.0629782
a20	0.0952098	0.112069	0.106957	0.108478	0.0705585	0.0467841	0.0406485	0.0346246	0.0536884	0.067217	0.0748195	0.0722762	0.11667
a32	0.239623	0.218052	0.231644	0.147115	0.054832	0.0342456	0.01885	0.0195401	0.0155961	0.00727884	0.00524444	0.00448254	0.00349597
a76	0.158764	0.180802	0.240883	0.200804	0.094073	0.0532784	0.0246111	0.0191786	0.0124377	0.00566605	0.00391267	0.00309367	0.00249567
a94	0.138539	0.153568	0.181818	0.168975	0.111805	0.0771215	0.0419473	0.0402997	0.0296176	0.0183202	0.015676	0.011162	0.0111523
a32	0.10806	0.126226	0.148037	0.155461	0.134728	0.107476	0.0612678	0.0556248	0.0360337	0.0220337	0.019437	0.0133337	0.012282
a24	0.0712804	0.0925199	0.124905	0.157429	0.155766	0.12883	0.0812822	0.0736694	0.0429254	0.024195	0.0202395	0.0138843	0.0130738
a43	0.0361245	0.0535071	0.0787981	0.125101	0.155926	0.153249	0.11785	0.110614	0.0662489	0.0382346	0.0296929	0.0189116	0.0157427
a24	0.0272633	0.040563	0.0622353	0.116133	0.148267	0.147031	0.127513	0.111879	0.0809761	0.0481695	0.0386598	0.0259453	0.0253662
a56	0.0170911	0.0255644	0.0406804	0.087185	0.129039	0.148663	0.133669	0.133094	0.103252	0.0678287	0.0531531	0.0338908	0.0268896
a43	0.0154895	0.0244524	0.0393599	0.0849184	0.126245	0.135042	0.12737	0.133863	0.119277	0.076337	0.0541814	0.035168	0.0282963
a11	0.0110448	0.0172203	0.0274884	0.0635777	0.0948941	0.110444	0.128232	0.139695	0.13862	0.103738	0.0753194	0.0492487	0.0404772
a90	0.0089262	0.0130801	0.0204215	0.0497221	0.0818943	0.106858	0.129895	0.146227	0.14303	0.108292	0.081651	0.0600478	0.0499549
a35	0.00991592	0.0134288	0.0209613	0.0488127	0.0857259	0.106138	0.129402	0.144921	0.144643	0.107722	0.0794322	0.0599278	0.0489697
a98	0.00986916	0.0126626	0.0194989	0.0404272	0.0722147	0.0853386	0.117342	0.134906	0.144409	0.125408	0.101702	0.0803625	0.0558586
