 	j'	ai	un	fusil	pour	la	chasse	aux	éléphants	</S>
a66	0.274149	0.147793	0.0899141	0.101711	0.118242	0.133942	0.0681899	0.0317282	0.0178915	0.0164395
a87	0.386189	0.199248	0.100633	0.0613567	0.0561856	0.0614212	0.0471207	0.0322684	0.0242154	0.0313623
a23	0.533015	0.25225	0.082346	0.0349101	0.0201849	0.0162395	0.0149486	0.0121284	0.0133336	0.0206442
a87	0.449545	0.250149	0.0905676	0.0395031	0.027208	0.0188066	0.0164541	0.0200837	0.0313383	0.0563446
a23	0.460249	0.244921	0.0947722	0.0361058	0.0308889	0.0233383	0.0184887	0.0216222	0.0282399	0.0413735
a13	0.435658	0.189042	0.0725087	0.0316179	0.0289836	0.0272763	0.0281835	0.0396554	0.0589582	0.0881169
a50	0.223274	0.141186	0.0993537	0.0838	0.0740728	0.0637003	0.0587985	0.0651034	0.0810621	0.109649
a88	0.208352	0.171711	0.155851	0.149959	0.0999671	0.0649275	0.0493952	0.0337201	0.0303726	0.0357452
a50	0.0978906	0.168786	0.233345	0.237877	0.11741	0.0574882	0.0333128	0.0179991	0.0157151	0.0201762
a61	0.0556868	0.125569	0.218889	0.256594	0.140045	0.0701089	0.0421198	0.0250681	0.0261193	0.0397993
a90	0.0558292	0.118501	0.20986	0.259801	0.149379	0.0668402	0.0358295	0.0235952	0.0299293	0.0504363
a79	0.0482478	0.106181	0.187685	0.242681	0.155627	0.0849845	0.041543	0.0350224	0.0411421	0.0568867
a7	0.042682	0.086523	0.169197	0.243537	0.180691	0.104579	0.0491791	0.0374924	0.0379415	0.0481779
a54	0.0368575	0.0426336	0.0744402	0.137736	0.156622	0.119458	0.0755454	0.0739519	0.111813	0.170942
a47	0.0283114	0.0298602	0.0487237	0.105823	0.14896	0.158147	0.100909	0.0999731	0.121977	0.157314
a37	0.0175663	0.0150429	0.0291573	0.0787936	0.117422	0.147703	0.135129	0.118461	0.145079	0.195646
a44	0.0232328	0.0152447	0.0230949	0.0566733	0.0841447	0.12579	0.149275	0.131755	0.166535	0.224256
a38	0.0342524	0.0194969	0.0260602	0.0493704	0.0627487	0.101017	0.146049	0.1403	0.173836	0.246871
a10	0.0179972	0.0102086	0.0133716	0.0263566	0.038592	0.0599882	0.103136	0.160502	0.237886	0.331962
a87	0.00611775	0.00320232	0.00289915	0.0049807	0.00884445	0.0182419	0.0415618	0.134708	0.305207	0.474237
a23	0.030162	0.0178972	0.0151482	0.0207689	0.0217506	0.0325027	0.0566894	0.11469	0.241676	0.448715
a87	0.0276445	0.0151468	0.0132689	0.0208482	0.0220306	0.0465153	0.116538	0.200359	0.242522	0.295126
</S>	0.004364	0.0034578	0.00405326	0.00763771	0.0076172	0.0182471	0.0659567	0.183243	0.312955	0.392468
