 	le	pagne	flotte	sur	le	fil	du	séchoir	</S>
a66	0.264333	0.178631	0.13356	0.130452	0.111525	0.0854589	0.049803	0.0315507	0.0146871
a87	0.382853	0.221523	0.0906117	0.0605776	0.0658159	0.0826607	0.0508394	0.0257694	0.0193491
a23	0.35205	0.279407	0.147149	0.0693339	0.0581496	0.0392556	0.0215816	0.015955	0.0171186
a9	0.26909	0.283745	0.202549	0.113056	0.0728757	0.0292275	0.010066	0.00664391	0.012747
a57	0.23802	0.253355	0.209364	0.130085	0.0975648	0.037152	0.0142606	0.00921531	0.0109834
a9	0.290453	0.276985	0.184666	0.0934903	0.0832229	0.0337922	0.0154251	0.0102827	0.011682
a38	0.279878	0.246503	0.15996	0.0935134	0.0994713	0.0566657	0.028506	0.0176878	0.0178151
a5	0.22782	0.261123	0.194876	0.0989818	0.104115	0.0432261	0.0260898	0.019938	0.0238301
a12	0.170006	0.247736	0.247419	0.136502	0.104814	0.0457833	0.0216336	0.0146458	0.011461
a96	0.138486	0.211594	0.241607	0.160683	0.131998	0.0632095	0.0244467	0.0162882	0.011688
a62	0.120748	0.177642	0.223288	0.176466	0.148109	0.079546	0.0329456	0.0253808	0.0158739
a31	0.116883	0.144486	0.182224	0.180631	0.16876	0.11803	0.0438321	0.028911	0.0162427
a88	0.0985843	0.117221	0.163789	0.186577	0.175817	0.146141	0.0606168	0.0340842	0.0171689
a9	0.063228	0.090347	0.155065	0.195111	0.179733	0.163532	0.0826698	0.0451832	0.0251303
a75	0.03798	0.047695	0.0714067	0.161161	0.205224	0.204484	0.123426	0.0863418	0.0622806
a56	0.0349068	0.0466251	0.0713233	0.155228	0.177096	0.191254	0.134316	0.105813	0.0834376
a37	0.046006	0.0536674	0.0731892	0.163155	0.159182	0.188346	0.146413	0.100717	0.0693246
a44	0.020807	0.0254602	0.0397943	0.125292	0.14571	0.198881	0.191841	0.150491	0.101723
a93	0.0208176	0.022977	0.0308997	0.0997246	0.126181	0.188675	0.201484	0.182727	0.126514
a90	0.0243469	0.0229062	0.0297042	0.0819975	0.0954945	0.157756	0.201344	0.222715	0.163735
a56	0.0105757	0.0111016	0.0154009	0.042964	0.0673303	0.119569	0.169358	0.249105	0.314596
a11	0.00591307	0.00571875	0.00738523	0.0195756	0.0355104	0.072631	0.118031	0.245332	0.489903
a24	0.00273746	0.00246115	0.0026568	0.00783982	0.0167658	0.0388591	0.0810573	0.25875	0.588872
a88	0.00184367	0.00153622	0.00140132	0.00288629	0.00603279	0.016112	0.0525309	0.216839	0.700818
a38	0.000828401	0.00066504	0.000694282	0.00190889	0.00455989	0.0139827	0.0471212	0.210362	0.719877
a54	0.000536987	0.000445225	0.000498574	0.00113272	0.0025255	0.00739544	0.0295221	0.154598	0.803345
a6	0.00030838	0.000242316	0.00027517	0.000639614	0.00118499	0.00311986	0.0135786	0.110636	0.870015
a36	0.000136477	0.000107313	0.000107489	0.000243663	0.000517172	0.00180618	0.00987713	0.085966	0.901239
a37	0.00100296	0.000787439	0.000536449	0.000903852	0.00192874	0.00483386	0.0182076	0.112376	0.859423
a36	0.00133663	0.00110807	0.0008371	0.0013614	0.00283965	0.00674307	0.028619	0.163147	0.794008
a27	0.00283267	0.00231124	0.00146434	0.00206765	0.00361461	0.00811842	0.0323737	0.196013	0.751205
a57	0.0329228	0.0201241	0.0111862	0.0117233	0.0158786	0.0254183	0.0648976	0.251826	0.566023
a87	0.175303	0.091131	0.042977	0.0241932	0.0223215	0.0270467	0.0538988	0.196168	0.366961
a23	0.242965	0.14441	0.0616954	0.0293123	0.0257386	0.0314926	0.0433333	0.145677	0.275376
a87	0.10537	0.046623	0.0112084	0.00755027	0.0102895	0.026802	0.0542049	0.197806	0.540146
a97	0.018265	0.0115105	0.00613275	0.00503722	0.00653118	0.0158745	0.0334816	0.145904	0.757263
</S>	0.0463748	0.0388648	0.0253392	0.0207725	0.024712	0.0409404	0.0511955	0.158133	0.593668
