 	le	bras	fracturé	de	cette	enfant	s'	est	rétréci	</S>
a66	0.301345	0.252301	0.141425	0.0642814	0.0730887	0.0775237	0.051285	0.022852	0.00867324	0.0072241
a87	0.546623	0.323705	0.0652969	0.0164623	0.0140257	0.00910437	0.00732389	0.005891	0.00485106	0.00671681
a23	0.466502	0.272652	0.123328	0.0365208	0.02566	0.0186241	0.0148988	0.0117344	0.00979504	0.0202852
a87	0.303553	0.237756	0.132555	0.0470559	0.0390959	0.0291766	0.0318135	0.0485006	0.0546483	0.0758449
a23	0.283012	0.213703	0.173473	0.0551929	0.0568361	0.0384437	0.0463422	0.0564413	0.0386745	0.0378809
a44	0.211034	0.137797	0.104753	0.0525056	0.0628112	0.0699166	0.0895768	0.101645	0.0802476	0.0897135
a7	0.150937	0.112917	0.158321	0.10372	0.0808689	0.0717764	0.0804947	0.0879993	0.0745735	0.078392
a37	0.281234	0.249052	0.195432	0.0836585	0.0446377	0.028883	0.0327036	0.0308795	0.0246547	0.028864
a36	0.135138	0.191437	0.230999	0.134901	0.0936822	0.0539615	0.0519491	0.0450245	0.0301721	0.0327356
a79	0.0929075	0.131473	0.200921	0.163841	0.126699	0.0740235	0.0647064	0.0582684	0.0421603	0.0449991
a44	0.0630707	0.100708	0.175546	0.201682	0.165134	0.100779	0.0704589	0.0490643	0.0356198	0.0379376
a53	0.0870298	0.117906	0.195627	0.196191	0.171971	0.0849582	0.0505824	0.0341478	0.0302384	0.0313485
a54	0.084579	0.103193	0.181245	0.192828	0.170122	0.0977363	0.0576882	0.0379474	0.0350529	0.0396081
a5	0.0227565	0.0305452	0.0828379	0.171256	0.17555	0.120962	0.0953528	0.0758557	0.0951406	0.129743
a37	0.0314518	0.0344954	0.0829011	0.138679	0.175821	0.118725	0.10681	0.0872393	0.0975044	0.126372
a66	0.0192172	0.0206342	0.0537182	0.121552	0.1843	0.150382	0.135366	0.106569	0.102145	0.106117
a90	0.0236186	0.0234844	0.0423223	0.100662	0.198634	0.183784	0.144859	0.0899857	0.0854245	0.107225
a79	0.0131055	0.0129274	0.0262137	0.0647349	0.122662	0.13769	0.143811	0.134321	0.156222	0.188313
a56	0.00590349	0.00631815	0.0153513	0.0571208	0.10561	0.148854	0.163189	0.148294	0.161601	0.187758
a62	0.0075927	0.00737492	0.0149143	0.040807	0.0797056	0.134817	0.173645	0.171151	0.173145	0.196847
a47	0.00946819	0.00935423	0.0176331	0.038849	0.0705274	0.113509	0.170785	0.172314	0.183961	0.213599
a96	0.00774538	0.00876254	0.0161684	0.0361296	0.0635413	0.0967503	0.144844	0.160531	0.198326	0.267201
a88	0.00363171	0.00403373	0.00801272	0.0188837	0.0359117	0.0607795	0.112783	0.178919	0.255725	0.32132
a11	0.00228253	0.00255531	0.00484144	0.00873164	0.0158944	0.0253631	0.0515373	0.143004	0.338429	0.407361
a94	0.0018842	0.00194941	0.0033301	0.00578681	0.0114901	0.0213321	0.0417271	0.12756	0.363278	0.421662
a62	0.00117033	0.00129745	0.00226264	0.00490752	0.00952316	0.0177256	0.0307041	0.0903633	0.366958	0.475088
a88	0.00110921	0.00122552	0.00181419	0.00427597	0.00778015	0.0130889	0.022187	0.0696018	0.347861	0.531056
a62	0.000405239	0.000422472	0.000623309	0.00164977	0.00338515	0.006697	0.0126522	0.0450918	0.314068	0.615005
a47	0.000308611	0.000336207	0.00048209	0.00108858	0.00214093	0.00411166	0.00854009	0.0337205	0.29283	0.656441
a96	0.0003529	0.000351623	0.000562836	0.001457	0.00275858	0.00491643	0.00898835	0.030961	0.289886	0.659765
a88	0.00020567	0.000219244	0.000332738	0.0010178	0.0019429	0.00363441	0.00697456	0.024173	0.262552	0.698948
a0	0.000387703	0.000355028	0.000484138	0.00159096	0.002847	0.00503549	0.00929105	0.0262007	0.255325	0.698483
a11	0.00643231	0.00540519	0.00560573	0.00902366	0.00996207	0.0180169	0.0279162	0.0510073	0.23997	0.626661
a70	0.0157545	0.0131894	0.00980954	0.0148376	0.0154283	0.0255485	0.038813	0.0667553	0.244326	0.555538
a13	0.00134914	0.00133798	0.00141778	0.00409853	0.00631701	0.0126338	0.0214092	0.0481876	0.280139	0.62311
a38	0.00496959	0.00494901	0.00473294	0.00998064	0.0121374	0.0216933	0.0348192	0.066378	0.272345	0.567994
a27	0.00455346	0.00463187	0.00425388	0.00941981	0.0123768	0.0202513	0.0322418	0.0662507	0.285713	0.560307
a57	0.0329119	0.02743	0.0187591	0.0279691	0.026258	0.0452669	0.0673533	0.10066	0.22221	0.431181
a87	0.117234	0.0701165	0.0292141	0.0333637	0.0293622	0.0455161	0.0610217	0.0857069	0.186075	0.34239
a23	0.380938	0.218447	0.0581353	0.0403815	0.0335088	0.0375959	0.0386821	0.0418389	0.0569846	0.0934883
a87	0.165297	0.113125	0.031436	0.0253554	0.0195439	0.0284747	0.0373878	0.0693769	0.186964	0.32304
</S>	0.0531361	0.0403201	0.0136271	0.0162705	0.014477	0.0229427	0.038415	0.0918558	0.244081	0.464874
