 	le	pied	du	balafon	est	cassé	</S>
a23	0.285766	0.212204	0.186403	0.161729	0.0710977	0.0462407	0.0365597
a87	0.393243	0.220016	0.13913	0.134849	0.0539304	0.0325737	0.0262571
a23	0.293932	0.244488	0.132516	0.1311	0.0814377	0.0612968	0.0552296
a24	0.472076	0.275592	0.10162	0.0676406	0.036041	0.0229789	0.0240508
a12	0.539938	0.312155	0.0854378	0.0379513	0.0121606	0.00706256	0.00529482
a98	0.499728	0.32425	0.0928526	0.0498627	0.01591	0.00989316	0.00750302
a71	0.300023	0.274393	0.174511	0.145603	0.0514109	0.0296795	0.0243797
a53	0.233942	0.212816	0.178111	0.167741	0.0914907	0.0600151	0.0558829
a90	0.163406	0.204196	0.221936	0.198787	0.0838	0.0639382	0.063937
a56	0.225378	0.263579	0.243952	0.154306	0.0510715	0.0323346	0.0293797
a12	0.218042	0.252096	0.247859	0.157655	0.057979	0.0349786	0.0313901
a41	0.124853	0.159824	0.217562	0.204225	0.131882	0.0832026	0.0784517
a35	0.0997897	0.124911	0.216206	0.237211	0.136132	0.0903514	0.0953992
a41	0.0711405	0.0931359	0.187102	0.215786	0.167619	0.125741	0.139476
a94	0.0518892	0.0600682	0.127856	0.177297	0.194782	0.180199	0.207908
a41	0.0393144	0.0369622	0.0643619	0.13399	0.21398	0.228096	0.283296
a25	0.0429587	0.0389277	0.0628813	0.109676	0.220983	0.246857	0.277716
a38	0.050993	0.0398668	0.0517284	0.0969856	0.200928	0.248779	0.310719
a41	0.0344919	0.0238472	0.0301015	0.0597976	0.172164	0.277925	0.401673
a94	0.0220075	0.0165354	0.0207116	0.0419964	0.180866	0.319605	0.398279
a96	0.0194303	0.0143975	0.0170129	0.0349083	0.128117	0.291886	0.494248
a66	0.0179472	0.0123872	0.0123506	0.0236607	0.1193	0.292222	0.522133
a38	0.0260834	0.0201616	0.0252965	0.0281237	0.0986592	0.254458	0.547217
a94	0.0223201	0.0206296	0.0225835	0.0220386	0.102173	0.24796	0.562295
a96	0.0206046	0.0197242	0.0203429	0.0250312	0.120859	0.252377	0.541061
a56	0.0231534	0.0245764	0.0272531	0.0373572	0.146857	0.261022	0.479781
a90	0.0244733	0.0262048	0.0250486	0.0393998	0.144932	0.274119	0.465822
a96	0.0234676	0.0241929	0.0209419	0.0350685	0.141956	0.280932	0.473441
a69	0.0203381	0.0220327	0.0208997	0.0359885	0.139946	0.271991	0.488804
a44	0.0240268	0.0228262	0.0191862	0.031889	0.121814	0.264093	0.516165
a57	0.0243791	0.0237026	0.0210994	0.0322479	0.114906	0.252234	0.531431
a87	0.0306245	0.0302339	0.0377843	0.0446438	0.142875	0.260264	0.453575
a23	0.0153052	0.0154559	0.0186918	0.0370879	0.154957	0.277765	0.480737
a87	0.0317413	0.024314	0.0229839	0.0408674	0.141513	0.269366	0.469215
</S>	0.0127765	0.0122705	0.0144874	0.0333805	0.165384	0.281997	0.479705
