 	de	petits	enfants	ont	désacralisé	le	kyebé-kyebé	en	s'	amusant	avec	les	masques	de	cette	danse	</S>
a66	0.0738516	0.108444	0.197729	0.178681	0.0658345	0.0830198	0.0746753	0.0690844	0.0509668	0.0417332	0.0212713	0.0156612	0.00712618	0.00365314	0.00276289	0.00303137	0.00247428
a87	0.143442	0.0734492	0.0894792	0.070216	0.0603755	0.0826458	0.0627067	0.0516616	0.0491093	0.0445693	0.0261529	0.0192301	0.0146345	0.0293207	0.0376704	0.0626933	0.0826437
a10	0.0988126	0.0701758	0.065504	0.0587162	0.0357318	0.0740108	0.073587	0.0645737	0.07578	0.0981298	0.0557416	0.0510607	0.0371555	0.0340068	0.0299072	0.0326582	0.0444482
a97	0.157358	0.0799766	0.0688083	0.0468332	0.0216344	0.0579941	0.0575118	0.0524139	0.0635671	0.0672285	0.0614485	0.0617623	0.057678	0.0444972	0.0347903	0.0313078	0.0351903
a79	0.0725979	0.0451562	0.0438148	0.0326477	0.0249839	0.0813577	0.0767646	0.0661026	0.0767794	0.090621	0.0793496	0.0751725	0.0637128	0.052642	0.0416697	0.0391045	0.037523
a98	0.0654464	0.0367873	0.0435563	0.05328	0.0288544	0.106294	0.110931	0.0769749	0.0791362	0.0754255	0.0812913	0.0713731	0.0535621	0.0312554	0.0246508	0.0292887	0.0318923
a85	0.141908	0.176446	0.129567	0.0994497	0.0413293	0.0459161	0.0510833	0.048836	0.0430585	0.0451584	0.0306281	0.0325585	0.0259488	0.0219173	0.0210375	0.0238042	0.0213529
a6	0.102141	0.111175	0.0754075	0.0823675	0.0653527	0.0602598	0.0663131	0.0653297	0.0555181	0.0671133	0.0366491	0.0387432	0.0317887	0.031887	0.0339076	0.0388971	0.0371491
a98	0.101433	0.105589	0.0742767	0.104367	0.0838618	0.0667722	0.0654881	0.0619206	0.0550979	0.0663526	0.0275795	0.0281277	0.0273656	0.0246833	0.0305251	0.0367081	0.0398524
a85	0.149046	0.13316	0.0888732	0.117419	0.0793335	0.0569051	0.0452834	0.0428703	0.0395228	0.0496596	0.0198112	0.0196077	0.0203551	0.0191765	0.027689	0.039229	0.0520582
a37	0.109051	0.10677	0.0933202	0.119434	0.0963781	0.0751158	0.0592641	0.0520922	0.0493057	0.0577427	0.0230331	0.0217523	0.022245	0.0164294	0.0230337	0.0314538	0.0435786
a21	0.107621	0.120949	0.103354	0.130912	0.102312	0.0777493	0.0572166	0.0531221	0.0463491	0.0571651	0.0237462	0.0231982	0.0199991	0.0144912	0.0160041	0.020052	0.0257601
a12	0.0987192	0.122755	0.109539	0.126359	0.0903466	0.0629353	0.0543295	0.0655539	0.0490562	0.0554413	0.0335041	0.0333389	0.0220436	0.0134801	0.0155513	0.0201835	0.0268634
a43	0.0423739	0.0856475	0.081139	0.110942	0.108307	0.0741333	0.0658584	0.0795473	0.0609936	0.0667884	0.0458738	0.0461735	0.0312375	0.0194054	0.0215479	0.0261576	0.0338741
a75	0.0231664	0.0617232	0.0759969	0.112547	0.132213	0.0872552	0.0683368	0.0833694	0.0634468	0.0758668	0.0396889	0.0375499	0.0255115	0.0175612	0.022165	0.0305543	0.0430475
a85	0.0224626	0.0509569	0.0719882	0.103296	0.102994	0.0687198	0.0551983	0.0700609	0.0555922	0.0613382	0.047238	0.045473	0.0382612	0.0284939	0.0405424	0.055799	0.0815855
a0	0.0138946	0.0373927	0.0677975	0.104875	0.122191	0.0820087	0.0619808	0.0776007	0.0626292	0.0726947	0.0477767	0.0424907	0.0354396	0.0226743	0.0322563	0.0451808	0.0711166
a75	0.00705065	0.016294	0.0316739	0.0664969	0.143938	0.108825	0.0883282	0.111524	0.0920929	0.109414	0.045676	0.036311	0.0269989	0.0154123	0.0193855	0.0313858	0.0491935
a85	0.00455835	0.01118	0.0230936	0.0404502	0.0773655	0.0454301	0.0397505	0.0521381	0.0458455	0.0601494	0.0593759	0.0574382	0.0670492	0.0711465	0.0888663	0.104115	0.152047
a5	0.00919183	0.0183061	0.0324538	0.0514354	0.0690455	0.0458838	0.0363673	0.0455167	0.0395718	0.0482105	0.0524025	0.0522503	0.0594334	0.0579281	0.0776519	0.109639	0.194712
a43	0.00552792	0.0121221	0.0211975	0.0352746	0.106074	0.0710447	0.0644704	0.0842773	0.0693386	0.088402	0.0577707	0.0492903	0.0440395	0.0314154	0.0443996	0.0797864	0.135568
a47	0.00652482	0.0124333	0.0187667	0.0299401	0.0956295	0.0746957	0.0791211	0.0926256	0.0762101	0.0889264	0.0603913	0.0540457	0.0441987	0.030985	0.0412581	0.0726713	0.121577
a62	0.00599763	0.0121503	0.0204144	0.0385593	0.106339	0.0846455	0.0815799	0.0993675	0.0816781	0.0943267	0.0608184	0.0521646	0.0444033	0.0298702	0.038114	0.0576093	0.091962
a47	0.00790717	0.0163845	0.0227952	0.0355952	0.0908447	0.0701003	0.0802026	0.0977976	0.0787316	0.0882402	0.0684799	0.0626305	0.0513879	0.0377544	0.0471703	0.0590011	0.084977
a88	0.00657772	0.012665	0.01938	0.031843	0.0784864	0.0672831	0.081022	0.0966067	0.0797676	0.0859589	0.0695848	0.062673	0.0507681	0.0360661	0.0470916	0.0689334	0.105293
a0	0.00590631	0.0116635	0.0178453	0.0301899	0.0771188	0.0568512	0.0688975	0.0834983	0.0749269	0.0859181	0.072779	0.0648533	0.0562796	0.0443625	0.0569236	0.0759487	0.116038
a31	0.00480845	0.00751774	0.0118163	0.0219792	0.0624561	0.0562067	0.0709922	0.0802332	0.0749581	0.0843148	0.0734286	0.0655242	0.0530159	0.0418924	0.0570766	0.087659	0.146121
a18	0.00399448	0.00788451	0.0122225	0.0227782	0.0594087	0.04708	0.0603696	0.0697229	0.0655652	0.0772998	0.0709035	0.0645337	0.058796	0.0581134	0.0760141	0.101339	0.143974
a62	0.00342907	0.00500591	0.00873381	0.0166837	0.0370439	0.0354066	0.0453632	0.050389	0.0509817	0.0568844	0.057474	0.0504265	0.0457234	0.0529021	0.0867496	0.14645	0.250353
a12	0.00277611	0.00541995	0.00868404	0.0139779	0.0338752	0.028005	0.0382405	0.0409201	0.0409674	0.0502132	0.0488262	0.0459491	0.0440067	0.0622377	0.107316	0.176372	0.252212
a88	0.00180219	0.00394339	0.00668667	0.010965	0.0285259	0.0229299	0.0336525	0.0364802	0.0368003	0.0435431	0.0397085	0.0381832	0.0396244	0.0677621	0.120363	0.205443	0.263586
a71	0.00174388	0.00372154	0.00640847	0.00948167	0.0237261	0.020026	0.0301292	0.0319904	0.0323949	0.0369869	0.0312499	0.0298665	0.0322217	0.0609052	0.119393	0.229059	0.300696
a9	0.00290355	0.00351751	0.00523371	0.00872283	0.0203205	0.0233025	0.0373022	0.0420785	0.0408493	0.0470618	0.0480218	0.0441845	0.0405555	0.0640711	0.11328	0.184902	0.273693
a24	0.00638108	0.00657041	0.00937507	0.0109899	0.0181164	0.031834	0.0569336	0.0644284	0.0615124	0.0762942	0.113172	0.11704	0.0821065	0.0773043	0.0882564	0.0862082	0.0934771
a75	0.0113761	0.00717159	0.00700429	0.00796274	0.0151544	0.0307098	0.0469175	0.0459378	0.0430572	0.0492183	0.0636708	0.0693718	0.0550434	0.0975507	0.127656	0.143304	0.178894
