 	le	bateau	est	en	train	de	vrombir	au	fleuve	</S>
a66	0.285642	0.167829	0.101108	0.0785831	0.085153	0.0890673	0.0829204	0.056295	0.0315731	0.0218296
a87	0.482556	0.222637	0.0903102	0.0521206	0.0473173	0.0393266	0.0288497	0.0176713	0.0109151	0.00829626
a23	0.388884	0.181292	0.123905	0.0836092	0.0739098	0.0496753	0.0323928	0.0229955	0.022381	0.0209549
a40	0.270733	0.134673	0.0977039	0.0764136	0.0868831	0.0749843	0.0633791	0.0553137	0.0666424	0.0732741
a7	0.340768	0.201261	0.123575	0.0847332	0.0779575	0.0566367	0.0415823	0.0279899	0.0230829	0.0224133
a0	0.25861	0.206651	0.158537	0.121826	0.0953338	0.0609678	0.0351988	0.0251043	0.0199639	0.0178074
a75	0.177059	0.201727	0.193414	0.151894	0.099599	0.0646289	0.035314	0.027684	0.02486	0.0238208
a25	0.146891	0.206078	0.201098	0.153336	0.101115	0.0738355	0.0391174	0.0278447	0.0253315	0.0253523
a15	0.148209	0.186953	0.181723	0.142134	0.101937	0.0881252	0.0495033	0.0350115	0.0327614	0.0336426
a79	0.0715603	0.117352	0.150679	0.154022	0.135158	0.126807	0.0808117	0.0561485	0.0508292	0.056632
a20	0.0764342	0.0910423	0.119854	0.131861	0.131435	0.139752	0.0971181	0.0728921	0.0668473	0.0727642
a98	0.0291611	0.0363687	0.0653199	0.093784	0.125572	0.150956	0.131434	0.104826	0.114251	0.148327
a15	0.0328274	0.0415974	0.0676845	0.0952236	0.12937	0.169779	0.148951	0.109277	0.0972592	0.108032
a73	0.0236504	0.0306531	0.0533467	0.083732	0.122535	0.166951	0.160716	0.122349	0.110071	0.125996
a56	0.0121411	0.0135686	0.021361	0.0380416	0.0734638	0.119504	0.150601	0.145389	0.185803	0.240127
a92	0.00550565	0.00540176	0.00799413	0.0148781	0.0347058	0.0845463	0.163315	0.183535	0.235596	0.264522
a37	0.00383419	0.00422439	0.00644025	0.0119048	0.0248676	0.0568032	0.13296	0.175243	0.252761	0.330961
a75	0.00299699	0.00304798	0.00408818	0.00695236	0.0161519	0.038873	0.108898	0.177512	0.29013	0.35135
a85	0.00149338	0.00178126	0.00251425	0.00457017	0.0103306	0.0256937	0.0788521	0.149492	0.304017	0.421256
a5	0.00168335	0.00192346	0.00312893	0.0056286	0.0104229	0.0194938	0.051798	0.109317	0.283253	0.513351
a36	0.00187394	0.00205119	0.00239928	0.00349929	0.00648033	0.0150527	0.0486091	0.119297	0.296807	0.50393
a27	0.00556587	0.0074857	0.00872726	0.0126538	0.0191665	0.0339866	0.0647874	0.129318	0.263201	0.455108
a82	0.015457	0.0220832	0.0194667	0.0259366	0.0338458	0.0511633	0.0835653	0.137746	0.228151	0.382584
a87	0.155783	0.116598	0.0693105	0.0622835	0.0656674	0.0728043	0.088221	0.0952106	0.119291	0.15483
a23	0.326367	0.201456	0.106397	0.0794131	0.0708826	0.0571967	0.0493219	0.0349951	0.0350997	0.0388709
a99	0.0896498	0.0489753	0.0298146	0.0312571	0.0476022	0.0621763	0.0942463	0.130657	0.217779	0.247842
a97	0.0346177	0.0193854	0.0135065	0.015465	0.02534	0.0458071	0.0832747	0.136147	0.26727	0.359187
</S>	0.0170916	0.0121651	0.0115212	0.0158556	0.0268679	0.0461863	0.0698376	0.116064	0.264245	0.420165
