 	quand	vous	avez	bu	de	l'	alcool	de	maïs	qui	était	ivre	avant	l'	autre	</S>
a66	0.30472	0.168041	0.0719552	0.0447377	0.0557019	0.0486878	0.0525858	0.0470121	0.0507745	0.045425	0.0393854	0.022552	0.014952	0.0116288	0.0103258	0.0115151
a87	0.182672	0.17126	0.142048	0.125455	0.0966837	0.068557	0.0719836	0.0316054	0.0187145	0.0104851	0.0080148	0.0061626	0.0066869	0.0103465	0.0182896	0.0310352
a23	0.167474	0.171839	0.179326	0.158001	0.0998843	0.0616704	0.0581011	0.0280131	0.016023	0.0104769	0.00789949	0.00593641	0.005833	0.00724607	0.00958759	0.0126889
a12	0.10099	0.122173	0.204328	0.163667	0.0936508	0.0645549	0.0532713	0.0376228	0.0347157	0.0254848	0.0197429	0.0124565	0.0130726	0.0154024	0.0154827	0.0233853
a21	0.17866	0.135339	0.107947	0.0958902	0.0970004	0.083089	0.0866289	0.0635451	0.0536032	0.0286376	0.0151476	0.00844609	0.00926979	0.0113054	0.0109161	0.0145752
a61	0.152542	0.15866	0.201059	0.123052	0.101805	0.0616571	0.0447155	0.0361904	0.0351548	0.0211239	0.0137191	0.00741999	0.00753266	0.0103745	0.00946727	0.0155267
a24	0.0962032	0.11125	0.205069	0.155401	0.11831	0.0846617	0.0540791	0.0425113	0.0355082	0.0244935	0.0184279	0.0106421	0.0097731	0.0113535	0.00927732	0.0130384
a75	0.077176	0.0865612	0.184811	0.161717	0.121506	0.0957798	0.0592339	0.0534749	0.0410987	0.0301871	0.0240745	0.0148369	0.0126209	0.0126028	0.0106939	0.0136253
a25	0.0676138	0.0772272	0.149318	0.12514	0.107995	0.0833853	0.0523336	0.0482736	0.0453994	0.0444269	0.0459747	0.0331618	0.0354217	0.0305175	0.0233396	0.0304718
a56	0.0470597	0.0643365	0.118388	0.117096	0.10997	0.0936223	0.0626083	0.0654033	0.0564302	0.0464774	0.044182	0.0335731	0.0404051	0.0344107	0.0287495	0.0372879
