 	j'	écris	une	lettre	</S>
a87	0.591955	0.223107	0.0619086	0.058361	0.0646683
a23	0.664952	0.170448	0.0603385	0.0539608	0.0503002
a83	0.458129	0.29388	0.11744	0.0722524	0.0582982
a54	0.576201	0.208924	0.126335	0.0542994	0.0342395
a5	0.440295	0.292205	0.148257	0.0689337	0.05031
a12	0.285972	0.367452	0.218438	0.0832819	0.0448562
a96	0.219506	0.242302	0.333756	0.146853	0.0575834
a18	0.130847	0.139715	0.261293	0.294648	0.173497
a21	0.0783651	0.103354	0.170903	0.29866	0.348717
a12	0.126967	0.0744992	0.181741	0.307338	0.309455
a21	0.0524582	0.0403745	0.1213	0.312337	0.47353
a12	0.0610554	0.0335918	0.070342	0.218302	0.616709
a96	0.0277357	0.0207448	0.0636872	0.189712	0.69812
a18	0.020271	0.0181731	0.0695089	0.226886	0.665161
a21	0.0163753	0.0151515	0.0670973	0.224858	0.676518
a5	0.0137617	0.0128698	0.0548936	0.191056	0.727418
a43	0.00965464	0.0120143	0.0613429	0.209655	0.707333
a11	0.0106389	0.00891754	0.0402968	0.169221	0.770925
a10	0.0366483	0.0169114	0.052767	0.151105	0.742568
a87	0.131752	0.0563421	0.0678316	0.169561	0.574513
a23	0.429346	0.275944	0.0763019	0.0832231	0.135185
a87	0.119652	0.100439	0.0691397	0.157191	0.553578
</S>	0.0286212	0.0276786	0.0508363	0.20158	0.691284
