 	tu	les	as	achetés	à	combien	</S>
a23	0.381883	0.255736	0.1631	0.120151	0.0486146	0.0188742	0.011641
a83	0.254055	0.21682	0.22794	0.133253	0.0567684	0.0501114	0.0610519
a35	0.274251	0.24244	0.206925	0.138928	0.0685955	0.039512	0.0293471
a25	0.265177	0.296824	0.205595	0.147177	0.0552306	0.0214112	0.00858541
a35	0.249209	0.221479	0.1694	0.212107	0.0902703	0.0345961	0.0229392
a43	0.254829	0.226197	0.183908	0.193348	0.0829246	0.0380237	0.0207696
a75	0.266875	0.219099	0.177903	0.178919	0.0918506	0.04152	0.0238343
a41	0.237508	0.187563	0.141478	0.153804	0.134056	0.0900064	0.0555842
a35	0.143074	0.138115	0.127339	0.168606	0.187828	0.140146	0.0948922
a26	0.0879891	0.100163	0.106245	0.164948	0.225422	0.172714	0.142518
a24	0.0458759	0.0581403	0.0674067	0.110173	0.224344	0.251801	0.242259
a66	0.0385554	0.0442533	0.0520532	0.0992221	0.218922	0.263341	0.283653
a38	0.00894616	0.0102826	0.0130551	0.0319029	0.130299	0.314869	0.490645
a14	0.00860592	0.00884733	0.010376	0.0295386	0.125503	0.314963	0.502166
a44	0.0104554	0.0130094	0.0156376	0.0419229	0.123633	0.255714	0.539628
a57	0.00397853	0.00394518	0.00521016	0.0163774	0.0655344	0.214634	0.690321
a54	0.000539927	0.000693098	0.00130403	0.00735438	0.0524667	0.231809	0.705832
a41	0.000589824	0.000748836	0.00149171	0.0099649	0.0617043	0.257177	0.668323
a25	0.00124909	0.00157131	0.00241496	0.0112987	0.0411754	0.18041	0.761881
a87	0.00078077	0.000912931	0.00159658	0.0103858	0.0445486	0.194686	0.74709
a23	0.000554716	0.000916942	0.00210652	0.0104124	0.0419527	0.1879	0.756156
a87	0.00452058	0.00807513	0.0145061	0.0357396	0.085316	0.26189	0.589953
</S>	0.00537469	0.0118865	0.0171655	0.0310313	0.0671591	0.227962	0.639421
