 	la	bonne	qualité	de	sa	marchandise	a	causé	la	mévente	de	la	mienne	</S>
a66	0.0857851	0.0717151	0.0694207	0.0611835	0.0846468	0.13384	0.180333	0.126568	0.134989	0.0359092	0.00648307	0.00444984	0.00292532	0.00175207
a87	0.228982	0.0853454	0.0410954	0.0525894	0.067459	0.123656	0.152729	0.0557219	0.10176	0.0233599	0.0147628	0.0187864	0.0189668	0.0147862
a97	0.0854514	0.0482012	0.0402135	0.058342	0.0698858	0.104781	0.144644	0.0585421	0.133653	0.0450317	0.0494753	0.058223	0.0610165	0.0425381
a87	0.0632131	0.0351712	0.0602629	0.138559	0.150183	0.176041	0.139183	0.0570027	0.0600687	0.0294033	0.0288654	0.0248826	0.021054	0.0161091
a97	0.0731289	0.0410733	0.0644645	0.121922	0.123399	0.150722	0.144199	0.0619698	0.0784379	0.0340252	0.0324861	0.0290044	0.0252197	0.0199486
a87	0.0687542	0.0362688	0.0573835	0.106178	0.10284	0.140124	0.149602	0.0717508	0.0932001	0.0522324	0.0449301	0.033406	0.0243105	0.0190192
a97	0.059623	0.0326263	0.0548507	0.095304	0.0940368	0.12478	0.141352	0.0713026	0.0915991	0.0633264	0.0606054	0.0448582	0.0362995	0.0294363
a87	0.0615401	0.0364659	0.0589898	0.0958572	0.0897742	0.121751	0.133483	0.0721108	0.0928726	0.0675769	0.0619477	0.045075	0.0343615	0.0281948
a79	0.0666463	0.0366356	0.0545488	0.0814333	0.0743821	0.100466	0.131298	0.0709004	0.103355	0.0767983	0.0732925	0.0549203	0.0407289	0.0345938
a69	0.246106	0.0971129	0.0533543	0.0632361	0.045807	0.0622684	0.0933523	0.037152	0.0660854	0.0502229	0.0536681	0.0517696	0.0428473	0.0370171
a56	0.337676	0.165851	0.0727396	0.057804	0.0369758	0.0384844	0.0542993	0.0282939	0.0387212	0.0335459	0.0300393	0.0456511	0.0313954	0.0285236
a98	0.264359	0.121965	0.0757445	0.0943332	0.079085	0.0840089	0.0892775	0.041551	0.040507	0.029872	0.0191581	0.0253801	0.0188128	0.0159468
a47	0.228421	0.122083	0.0882132	0.0848428	0.0737949	0.0711735	0.0848082	0.0606762	0.0524856	0.0422876	0.0248821	0.0291203	0.020061	0.0171509
a36	0.116087	0.0861946	0.0821962	0.10355	0.115622	0.11051	0.120063	0.0834726	0.0558914	0.0387547	0.0232895	0.0264034	0.0189904	0.0189747
a37	0.0887671	0.0657786	0.0728777	0.0986844	0.124673	0.126656	0.117907	0.0777617	0.0537236	0.0435326	0.030559	0.0378191	0.0301495	0.0311107
a21	0.0666004	0.0518214	0.0614494	0.118571	0.141588	0.140617	0.12933	0.0964079	0.0616802	0.0463214	0.0230851	0.0251819	0.018802	0.0185444
a85	0.050038	0.0420203	0.0515332	0.0877784	0.113516	0.123052	0.136546	0.114923	0.0842813	0.0672555	0.0317621	0.0348975	0.0293163	0.0330801
a15	0.020182	0.0250773	0.0484471	0.0955864	0.0998166	0.103529	0.104398	0.0811572	0.069616	0.0652918	0.0511451	0.0634688	0.0765235	0.0957608
a79	0.00988112	0.0158397	0.0329818	0.0621249	0.0916073	0.0978182	0.122201	0.0933888	0.0714882	0.0507277	0.052338	0.0733998	0.0873997	0.138803
