 	j'	entasse	l'	herbe	que	nous	avons	coupée	</S>
a66	0.38458	0.167787	0.0636209	0.073333	0.0701789	0.0866916	0.085818	0.0433995	0.0245906
a87	0.466854	0.139713	0.0262073	0.0305401	0.044323	0.0582202	0.0780525	0.0694388	0.0866515
a23	0.492515	0.189681	0.0761231	0.0776239	0.0504907	0.0340828	0.0320633	0.0235186	0.0239014
a99	0.330131	0.160499	0.112991	0.128304	0.0927988	0.0595894	0.045422	0.0307829	0.039482
a37	0.168524	0.180001	0.157699	0.168027	0.111891	0.0615345	0.0551134	0.0440276	0.0531816
a96	0.163447	0.249194	0.170792	0.151912	0.0940227	0.0551675	0.0487728	0.0343769	0.0323154
a66	0.112744	0.264695	0.226478	0.164357	0.0862685	0.0532625	0.042426	0.0259014	0.0238685
a9	0.0589492	0.141091	0.248942	0.214069	0.125494	0.0719645	0.0540315	0.0407767	0.0446824
a38	0.0438832	0.0995757	0.212475	0.215543	0.159334	0.080847	0.0551778	0.0562607	0.0769034
a93	0.0408888	0.0893966	0.227275	0.214943	0.154309	0.0843695	0.0604362	0.0579474	0.0704358
a90	0.0601578	0.0895517	0.187713	0.195608	0.178039	0.113467	0.0675153	0.0531277	0.0548201
a44	0.0561223	0.0739815	0.158466	0.164098	0.181269	0.14297	0.0939746	0.068493	0.0606258
a56	0.0323499	0.0388063	0.10202	0.124465	0.191442	0.171801	0.133072	0.102767	0.103277
a43	0.0309683	0.0324939	0.0750939	0.0998299	0.183658	0.188333	0.160428	0.118716	0.110479
a11	0.0118869	0.0128507	0.0321054	0.0453977	0.131777	0.173633	0.202123	0.192968	0.197257
a70	0.00650095	0.00686981	0.0219878	0.0301666	0.0938706	0.126211	0.215775	0.250756	0.247862
a50	0.00542271	0.00546451	0.0165251	0.023045	0.0704121	0.108224	0.20984	0.293387	0.267679
a62	0.00414766	0.00366179	0.00962039	0.0153751	0.0499007	0.0776638	0.164441	0.342002	0.333188
a93	0.00354251	0.00313077	0.00819249	0.0118985	0.0391467	0.0710851	0.157029	0.354496	0.35148
a70	0.00240222	0.00240024	0.00626294	0.00769982	0.027371	0.050777	0.126456	0.359742	0.416889
a93	0.000920227	0.000893527	0.00300185	0.00443747	0.0178301	0.0283944	0.0797155	0.324664	0.540143
a62	0.000811631	0.000722201	0.00201002	0.00401705	0.0179068	0.029161	0.0737138	0.297812	0.573846
a83	0.000919496	0.000798424	0.00164229	0.00279168	0.0110507	0.0187762	0.0490209	0.269129	0.645872
a50	0.000577293	0.000606081	0.00149656	0.00238316	0.00988236	0.0155956	0.0436475	0.244364	0.681448
a24	0.00175769	0.00175087	0.00303844	0.00359373	0.0109717	0.0178505	0.0534627	0.28253	0.625044
a0	0.00094156	0.000837155	0.00165981	0.00222419	0.00820719	0.0134395	0.0416445	0.254337	0.676709
a24	0.00221373	0.00179423	0.00295208	0.00308171	0.00995385	0.0137886	0.0462914	0.25255	0.667374
a10	0.0352727	0.0180816	0.0185068	0.0144649	0.0280452	0.0324382	0.0699524	0.219742	0.563496
a87	0.102433	0.0387472	0.0312309	0.0211198	0.0294303	0.0358019	0.0672675	0.193246	0.480724
a23	0.293534	0.0701771	0.0472457	0.0339049	0.0431031	0.0578912	0.0826781	0.145763	0.225703
a87	0.193042	0.0596131	0.0306248	0.0187674	0.0357307	0.0428321	0.0799252	0.207914	0.33155
</S>	0.115687	0.0447131	0.0238541	0.0142106	0.0266066	0.0343101	0.0746821	0.193867	0.47207
