 	nous	sommes	mouillés	par	la	pluie	</S>
a87	0.344663	0.18417	0.129692	0.0979847	0.115581	0.076552	0.0513573
a23	0.300874	0.132457	0.218298	0.112345	0.104202	0.0784679	0.0533563
a61	0.195499	0.248782	0.300001	0.0745111	0.0546625	0.0557373	0.0708071
a0	0.424127	0.298511	0.174215	0.0490433	0.0209864	0.0158421	0.017275
a75	0.370156	0.309982	0.20212	0.0577529	0.025474	0.018172	0.0163428
a85	0.347111	0.365126	0.212143	0.0339247	0.0138095	0.0124406	0.0154446
a44	0.285936	0.385944	0.230073	0.0570597	0.0191491	0.0115776	0.0102609
a90	0.294169	0.293757	0.244284	0.0832666	0.0343235	0.0249665	0.0252332
a25	0.188319	0.134292	0.205095	0.191161	0.0982199	0.0880972	0.0948167
a92	0.123213	0.0732378	0.134386	0.25559	0.179797	0.122261	0.111515
a47	0.066894	0.0459883	0.0706294	0.210207	0.222875	0.186666	0.196741
a96	0.0394439	0.0219955	0.0322066	0.176217	0.268636	0.258292	0.203209
a11	0.0489677	0.0307609	0.024514	0.0834167	0.183555	0.310413	0.318372
a90	0.0144463	0.00840076	0.00722701	0.0285744	0.102375	0.315467	0.52351
a98	0.0157988	0.00721889	0.0114953	0.0403968	0.115847	0.314247	0.494996
a47	0.00263161	0.00149217	0.00413406	0.0232456	0.0996119	0.313253	0.555632
a36	0.00466755	0.0023121	0.00804854	0.0439905	0.104218	0.275763	0.561
a57	0.00341533	0.00137757	0.0056686	0.0278229	0.102973	0.266892	0.59185
a87	0.0787461	0.0368716	0.0550266	0.0607498	0.115136	0.228643	0.424826
a23	0.137944	0.0883765	0.191937	0.122663	0.121772	0.180663	0.156644
a87	0.0422226	0.0312121	0.0697902	0.0778039	0.173071	0.308494	0.297407
</S>	0.0114026	0.0114108	0.0231714	0.0477847	0.13991	0.320781	0.445539
