 	il	a	versé	les	arrhes	sur	la	dot	de	sa	femme	</S>
a23	0.373644	0.174987	0.101051	0.0771756	0.0790324	0.0455694	0.0225104	0.0199723	0.02018	0.0234891	0.0299813	0.0324078
a87	0.289391	0.221471	0.148897	0.115403	0.0567772	0.0372846	0.0189075	0.0181839	0.0198613	0.0221305	0.0248937	0.0267995
a23	0.123532	0.123308	0.121922	0.123671	0.0936673	0.0707971	0.0540882	0.0516926	0.0555098	0.0626435	0.0618783	0.0572903
a20	0.0964401	0.101973	0.0861513	0.0605654	0.0314814	0.0395223	0.0373499	0.0571268	0.0751773	0.114789	0.137714	0.161709
a73	0.505227	0.215447	0.150141	0.0530864	0.0181578	0.0218859	0.00756959	0.00853364	0.00508021	0.00414786	0.00491663	0.00580725
a32	0.277436	0.204869	0.203181	0.125615	0.0728517	0.0495429	0.0199588	0.0153433	0.00962351	0.0081917	0.0070877	0.00629855
a11	0.251462	0.197826	0.217275	0.125663	0.0776815	0.0493181	0.0255544	0.0186228	0.011646	0.00934611	0.00797258	0.00763232
a24	0.182861	0.176539	0.210817	0.152166	0.106115	0.0624367	0.0336922	0.0231145	0.015916	0.0129913	0.0116866	0.0116645
a43	0.106764	0.133967	0.18477	0.181052	0.168025	0.100897	0.0467065	0.0253697	0.0162579	0.0121387	0.0116516	0.0123999
a11	0.0816295	0.118882	0.182078	0.206399	0.180461	0.102818	0.0435663	0.0228448	0.0159472	0.0124265	0.0142899	0.0186573
a24	0.0589157	0.0830041	0.139005	0.201127	0.195732	0.12655	0.0609049	0.0344928	0.0254669	0.0203336	0.0234715	0.0309955
a41	0.0424941	0.0677933	0.141183	0.188606	0.214427	0.157197	0.0739687	0.0402351	0.0252294	0.0148098	0.0148651	0.0191917
a12	0.0455895	0.0716364	0.116808	0.206508	0.223333	0.142017	0.0659278	0.0351715	0.0261836	0.019356	0.0204518	0.0270165
a18	0.0324526	0.0487136	0.102694	0.187253	0.214845	0.163548	0.0796957	0.0485223	0.038252	0.0270026	0.0250088	0.0320127
a71	0.0272779	0.0396841	0.0665903	0.185655	0.231081	0.182162	0.09551	0.0545283	0.042838	0.0267683	0.0218689	0.0260357
a24	0.0177084	0.0241389	0.0350934	0.153252	0.23574	0.212443	0.128653	0.0715282	0.0500397	0.0280614	0.0201462	0.0231954
a41	0.0186615	0.0283582	0.0540939	0.13981	0.182393	0.174365	0.107253	0.0778368	0.0779528	0.0575391	0.0407672	0.0409694
a37	0.0178746	0.0208611	0.0374023	0.129343	0.196899	0.16463	0.108568	0.0767844	0.072836	0.0615688	0.0520756	0.0611575
a90	0.0235211	0.0279137	0.0450784	0.117864	0.209461	0.158778	0.0939235	0.0646896	0.0662064	0.0613673	0.0583028	0.0728933
a25	0.0216899	0.0257694	0.0404931	0.101785	0.190491	0.142643	0.0957844	0.0720871	0.0767771	0.0747243	0.0696845	0.088071
a21	0.0153236	0.0161441	0.0282963	0.0784057	0.157807	0.138425	0.109685	0.0912403	0.0983876	0.09089	0.0805105	0.0948855
a41	0.0549684	0.0470703	0.0556112	0.0670663	0.137455	0.11557	0.11518	0.0938209	0.0903838	0.0806785	0.0667761	0.0754191
a35	0.0227575	0.0226704	0.0329031	0.0469841	0.0980681	0.0964811	0.107864	0.100735	0.104878	0.110527	0.112998	0.143134
a66	0.0230977	0.02251	0.034164	0.051666	0.109522	0.0975379	0.118095	0.102164	0.105432	0.107141	0.103005	0.125666
a20	0.0126681	0.0149127	0.0192005	0.0505699	0.110726	0.121721	0.150495	0.126545	0.138019	0.107319	0.0721071	0.0757161
a94	0.0175616	0.0159705	0.0221765	0.0444802	0.0734729	0.0821052	0.104557	0.0913895	0.120589	0.135523	0.13497	0.157204
a76	0.0133484	0.0135186	0.0199383	0.0428742	0.0722292	0.081622	0.108519	0.0953922	0.122037	0.130556	0.134826	0.16514
a41	0.0287016	0.0224525	0.0294602	0.0469704	0.0663081	0.068634	0.0862378	0.0768666	0.0976845	0.115711	0.150416	0.210557
a24	0.00920682	0.00976664	0.0166595	0.0303948	0.0487797	0.053916	0.0768883	0.0803903	0.119791	0.148116	0.173708	0.232382
a32	0.0072554	0.0083457	0.013313	0.0217875	0.0408753	0.0462298	0.0698888	0.0717259	0.113615	0.161522	0.191069	0.254373
a25	0.00922353	0.0108078	0.0153143	0.0250999	0.0436668	0.0476187	0.0609881	0.060287	0.100245	0.151364	0.197904	0.277481
a38	0.0054244	0.00635545	0.00837262	0.0231653	0.0442662	0.0530534	0.0740591	0.0747098	0.121434	0.148863	0.177592	0.262704
a76	0.0051967	0.00562845	0.0075362	0.019949	0.0409109	0.0544526	0.0737541	0.0728561	0.117161	0.148773	0.183082	0.270699
a73	0.0132804	0.0122286	0.0178279	0.0352033	0.0550445	0.0624508	0.072977	0.0689164	0.0961608	0.118542	0.169042	0.278326
