 	qui	a	déplumé	ces	oiseaux	</S>
a66	0.275015	0.275029	0.38847	0.0345616	0.0158686	0.0110561
a87	0.43874	0.25588	0.211618	0.0398627	0.0283103	0.0255891
a23	0.586269	0.243583	0.107785	0.0192484	0.0193128	0.0238025
a87	0.543631	0.237405	0.114605	0.0256342	0.0294654	0.0492599
a23	0.557239	0.241055	0.122201	0.0246257	0.0243383	0.0305418
a87	0.515966	0.232321	0.134485	0.031248	0.0355379	0.0504417
a23	0.473005	0.237502	0.164947	0.036811	0.0378395	0.0498943
a30	0.465285	0.263885	0.148469	0.0353355	0.0373767	0.049649
a70	0.395517	0.308973	0.173991	0.0414646	0.0378505	0.0422034
a43	0.43582	0.44804	0.0840869	0.0143242	0.0101903	0.0075388
a93	0.384815	0.431417	0.101669	0.0316653	0.0269411	0.0234925
a90	0.375046	0.448552	0.110701	0.0271644	0.0206903	0.0178464
a15	0.274926	0.454601	0.157543	0.0502321	0.0349805	0.0277177
a47	0.175473	0.399597	0.194326	0.10716	0.0685154	0.0549287
a92	0.173699	0.37385	0.216758	0.0920906	0.0752399	0.0683629
a37	0.225571	0.407877	0.179378	0.0785489	0.0604009	0.0482245
a43	0.25922	0.366089	0.234454	0.0594811	0.0420303	0.0387252
a62	0.156489	0.258755	0.329695	0.0969162	0.0777774	0.0803673
a96	0.103189	0.180867	0.33368	0.12888	0.115437	0.137947
a94	0.0835613	0.12792	0.340399	0.143223	0.134059	0.170839
a98	0.0475387	0.0575702	0.231703	0.19176	0.202985	0.268444
a85	0.0114297	0.0196336	0.11901	0.197919	0.266347	0.385661
a5	0.0109416	0.0240516	0.105663	0.21523	0.272542	0.371572
a47	0.0176155	0.0244825	0.11987	0.230845	0.271004	0.336184
a96	0.0120538	0.0141041	0.064417	0.22258	0.304635	0.382211
a75	0.00540193	0.00479463	0.0208042	0.13326	0.29421	0.541529
a36	0.000663657	0.000774413	0.00666599	0.0951427	0.267804	0.628949
a27	0.00190031	0.00128198	0.00377548	0.0465615	0.193886	0.752595
a82	0.0194835	0.0161924	0.0332894	0.107514	0.25479	0.568731
a97	0.0982053	0.0808575	0.126683	0.122072	0.190414	0.381769
a99	0.130442	0.0712948	0.156699	0.199386	0.20747	0.234708
a3	0.187177	0.094983	0.126727	0.150296	0.192913	0.247903
a99	0.132392	0.076618	0.168565	0.146592	0.199696	0.276137
a97	0.0966446	0.0768064	0.142881	0.136263	0.211597	0.335807
a87	0.129162	0.111261	0.191811	0.126704	0.176371	0.26469
a23	0.114295	0.114048	0.192302	0.131984	0.184066	0.263304
a99	0.0496305	0.0429588	0.067841	0.142332	0.260852	0.436386
a26	0.0528933	0.0580179	0.0907721	0.170105	0.262083	0.366129
</S>	0.0508979	0.0572794	0.0588793	0.153125	0.271507	0.408312
