 	j'	ai	mal	à	la	tête	</S>
a87	0.378975	0.172491	0.119208	0.118587	0.0978378	0.0678269	0.0450745
a23	0.401856	0.177906	0.11321	0.0860847	0.0745239	0.0823309	0.0640888
a70	0.349693	0.232023	0.166514	0.0947972	0.0514904	0.0529458	0.0525359
a24	0.530146	0.246184	0.102215	0.0519801	0.0298487	0.0213024	0.0183237
a98	0.443211	0.304091	0.156283	0.0572774	0.0203005	0.0107092	0.0081288
a90	0.336659	0.269435	0.185195	0.0908436	0.0495927	0.0368268	0.0314485
a25	0.213762	0.226905	0.216788	0.142677	0.0829277	0.0619063	0.0550335
a35	0.173008	0.20355	0.213598	0.168517	0.103312	0.0733138	0.0647004
a24	0.19079	0.214174	0.214718	0.17359	0.0995067	0.0609767	0.0462446
a62	0.192842	0.204583	0.200964	0.162054	0.11007	0.0731137	0.0563734
a75	0.1298	0.144576	0.168824	0.166602	0.151844	0.138303	0.100051
a41	0.126984	0.135891	0.159143	0.175499	0.163977	0.136215	0.102291
a35	0.0869189	0.0938982	0.12381	0.169988	0.196192	0.187534	0.141658
a66	0.075126	0.0802878	0.10505	0.155698	0.203737	0.205892	0.17421
a98	0.0340435	0.0388593	0.0586463	0.112861	0.200802	0.284318	0.27047
a73	0.029668	0.0321503	0.0474809	0.0985393	0.194839	0.290048	0.307275
a84	0.0318143	0.0316908	0.0434473	0.0832647	0.171066	0.302476	0.336241
a57	0.013236	0.0122696	0.0170816	0.039593	0.1175	0.287252	0.513068
a87	0.0157626	0.00991909	0.0117989	0.0283972	0.0948809	0.250397	0.588844
a23	0.0455827	0.0302048	0.0352503	0.0696871	0.15037	0.253399	0.415506
a87	0.0508819	0.0564904	0.0778098	0.115598	0.184571	0.247505	0.267144
</S>	0.0475218	0.0432016	0.0531461	0.075403	0.135004	0.253185	0.392539
