 	les	hommes	coupent	du	bois	dans	la	forêt	</S>
a85	0.346666	0.217979	0.157309	0.114791	0.0702751	0.0364347	0.0201129	0.0185413	0.0178913
a66	0.328719	0.113835	0.0857981	0.0494637	0.0715097	0.0878254	0.0827698	0.0829879	0.0970911
a87	0.225908	0.12774	0.150578	0.0881757	0.0864187	0.0672512	0.0624894	0.0768898	0.114549
a23	0.356137	0.192853	0.187459	0.0514992	0.0331413	0.0268623	0.0295047	0.0434797	0.0790645
a10	0.399501	0.145033	0.129539	0.038989	0.0363506	0.0343338	0.0436352	0.0657532	0.106866
a87	0.186572	0.0873529	0.0828945	0.026354	0.0303908	0.0416088	0.0750781	0.175034	0.294715
a23	0.214023	0.100408	0.0928307	0.0395484	0.0521316	0.0701658	0.0900072	0.135546	0.205339
a87	0.146123	0.0832495	0.0916456	0.0413863	0.0526689	0.0684127	0.103624	0.175251	0.23764
a40	0.109691	0.0553121	0.0698943	0.0411109	0.0658128	0.103588	0.141973	0.181739	0.230879
a20	0.216643	0.201399	0.117688	0.040534	0.0389069	0.0443951	0.0737016	0.121459	0.145272
a84	0.264557	0.254587	0.187915	0.0923407	0.0720626	0.0425235	0.0295476	0.0273377	0.0291297
a20	0.203479	0.245281	0.252437	0.127313	0.0637534	0.0318122	0.0224801	0.0253026	0.0281413
a73	0.140002	0.18231	0.249108	0.189796	0.10732	0.0479201	0.0276168	0.0271943	0.0287333
a58	0.152806	0.179459	0.246887	0.177892	0.0969341	0.0436725	0.0308452	0.0346291	0.0368757
a15	0.0915279	0.128231	0.243879	0.223646	0.109839	0.0496698	0.0347157	0.0522688	0.0662237
a73	0.0742168	0.103285	0.243046	0.254068	0.123223	0.0488649	0.0328615	0.051559	0.0688752
a58	0.0747311	0.104097	0.252346	0.228152	0.110252	0.0477421	0.0390886	0.0627484	0.0808436
a90	0.0324683	0.0354872	0.122786	0.200709	0.113549	0.0611066	0.0621824	0.145209	0.226502
a54	0.0328573	0.0489979	0.116251	0.155354	0.110721	0.0815427	0.0904745	0.155155	0.208645
a92	0.0337105	0.0413584	0.0675171	0.0971834	0.0915753	0.108705	0.15198	0.195984	0.211986
a41	0.0324794	0.0436857	0.0944013	0.146895	0.107561	0.0988431	0.127941	0.171923	0.17627
a27	0.0386398	0.054037	0.0963155	0.155054	0.112108	0.0967893	0.123579	0.155432	0.168047
a53	0.0460622	0.0483515	0.0894213	0.137149	0.100761	0.085391	0.0910348	0.170065	0.231764
a90	0.0288822	0.0404108	0.0782371	0.103771	0.0817149	0.0863417	0.127754	0.204341	0.248548
a4	0.0315533	0.0364914	0.0706921	0.111103	0.109967	0.118662	0.142876	0.17765	0.201005
a94	0.033605	0.0317537	0.0502427	0.0735794	0.0787962	0.102816	0.158048	0.214798	0.25636
a24	0.0273512	0.0218401	0.0351443	0.0484905	0.0485536	0.0639512	0.120985	0.25797	0.375714
a32	0.026696	0.0227974	0.0327656	0.0439966	0.0410231	0.0513485	0.114897	0.27736	0.389115
a98	0.0238897	0.0198716	0.0260006	0.0335693	0.0299055	0.0369279	0.0858608	0.278221	0.465754
a73	0.0164272	0.0132497	0.0206405	0.0319095	0.0297951	0.0396269	0.100778	0.301463	0.44611
a44	0.00540996	0.00471267	0.00858152	0.017336	0.0179545	0.0278755	0.0897994	0.324523	0.503808
a58	0.00711918	0.00555975	0.0109742	0.0206388	0.0222687	0.0298465	0.078457	0.290091	0.535044
a82	0.0049893	0.00348753	0.00649632	0.0106433	0.01264	0.017997	0.0561204	0.273251	0.614375
a53	0.00170336	0.00128782	0.00261709	0.00415336	0.00718765	0.0173294	0.0678144	0.276111	0.621796
a69	0.00828211	0.00615926	0.0106275	0.0134002	0.0149057	0.018446	0.0534725	0.270275	0.604432
a58	0.0123469	0.0072709	0.0110756	0.0123625	0.0125407	0.0157156	0.0479291	0.256224	0.624535
a82	0.00305608	0.00214645	0.00359661	0.00455354	0.00634913	0.01269	0.0472088	0.24632	0.674079
a87	0.00335346	0.00207111	0.0045837	0.00575583	0.00937279	0.0144916	0.0507671	0.213512	0.696093
</S>	0.00573262	0.00444858	0.00792961	0.0104812	0.00899484	0.00951285	0.0397427	0.215105	0.698052
