 	l'	oiseau	a	pondu	des	oeufs	dans	son	nid	</S>
a87	0.276524	0.144341	0.141221	0.0880714	0.0810622	0.0506937	0.0696727	0.0829524	0.04108	0.0243812
a23	0.316058	0.163077	0.0872328	0.0857144	0.0662521	0.0509481	0.052267	0.0617385	0.0594388	0.0572736
a83	0.151766	0.146637	0.127195	0.194685	0.163112	0.0839454	0.0455168	0.0267983	0.0233897	0.0369545
a61	0.25647	0.155304	0.114756	0.0877822	0.106637	0.0999995	0.068497	0.0442842	0.0348853	0.0313841
a75	0.322646	0.216262	0.173229	0.0725964	0.0732736	0.0741791	0.0429854	0.0137642	0.00652299	0.00454177
a43	0.251926	0.224479	0.187841	0.084287	0.0900707	0.083238	0.0412661	0.0172859	0.0107434	0.0088624
a75	0.199616	0.197917	0.178702	0.119667	0.110633	0.0974775	0.0523224	0.0224333	0.0128458	0.00838576
a85	0.17505	0.225227	0.215137	0.145513	0.134412	0.071971	0.0216615	0.00570201	0.00283055	0.0024968
a61	0.120395	0.169935	0.184727	0.202657	0.16808	0.0940624	0.03433	0.012122	0.00666577	0.00702606
a47	0.127263	0.160936	0.147908	0.1991	0.166785	0.102738	0.0522119	0.0191189	0.0109192	0.0130186
a88	0.092055	0.0934618	0.0875802	0.148823	0.172799	0.179892	0.123426	0.0502105	0.023931	0.0278221
a9	0.0774191	0.0786802	0.0726831	0.125739	0.146563	0.179041	0.155175	0.0865072	0.0423611	0.0358316
a75	0.0493827	0.0419945	0.0383361	0.0475939	0.071327	0.116985	0.166108	0.148032	0.150758	0.169483
a85	0.0561245	0.0410927	0.0396456	0.0367433	0.0501347	0.0827202	0.207219	0.223818	0.129533	0.13297
a5	0.0562892	0.037069	0.0332924	0.027256	0.0368183	0.0575311	0.141615	0.187713	0.168973	0.253442
a27	0.0940519	0.0574511	0.0489402	0.0278804	0.0321436	0.0409139	0.0906016	0.164505	0.182887	0.260625
a25	0.00899558	0.00624137	0.0043267	0.00573428	0.00910224	0.0155671	0.0448543	0.125759	0.24716	0.532259
a38	0.00565977	0.00325603	0.00209834	0.00217263	0.003862	0.00731948	0.0211386	0.0826267	0.270372	0.601495
a21	0.00336488	0.00194296	0.00128181	0.00148224	0.00283057	0.00623517	0.017632	0.0746327	0.263877	0.626721
a18	0.00284438	0.00192001	0.00137555	0.00144925	0.0033541	0.00973507	0.0265341	0.0924115	0.271694	0.588682
a0	0.00153254	0.00122068	0.000630517	0.000668086	0.00138119	0.00491745	0.0171248	0.0623663	0.232173	0.677985
a75	0.00222505	0.00183335	0.00079826	0.00118015	0.00214246	0.00627986	0.0173548	0.0492288	0.196289	0.722668
a5	0.00133142	0.000936168	0.00046779	0.000612506	0.00108083	0.00470324	0.0161064	0.0536737	0.203718	0.71737
a18	0.00324132	0.00234392	0.00124303	0.00125849	0.00240604	0.00870079	0.0204322	0.0607191	0.218987	0.680668
a61	0.000990167	0.000700366	0.000319404	0.000396537	0.000940134	0.00319062	0.0131237	0.0545917	0.223189	0.702559
a96	0.000842007	0.000548789	0.000225487	0.000242847	0.000435828	0.0015081	0.00785471	0.038022	0.187732	0.762588
a66	0.00141714	0.00104396	0.000503918	0.000464649	0.000900425	0.00423788	0.0191268	0.0615404	0.208713	0.702052
a99	0.00592483	0.00476189	0.0019498	0.00255811	0.00352657	0.00874905	0.0250438	0.0796532	0.255456	0.612376
a87	0.021783	0.018998	0.00867164	0.0111595	0.0112678	0.0155259	0.0271291	0.0600546	0.215436	0.609974
a23	0.105149	0.107842	0.0683044	0.07451	0.0511546	0.0406822	0.0415284	0.0753638	0.160907	0.274558
a87	0.0246897	0.0188084	0.0118102	0.0173247	0.0126011	0.0168585	0.0268062	0.0718987	0.229482	0.56972
a23	0.0121243	0.0109637	0.00738698	0.0135805	0.00950044	0.0171891	0.0377284	0.0856725	0.204682	0.601172
a99	0.0139368	0.0146792	0.00932853	0.0133504	0.00891382	0.0107913	0.0238694	0.0733749	0.227426	0.60433
a87	0.0175704	0.0164409	0.00912507	0.0102261	0.00816689	0.0143785	0.0325253	0.0712273	0.196221	0.624119
a97	0.0122854	0.0128009	0.00715445	0.00891246	0.00790239	0.018489	0.0355616	0.0734311	0.19493	0.628533
</S>	0.0384223	0.0369475	0.0189482	0.0207516	0.0140307	0.0217433	0.0346543	0.0659237	0.181161	0.567418
