 	notre	mère	a	attrapé	une	grenouille	dans	l'	étang	où	elle	trempe	le	manioc	</S>
a84	0.0897664	0.0839372	0.0743634	0.071138	0.0894148	0.0927621	0.106938	0.11552	0.112642	0.0840439	0.0544305	0.0128051	0.004707	0.00370293	0.00382926
a87	0.351039	0.173166	0.069891	0.0282873	0.0214534	0.0339624	0.0559396	0.0703759	0.0698791	0.0402036	0.0278845	0.0141576	0.0102361	0.0147538	0.0187708
a10	0.260352	0.15683	0.101499	0.0600084	0.05493	0.0659458	0.0608075	0.0582623	0.0527351	0.0388122	0.0261668	0.0174464	0.0125983	0.0145878	0.0190185
a87	0.217898	0.183266	0.112879	0.0796142	0.0726058	0.0751098	0.0623231	0.0593458	0.045062	0.033321	0.01792	0.00964957	0.00794877	0.00963643	0.0134195
a30	0.214956	0.170501	0.1074	0.0741353	0.0617635	0.0596031	0.0543921	0.0593036	0.0536713	0.0454813	0.028318	0.0159148	0.0133336	0.016454	0.0247721
a10	0.192721	0.160901	0.0955668	0.0711664	0.06833	0.0703676	0.0675367	0.0701142	0.0559263	0.0407731	0.0271654	0.0187914	0.0156132	0.0193606	0.0256655
a83	0.18882	0.153399	0.0935719	0.0700255	0.0657209	0.0601651	0.0583232	0.0609873	0.0556277	0.0436943	0.0332308	0.0246235	0.0247262	0.0312057	0.0358786
a53	0.193378	0.166271	0.104997	0.0592504	0.0475465	0.0480314	0.0405556	0.0365944	0.0418807	0.0336864	0.0480777	0.0699323	0.0444523	0.034609	0.0307375
a15	0.184442	0.169221	0.160125	0.104121	0.0594027	0.044947	0.0362361	0.0319341	0.0315707	0.0287239	0.0348533	0.0480564	0.0293198	0.0204989	0.0165484
a98	0.0774468	0.0764475	0.10781	0.0922732	0.069489	0.0719457	0.071159	0.0650333	0.0591272	0.0449156	0.0455667	0.0707912	0.0614412	0.0473617	0.0391917
a79	0.0520106	0.0611084	0.105535	0.100651	0.0774786	0.0837673	0.082334	0.0697013	0.0587014	0.0423218	0.0381797	0.0613777	0.0587755	0.0554998	0.0525584
a56	0.0640566	0.0651083	0.106244	0.107945	0.0828298	0.084797	0.0854765	0.0667184	0.0549961	0.0425303	0.0351083	0.0430372	0.0434943	0.0549974	0.0626611
a43	0.0711286	0.0735714	0.112334	0.120325	0.103182	0.0991614	0.0996182	0.0803498	0.0667347	0.0545279	0.0349648	0.0211901	0.0178057	0.0207986	0.024308
a75	0.0382447	0.0368812	0.072072	0.10716	0.114801	0.12935	0.126828	0.106179	0.0850387	0.0685619	0.0392106	0.0199041	0.0155886	0.0178067	0.0223725
a5	0.0202311	0.0185223	0.041497	0.0733762	0.0881851	0.107469	0.118108	0.10694	0.090653	0.0775373	0.0563621	0.0385811	0.0384434	0.0534755	0.0706185
a36	0.0117678	0.0106942	0.022846	0.0509629	0.0760231	0.101462	0.112447	0.104466	0.0878371	0.0746269	0.0586992	0.0478182	0.0540657	0.0799004	0.106384
a11	0.00869707	0.0076939	0.0154471	0.0372421	0.072576	0.100871	0.112046	0.10949	0.102867	0.0952434	0.066191	0.0388554	0.0467311	0.0788437	0.107205
a88	0.00702862	0.00612802	0.0113172	0.0261327	0.0593855	0.0968226	0.123125	0.130773	0.130179	0.11656	0.0694071	0.0291352	0.0351518	0.0654156	0.0934393
a24	0.00593406	0.00612697	0.0106773	0.0193492	0.0381477	0.0674919	0.100665	0.120529	0.142069	0.13522	0.0862027	0.0347566	0.0401989	0.0769192	0.115712
a88	0.00517751	0.00516739	0.00855383	0.0147601	0.0288919	0.0593518	0.0909805	0.110312	0.142293	0.135727	0.10994	0.046416	0.0424113	0.0797363	0.120281
a71	0.00546426	0.00542989	0.00896143	0.0156256	0.0283789	0.0527312	0.0746924	0.086909	0.102657	0.101138	0.0866751	0.054606	0.0651153	0.12493	0.186686
a38	0.00793193	0.00916998	0.0147975	0.025427	0.0477758	0.092268	0.11163	0.120352	0.133158	0.114799	0.0963515	0.0464363	0.0370796	0.0600241	0.0827986
a93	0.0111498	0.0121951	0.0162497	0.0238947	0.0459143	0.0785694	0.089943	0.100743	0.113407	0.105105	0.100626	0.0547536	0.0498713	0.0834593	0.114118
a96	0.0049521	0.00454152	0.00696213	0.0108156	0.0215311	0.03741	0.0528341	0.0621588	0.0843764	0.0960938	0.103432	0.0974313	0.0972466	0.139003	0.181211
a34	0.00341619	0.00333505	0.00519126	0.00836824	0.0168079	0.0304145	0.0453524	0.0550056	0.0694938	0.0691232	0.0685678	0.0858195	0.11788	0.18517	0.236055
a96	0.00297329	0.00273924	0.00417876	0.00710785	0.0139757	0.0245807	0.0363848	0.0438603	0.0509372	0.0487822	0.0474477	0.0785127	0.141518	0.227889	0.269112
a0	0.00221846	0.00216094	0.0032913	0.00564581	0.0108163	0.0199133	0.0281779	0.0343081	0.0361496	0.0311245	0.0291822	0.0683881	0.160442	0.260417	0.307764
a21	0.00354201	0.00387331	0.00583341	0.00986852	0.0191244	0.0403434	0.0514375	0.0574395	0.0571396	0.0413064	0.0359671	0.0540713	0.141119	0.214118	0.264816
a12	0.000884431	0.00089553	0.00115976	0.00181231	0.00352	0.00593303	0.00848423	0.0109836	0.012213	0.0105892	0.0107387	0.036392	0.178438	0.321127	0.396829
a96	0.000586276	0.000596781	0.000869778	0.00149035	0.00274428	0.00501133	0.00716639	0.00909327	0.0093436	0.0075704	0.00716729	0.0288736	0.175679	0.338167	0.405641
a70	0.000378402	0.000395016	0.000607716	0.00113479	0.00226001	0.00446385	0.00610548	0.00757693	0.00710267	0.00482934	0.00432533	0.0194504	0.147471	0.352089	0.44181
a13	0.000395374	0.000396622	0.00060941	0.0011333	0.00220474	0.00422316	0.00576909	0.0067984	0.00576566	0.00372369	0.00348488	0.0152355	0.128986	0.364257	0.457017
a3	0.000897019	0.000906715	0.00124419	0.00187187	0.00360671	0.00767905	0.00932759	0.0107551	0.010213	0.0070115	0.00623865	0.0205042	0.133928	0.337137	0.448679
a87	0.00405589	0.00350946	0.00379159	0.00488465	0.00792189	0.0131295	0.0135839	0.0164593	0.0180528	0.0146814	0.0146663	0.0459951	0.193414	0.323086	0.322768
a23	0.0585543	0.0353507	0.0289836	0.0218744	0.0240149	0.0304797	0.0308918	0.0391953	0.0459904	0.0487525	0.0671577	0.103546	0.155663	0.163276	0.146269
a99	0.0289637	0.0112358	0.00852105	0.00515109	0.00423335	0.00575964	0.00671657	0.0092966	0.0132238	0.0162465	0.0303202	0.0931261	0.173709	0.26139	0.332107
a97	0.0109571	0.00455578	0.00446411	0.00337755	0.00358765	0.00559835	0.00815884	0.0115498	0.0197846	0.0257101	0.0403601	0.0920924	0.180826	0.268287	0.320691
</S>	0.00727515	0.00301838	0.00298237	0.00267772	0.00367782	0.00745421	0.0113892	0.0158765	0.0233353	0.0223489	0.0257583	0.0556001	0.138883	0.293706	0.386017
