 	sa	manière	de	nous	apprendre	à	écrire	est	mauvaise	</S>
a66	0.248867	0.149548	0.0919388	0.0991245	0.178116	0.101028	0.0507573	0.0331937	0.0243148	0.0231124
a87	0.431703	0.204358	0.103562	0.050202	0.0563561	0.0551969	0.023627	0.0276813	0.022856	0.0244577
a23	0.543761	0.211004	0.0747198	0.0389308	0.0338335	0.023521	0.0174848	0.0194325	0.0177593	0.0195534
a87	0.407717	0.253387	0.0990278	0.0654112	0.0574617	0.0184073	0.0140565	0.0224339	0.0252011	0.0368968
a23	0.340495	0.240011	0.122728	0.094233	0.0691208	0.02291	0.0193337	0.0259425	0.0284341	0.0367921
a12	0.360998	0.258324	0.127129	0.071115	0.0442378	0.0199936	0.0168726	0.0228335	0.0307121	0.0477839
a61	0.275683	0.242572	0.133726	0.0716098	0.0450546	0.0381383	0.028692	0.0351799	0.0471136	0.0822302
a5	0.308883	0.302879	0.178801	0.0913639	0.0410046	0.0166891	0.0110494	0.0131796	0.0142153	0.0219347
a6	0.202394	0.227625	0.196372	0.126271	0.0872531	0.0348754	0.0208785	0.026646	0.0312784	0.0464058
a36	0.133228	0.148962	0.189476	0.162065	0.161364	0.0525576	0.029439	0.036968	0.0379418	0.0479997
a0	0.0915856	0.108734	0.170797	0.186712	0.20608	0.0599465	0.0357385	0.0390817	0.0493652	0.0519608
a11	0.0800772	0.088004	0.142141	0.181204	0.218044	0.0666161	0.0464825	0.0473875	0.0616614	0.0683824
a24	0.0848713	0.09151	0.151765	0.193804	0.211564	0.0758427	0.0396511	0.0352033	0.0497941	0.0659953
a31	0.0502441	0.0536463	0.10597	0.166932	0.234635	0.129254	0.0619476	0.0476696	0.0626543	0.087047
a88	0.0319458	0.0340582	0.0779038	0.159961	0.295228	0.144275	0.0688634	0.0501268	0.0629186	0.0747196
a9	0.0187155	0.0213622	0.0566913	0.134731	0.267216	0.184151	0.0964257	0.059515	0.0767194	0.0844733
a99	0.0167998	0.0138789	0.0408876	0.0835577	0.222284	0.219432	0.119977	0.0773297	0.105168	0.100686
a87	0.0241799	0.0159094	0.0260979	0.0596047	0.184994	0.229899	0.13305	0.0832223	0.102632	0.14041
a23	0.039118	0.0228411	0.0301148	0.0677238	0.167249	0.189219	0.104837	0.0828602	0.107701	0.188337
a83	0.0132368	0.00965712	0.0195856	0.0416631	0.0632594	0.0980262	0.0812865	0.10752	0.170117	0.395648
a62	0.00244884	0.002975	0.0111893	0.0263756	0.0533846	0.135268	0.100084	0.102219	0.180777	0.385279
a21	0.00724983	0.00679444	0.0144209	0.0299414	0.0557865	0.0860969	0.125193	0.125376	0.225213	0.323927
a75	0.00915554	0.00834672	0.0146287	0.0323088	0.0749143	0.0880224	0.127285	0.126421	0.207181	0.311735
a85	0.00371021	0.00422282	0.011376	0.0255518	0.0877201	0.104164	0.116962	0.137722	0.201209	0.307361
a0	0.00684533	0.0078102	0.0190565	0.0326356	0.0761627	0.0965237	0.135725	0.160351	0.207779	0.257111
a75	0.00219618	0.00226967	0.00561019	0.0116363	0.0476231	0.105438	0.154002	0.189762	0.261124	0.220338
