 	pars	d'	abord	</S>
a23	0.422716	0.282697	0.195347	0.0992392
a87	0.48791	0.230026	0.144437	0.137627
a23	0.482261	0.28166	0.140353	0.0957265
a38	0.498212	0.198379	0.132922	0.170487
a76	0.594679	0.245569	0.115507	0.0442444
a90	0.429175	0.314667	0.176816	0.0793423
a38	0.31625	0.320871	0.261348	0.101531
a30	0.30543	0.322888	0.26113	0.110552
a35	0.270605	0.29493	0.26673	0.167735
a83	0.229356	0.290956	0.300705	0.178983
a75	0.0997665	0.187012	0.36098	0.352242
a76	0.078713	0.164121	0.356007	0.401159
a44	0.0585413	0.112749	0.290182	0.538528
a57	0.034266	0.0821791	0.304744	0.578811
a38	0.0112023	0.0379963	0.203378	0.747424
a76	0.0204066	0.055339	0.236518	0.687737
a73	0.0219006	0.0828017	0.250726	0.644572
a57	0.0207303	0.0624162	0.192424	0.72443
a87	0.0690568	0.107385	0.1815	0.642059
a23	0.0875661	0.183201	0.209224	0.520009
a87	0.172049	0.276231	0.242364	0.309356
</S>	0.103314	0.225352	0.196398	0.474937
