 	ils	ont	enterré	les	feuilles	du	manguier	qu'	ils	ont	balayées	</S>
a66	0.294315	0.265998	0.178756	0.0664746	0.0436208	0.0416656	0.0383379	0.0299088	0.017764	0.00900803	0.00703378	0.00711698
a87	0.354927	0.193419	0.119601	0.079108	0.0529322	0.0394182	0.0325034	0.0242236	0.0229863	0.0191204	0.0218622	0.0398984
a10	0.253912	0.19316	0.221441	0.142931	0.0643694	0.0366579	0.0236268	0.0164072	0.0110224	0.00875194	0.00887115	0.018849
a87	0.170558	0.166635	0.235062	0.172184	0.0767579	0.0528756	0.0364559	0.0261015	0.017565	0.0146804	0.0124318	0.0186931
a97	0.165152	0.164202	0.216536	0.155024	0.0781803	0.0565246	0.0408827	0.0330446	0.0257406	0.0224335	0.0179544	0.0243266
a99	0.121187	0.12967	0.2087	0.141565	0.0904681	0.0750513	0.0535655	0.0446573	0.0379846	0.0346884	0.0287152	0.0337477
a54	0.135935	0.15659	0.219073	0.132552	0.0943954	0.0667707	0.0445728	0.0330307	0.0313598	0.029892	0.0257027	0.030127
a15	0.144742	0.181545	0.19988	0.131253	0.107647	0.0728495	0.0507199	0.0302828	0.0201708	0.0180294	0.0179686	0.0249123
a47	0.150985	0.20512	0.265838	0.139788	0.0897281	0.0618671	0.0356996	0.0164801	0.00825858	0.00773822	0.0075122	0.0109847
a36	0.111954	0.173876	0.253581	0.150471	0.107236	0.0753741	0.0440782	0.0224196	0.0122997	0.0136714	0.0133284	0.0217093
a43	0.0746421	0.127893	0.290502	0.183949	0.112189	0.0744427	0.0371498	0.0205262	0.0136088	0.017973	0.0176489	0.0294746
a31	0.0875311	0.109413	0.255403	0.200027	0.12448	0.0993971	0.0508006	0.0269154	0.0128701	0.0116006	0.00876529	0.0127965
a88	0.127135	0.117068	0.153283	0.179638	0.150389	0.124493	0.0679877	0.039284	0.0170253	0.00973174	0.00602814	0.0079363
a71	0.0604042	0.061112	0.094284	0.171408	0.189019	0.188274	0.118877	0.0653464	0.0223356	0.0114565	0.00770284	0.00978138
a75	0.0362485	0.0336258	0.054864	0.117692	0.164209	0.209889	0.174411	0.103064	0.0381415	0.0216436	0.0177134	0.0284986
a5	0.0551566	0.0366295	0.0382247	0.0595422	0.105497	0.163887	0.146285	0.125583	0.0912352	0.0742526	0.0515928	0.0521146
a0	0.0466531	0.0348748	0.0382844	0.0566281	0.0834473	0.130272	0.151629	0.14499	0.10666	0.0883239	0.0620579	0.05618
a21	0.0165719	0.0120405	0.0125113	0.033014	0.0696751	0.132813	0.178314	0.187383	0.131502	0.095727	0.065068	0.0653806
a98	0.00801886	0.00644393	0.00714212	0.0120725	0.0260852	0.058319	0.123738	0.185809	0.173603	0.159533	0.130662	0.108573
a15	0.00195099	0.0021295	0.00332945	0.00808115	0.0247521	0.0578287	0.115769	0.162249	0.161058	0.155889	0.162947	0.144016
a25	0.00308416	0.00280365	0.00293531	0.0107117	0.035064	0.0616487	0.109691	0.175304	0.198045	0.169946	0.129396	0.101371
a79	0.00272328	0.00231051	0.00289984	0.0114399	0.042367	0.0744781	0.114771	0.161425	0.179785	0.1502	0.128423	0.129178
a44	0.00370006	0.00276189	0.00267155	0.0092314	0.0294429	0.050784	0.0847785	0.155766	0.200395	0.166762	0.14779	0.145917
a98	0.00263854	0.00197247	0.00161677	0.00560568	0.0220123	0.0398337	0.0636317	0.126013	0.203536	0.202674	0.166189	0.164277
a92	0.00141196	0.00127561	0.00168941	0.00520914	0.0171253	0.0286795	0.0449461	0.0944174	0.168996	0.174263	0.21294	0.249046
a79	0.00143863	0.00131209	0.00144822	0.00375384	0.0118567	0.0222225	0.0458211	0.104532	0.183842	0.184292	0.205801	0.23368
a75	0.000811971	0.000722428	0.000728781	0.0022874	0.00895176	0.0179298	0.0374549	0.0869652	0.176378	0.20328	0.232674	0.231815
a12	0.000667289	0.0005867	0.000567832	0.00162807	0.00654493	0.0143512	0.0351656	0.0869165	0.16947	0.191163	0.229455	0.263484
a18	0.00114822	0.00102596	0.000787506	0.00167304	0.00593932	0.0142598	0.0309193	0.0674772	0.129661	0.196221	0.249212	0.301676
a62	0.00177025	0.00153056	0.00126036	0.00262173	0.00729519	0.0123729	0.0201189	0.0326072	0.0685592	0.130717	0.248505	0.472641
a21	0.00193331	0.00178952	0.00147594	0.00242601	0.00571444	0.0120056	0.0235163	0.0417141	0.0861407	0.142762	0.255078	0.425443
a92	0.0012165	0.0011075	0.000858679	0.00139141	0.00325854	0.00654903	0.0148112	0.0362141	0.0901276	0.159727	0.283407	0.401331
a90	0.000393068	0.000379007	0.000333751	0.000733598	0.00250743	0.00635909	0.0159256	0.0333038	0.0754797	0.131849	0.267866	0.46487
a79	0.000214279	0.000181431	0.000174326	0.000500575	0.00257095	0.00683777	0.0157301	0.031581	0.0730242	0.124409	0.238317	0.506459
a56	0.000467415	0.000301384	0.000251178	0.0008082	0.00339266	0.00741733	0.0147931	0.0255203	0.0586684	0.110719	0.223525	0.554135
a44	0.000686985	0.000564211	0.000418414	0.000834419	0.0027095	0.00583278	0.0139006	0.0263392	0.0617314	0.124741	0.234602	0.52764
a96	0.000634695	0.000451084	0.000355793	0.000883379	0.00311729	0.00546754	0.0104991	0.0162284	0.0370781	0.0833538	0.204073	0.637858
a37	0.000703702	0.000522355	0.000419846	0.000808879	0.00229412	0.00410599	0.00753003	0.010805	0.026093	0.0715858	0.207945	0.667186
a98	0.00170577	0.00106021	0.000712345	0.00141792	0.00364355	0.0055492	0.00804164	0.00914067	0.0232224	0.0722016	0.2204	0.652905
a47	0.000234602	0.000135049	0.000122722	0.000278352	0.00082459	0.00155755	0.00345565	0.0056509	0.0146389	0.0458578	0.167953	0.759291
a36	0.000654326	0.000353217	0.000267372	0.000426604	0.000993191	0.00168049	0.00345913	0.00630104	0.0195276	0.067351	0.202009	0.696977
a2	0.00729562	0.00422476	0.00270007	0.00426579	0.0084868	0.00902706	0.00923912	0.0101685	0.0279772	0.0826608	0.240596	0.593358
a57	0.0905013	0.0891546	0.0716388	0.0641044	0.0759926	0.0640326	0.0410632	0.0322897	0.0591363	0.0929872	0.14176	0.177339
a87	0.180457	0.123325	0.113385	0.0670859	0.0573077	0.0434503	0.0285786	0.0286626	0.0542656	0.0641271	0.0980186	0.141336
a23	0.180157	0.115877	0.109205	0.0725209	0.0562586	0.0409443	0.0321449	0.0402508	0.0718815	0.0709745	0.0792548	0.13053
a87	0.0370053	0.0207948	0.0195712	0.020473	0.0200843	0.0151064	0.0161945	0.0266997	0.0677722	0.115312	0.180036	0.46095
a97	0.0218799	0.00990864	0.00977989	0.0128861	0.0139856	0.0140447	0.018867	0.02416	0.0432124	0.0716861	0.141326	0.618264
a99	0.0592494	0.0300052	0.0381091	0.0401605	0.0397636	0.0431487	0.048819	0.0469666	0.0550032	0.0735353	0.104988	0.420252
a10	0.0281491	0.0185242	0.0297641	0.0354331	0.0365134	0.0389354	0.0456148	0.0467108	0.0618294	0.087722	0.128259	0.442544
</S>	0.0504963	0.0332169	0.0474519	0.0525498	0.0515799	0.0481883	0.0490324	0.0476258	0.0625104	0.086599	0.119794	0.350956
