 	il	l'	a	attendu	longtemps	</S>
a23	0.274594	0.200216	0.112667	0.0882774	0.157993	0.166253
a87	0.216558	0.156924	0.152261	0.131728	0.177307	0.165222
a23	0.244306	0.196669	0.177942	0.1275	0.143283	0.110299
a20	0.232051	0.20688	0.159431	0.1173	0.156784	0.127554
a41	0.381065	0.284525	0.141059	0.0961074	0.0528259	0.0444182
a27	0.397992	0.36489	0.152514	0.0530265	0.0199439	0.0116335
a2	0.312151	0.292423	0.185771	0.110328	0.0569859	0.0423421
a11	0.184477	0.214586	0.184182	0.161232	0.129533	0.125989
a24	0.215244	0.256309	0.203417	0.151785	0.0967131	0.0765321
a41	0.270529	0.248283	0.171601	0.143783	0.0921094	0.0736943
a24	0.196741	0.205589	0.177359	0.187079	0.12543	0.107802
a90	0.112052	0.114934	0.122386	0.189423	0.212239	0.248966
a69	0.108825	0.114147	0.131716	0.19986	0.215169	0.230283
a20	0.0827269	0.0957199	0.114747	0.185038	0.247825	0.273943
a41	0.0438195	0.0577321	0.0821173	0.146177	0.297587	0.372568
a30	0.0245155	0.0290284	0.0422684	0.108354	0.290127	0.505707
a2	0.0223865	0.0242252	0.0295687	0.0792638	0.257052	0.587503
a57	0.00758347	0.00913585	0.0141706	0.0487136	0.22286	0.697536
a76	0.0201074	0.0180566	0.0221577	0.048548	0.214083	0.677047
a94	0.00919646	0.0116362	0.0195297	0.0595938	0.216611	0.683433
a76	0.00458259	0.00553083	0.0107807	0.0400354	0.185963	0.753108
a73	0.00904676	0.0108151	0.0180042	0.0501044	0.195211	0.716819
a14	0.00282127	0.0038873	0.00860686	0.0383415	0.204259	0.742084
a30	0.00656356	0.00750809	0.0135874	0.0479253	0.221023	0.703393
a2	0.00974681	0.0109875	0.017334	0.0484111	0.228095	0.685426
a57	0.0188943	0.0241762	0.0436356	0.0945018	0.230481	0.588311
a87	0.0800518	0.0743723	0.0811744	0.114103	0.227092	0.423207
</S>	0.0168297	0.0194716	0.0334695	0.0841441	0.242694	0.603391
