 	c'	est	un	homme	bourru	mais	brave	</S>
a23	0.150737	0.124209	0.10248	0.130231	0.211927	0.134659	0.0792346	0.0665217
a40	0.199655	0.216068	0.15954	0.195538	0.11183	0.052704	0.0352159	0.0294491
a6	0.270351	0.143375	0.0791958	0.0540037	0.080223	0.104151	0.141323	0.127377
a37	0.445861	0.253843	0.128697	0.0610282	0.0503787	0.0292519	0.016741	0.0141986
a75	0.295253	0.281731	0.222262	0.112043	0.0500937	0.0180278	0.0100493	0.0105407
a98	0.267583	0.276791	0.236049	0.102188	0.0526762	0.0315926	0.0174347	0.0156856
a85	0.168374	0.210607	0.252434	0.15578	0.0945368	0.0514925	0.0348838	0.0318914
a75	0.119193	0.147727	0.210133	0.17061	0.118574	0.0874562	0.0790314	0.0672745
a85	0.106819	0.130687	0.199937	0.173228	0.0978327	0.090077	0.106412	0.0950068
a37	0.0607749	0.0660808	0.0979291	0.141883	0.134334	0.123645	0.194948	0.180404
a85	0.126918	0.115645	0.130247	0.221346	0.188615	0.0818852	0.0711059	0.064238
a37	0.0968795	0.0835561	0.0912749	0.153082	0.154842	0.11291	0.165571	0.141884
a75	0.132623	0.109532	0.105808	0.161937	0.156513	0.107611	0.123355	0.102621
a85	0.0817427	0.0580352	0.0560967	0.078436	0.0754981	0.0935033	0.259473	0.297215
a37	0.0894814	0.0578618	0.0534837	0.0742469	0.091019	0.109659	0.268197	0.256051
a61	0.058757	0.0456545	0.0432956	0.0665831	0.0734113	0.107566	0.316264	0.288469
a88	0.0696127	0.0589589	0.0549516	0.075916	0.0769982	0.108842	0.285983	0.268738
a66	0.0215979	0.0195685	0.0240589	0.0492399	0.065269	0.11544	0.365989	0.338837
a75	0.0097622	0.00796276	0.00803379	0.0181878	0.024426	0.0692698	0.341606	0.520752
a85	0.0106254	0.00875943	0.00932797	0.0162635	0.0245448	0.0626356	0.379689	0.488154
a37	0.0191597	0.012972	0.0124146	0.0169768	0.0224792	0.0574349	0.378505	0.480058
a85	0.00793597	0.00682095	0.00816873	0.0170766	0.0254189	0.0828471	0.389593	0.462138
a30	0.0116505	0.00854004	0.0090806	0.0136973	0.0225292	0.0788474	0.40632	0.449335
a2	0.020822	0.0158899	0.0173165	0.0292514	0.0669085	0.142208	0.310469	0.397135
a57	0.0333244	0.0259904	0.0204003	0.023596	0.047163	0.155493	0.266574	0.427459
a87	0.0577395	0.034672	0.0226088	0.0263322	0.063764	0.131809	0.226681	0.436393
a23	0.0664246	0.0336253	0.0226354	0.0440693	0.183334	0.237641	0.215977	0.196293
a87	0.0670432	0.0307785	0.025441	0.0674563	0.142882	0.193715	0.277841	0.194843
a23	0.0168779	0.00856942	0.00842645	0.0258862	0.0964203	0.164874	0.342779	0.336167
a87	0.0253381	0.0114655	0.0101536	0.0298463	0.0911238	0.170954	0.340965	0.320154
</S>	0.00834875	0.00383366	0.00366695	0.0105909	0.0501227	0.120912	0.37226	0.430265
