 	j'	ai	perdu	toutes	mes	cuillères	</S>
a66	0.466694	0.202635	0.120848	0.0820316	0.0711478	0.033733	0.0229108
a87	0.566803	0.218737	0.0995075	0.0745654	0.0224385	0.0080791	0.00986925
a99	0.456719	0.262132	0.160649	0.0766455	0.02209	0.0101424	0.0116231
a54	0.392772	0.30709	0.178634	0.0645587	0.0224861	0.0150048	0.019454
a47	0.360364	0.225829	0.163315	0.10816	0.0556454	0.0460238	0.0406626
a6	0.258774	0.247086	0.205495	0.13761	0.0751354	0.0428773	0.0330227
a92	0.167243	0.244999	0.255855	0.18876	0.090829	0.03257	0.0197437
a56	0.155869	0.213906	0.237767	0.224064	0.104839	0.041903	0.0216519
a75	0.156278	0.184579	0.232899	0.22971	0.11432	0.0491577	0.0330568
a85	0.105885	0.13403	0.202383	0.230081	0.168685	0.0925843	0.066352
a6	0.062692	0.073884	0.131223	0.208677	0.230322	0.162632	0.130571
a61	0.0532566	0.0561817	0.108543	0.22822	0.245943	0.158048	0.149808
a21	0.0362752	0.0303647	0.0457889	0.113229	0.252548	0.245529	0.276266
a61	0.0129767	0.0103829	0.0151072	0.0467618	0.21195	0.320697	0.382125
a75	0.00920951	0.00757708	0.0107184	0.0282544	0.160979	0.350731	0.43253
a85	0.00417416	0.00390707	0.00734668	0.0251015	0.130705	0.337192	0.491573
a6	0.00170161	0.00170569	0.00361542	0.0154821	0.104609	0.337645	0.535241
a36	0.00241138	0.00241468	0.00463549	0.0166365	0.095889	0.325996	0.552017
a0	0.00333697	0.003171	0.00512446	0.0160207	0.0614378	0.249467	0.661442
a94	0.00320731	0.00328566	0.00540818	0.0200169	0.056718	0.204241	0.707123
a58	0.00345582	0.00350561	0.00543245	0.0200973	0.072442	0.204507	0.69056
a82	0.0221076	0.0190864	0.0216466	0.0478098	0.108832	0.211093	0.569425
a87	0.131304	0.0788847	0.0778386	0.10956	0.161702	0.180908	0.259803
a23	0.400198	0.16805	0.110252	0.102796	0.0811522	0.0628725	0.0746799
a87	0.166813	0.075314	0.0506127	0.0804581	0.0968803	0.18976	0.340162
a97	0.0239152	0.013667	0.0149137	0.0442305	0.11308	0.271755	0.518439
</S>	0.0406208	0.0236988	0.0286115	0.0815984	0.133983	0.230459	0.461028
