 	elle	a	mis	une	amulette	sur	le	cou	de	son	bébé	pour	qu'	il	grandisse	bien	</S>
a75	0.0608619	0.0564977	0.0352586	0.0305033	0.0419522	0.0581548	0.0534467	0.0739519	0.0726028	0.0616548	0.0662152	0.0628238	0.0586501	0.057562	0.0754365	0.073857	0.0605707
a32	0.104185	0.0892399	0.0809032	0.0873887	0.0918128	0.0764961	0.0771638	0.0626783	0.0540367	0.0419273	0.0280006	0.0296637	0.025831	0.0300439	0.0398485	0.0359485	0.0448319
a10	0.180657	0.170139	0.154767	0.126515	0.108367	0.0567517	0.0383509	0.0270556	0.0207824	0.0176886	0.0124478	0.0122262	0.0105234	0.0130591	0.0172933	0.0161287	0.0172472
a87	0.228325	0.202046	0.135249	0.0835657	0.0660888	0.039987	0.0384488	0.0367781	0.0286653	0.0212567	0.0140831	0.0136941	0.0120428	0.0138911	0.0190652	0.0215872	0.0252254
a10	0.267355	0.201445	0.120767	0.0635336	0.0432298	0.0279123	0.0299818	0.0369575	0.0278049	0.0222997	0.0176684	0.015672	0.0128398	0.0172434	0.0247958	0.0328241	0.0376702
a90	0.242341	0.170464	0.10619	0.0594143	0.0476306	0.0350946	0.0386105	0.0521408	0.0364371	0.0283715	0.0232307	0.0196776	0.0160225	0.0213462	0.0308371	0.0339719	0.0382191
a76	0.25254	0.241537	0.141542	0.0731648	0.0441518	0.0296753	0.0258829	0.0260934	0.0265578	0.0229811	0.0164954	0.015751	0.0122184	0.0130807	0.0148168	0.0185424	0.0249697
a30	0.210121	0.205991	0.129448	0.0840354	0.0645873	0.0510236	0.0409169	0.0344266	0.0371585	0.0348487	0.0247891	0.0218577	0.0156805	0.0134864	0.0116503	0.00984963	0.0101298
a2	0.199755	0.168693	0.131476	0.0890066	0.0696263	0.0576429	0.0434865	0.0353332	0.036207	0.0367229	0.0285672	0.0256052	0.0194632	0.0186546	0.0152626	0.0124784	0.0120193
a57	0.0844476	0.0750881	0.0734717	0.0659833	0.0600491	0.0627719	0.0674202	0.0721507	0.0678289	0.0633304	0.0469958	0.0439669	0.0357426	0.0415362	0.0417823	0.0465301	0.0509042
a38	0.0571957	0.0556841	0.0562768	0.0528711	0.0542351	0.0697838	0.0963797	0.113725	0.102893	0.064224	0.0377784	0.0344569	0.0259445	0.0293061	0.0338171	0.0477167	0.0677113
a14	0.0701112	0.0667274	0.0708457	0.0710372	0.0725261	0.0772216	0.0865492	0.0856163	0.0820593	0.0705661	0.0452608	0.041307	0.0298755	0.0311603	0.0309245	0.0314351	0.0367768
a35	0.0978508	0.0955375	0.101599	0.0932438	0.088604	0.0819797	0.0738646	0.0616687	0.0627125	0.0615304	0.0483155	0.0417476	0.029119	0.0239052	0.0163834	0.0115816	0.010357
a24	0.0767846	0.0796578	0.0955043	0.100126	0.10024	0.0915476	0.0779003	0.067532	0.0677471	0.0619595	0.0467261	0.0407584	0.0284654	0.0235011	0.0164667	0.0127748	0.0123087
a35	0.0685589	0.0719377	0.0780108	0.0816633	0.0852624	0.0868391	0.0848099	0.0832642	0.0848912	0.0731927	0.0520375	0.045617	0.0295858	0.0238445	0.0174359	0.0163308	0.0167183
a20	0.034223	0.0384877	0.0561268	0.0777122	0.0952757	0.104714	0.100061	0.0962687	0.0912654	0.0773749	0.0560069	0.0492458	0.0334656	0.0285694	0.0213919	0.0196091	0.0202016
a14	0.0524632	0.0605008	0.0794566	0.0963498	0.102435	0.0918641	0.0749926	0.0705705	0.0642047	0.0592259	0.0493389	0.0459178	0.0379779	0.0362079	0.0298656	0.0247841	0.0238444
a35	0.0509003	0.0553659	0.0632164	0.0786223	0.0876669	0.0870614	0.0815617	0.078486	0.0706402	0.0632001	0.0560648	0.0530091	0.0418302	0.0387398	0.0341522	0.0301078	0.0293748
