 	son	chef	de	service	lui	a	acheté	une	bicyclette	</S>
a23	0.15168	0.109342	0.108024	0.166882	0.142929	0.163264	0.0759661	0.0418139	0.0241604	0.0159395
a30	0.26431	0.215451	0.162572	0.0990739	0.0654709	0.0651711	0.0363493	0.0341049	0.0296141	0.0278836
a13	0.184724	0.235698	0.21055	0.147767	0.069763	0.0440698	0.0256173	0.0237286	0.0216096	0.0364731
a9	0.273157	0.288857	0.166566	0.113311	0.0540403	0.0423963	0.0245183	0.0162592	0.0091461	0.0117492
a53	0.265887	0.326563	0.188289	0.109785	0.0402053	0.0239443	0.0151533	0.0122438	0.00727287	0.010656
a93	0.33024	0.283626	0.151532	0.0804146	0.04676	0.0321681	0.0238349	0.0193721	0.0135774	0.0184753
a34	0.279109	0.233063	0.172778	0.106167	0.0681128	0.0409511	0.0286143	0.0224715	0.0196443	0.029089
a75	0.22021	0.199574	0.184704	0.129286	0.105418	0.0599968	0.0337307	0.0218404	0.0184146	0.0268251
a25	0.200621	0.16705	0.147766	0.123801	0.126457	0.0795189	0.054563	0.0335679	0.0286236	0.0380307
a98	0.128657	0.130948	0.142537	0.166305	0.155735	0.0907897	0.061412	0.0422009	0.0365552	0.0448608
a85	0.0851467	0.0988465	0.131325	0.180885	0.172111	0.0937464	0.0667377	0.0548561	0.0575784	0.0587671
a21	0.0513723	0.0658913	0.102182	0.190148	0.187516	0.102161	0.0749269	0.0664847	0.0739317	0.0853864
a47	0.0687625	0.0763145	0.111152	0.178046	0.22055	0.140246	0.0720752	0.0466709	0.0405586	0.0456246
a0	0.0728079	0.0826358	0.112217	0.161456	0.207935	0.13811	0.0724239	0.0435574	0.047868	0.0609886
a75	0.050948	0.0519057	0.0646894	0.104541	0.184249	0.164045	0.0991315	0.0694389	0.0840229	0.127029
a85	0.0576314	0.056264	0.0644291	0.098026	0.142524	0.12873	0.0958324	0.0871095	0.111227	0.158228
a75	0.0448998	0.0456172	0.054352	0.104701	0.136909	0.119432	0.0894393	0.0909143	0.127174	0.186561
a43	0.0494016	0.0461474	0.0518978	0.0898799	0.107591	0.0869171	0.0731503	0.0895183	0.143563	0.261934
a75	0.057137	0.0535265	0.0525876	0.0783022	0.114766	0.0968571	0.0876454	0.0917872	0.125545	0.241846
a34	0.044893	0.0403383	0.0413376	0.0699763	0.0916045	0.0619897	0.0567073	0.0763108	0.136452	0.38039
a96	0.0215471	0.0214303	0.024291	0.0480624	0.0715799	0.0675054	0.0909179	0.12	0.173754	0.360912
a93	0.015494	0.0166269	0.0201466	0.034467	0.0483665	0.0492587	0.0744053	0.116883	0.216612	0.40774
a90	0.00746373	0.00844957	0.0109083	0.024453	0.0359156	0.0454999	0.0905804	0.145335	0.235443	0.395952
a25	0.011052	0.0118601	0.0143024	0.0285942	0.0438071	0.0536064	0.0963008	0.137356	0.21786	0.385261
a44	0.00938854	0.0100374	0.0128991	0.0269936	0.0384967	0.0429375	0.0738856	0.118181	0.191546	0.475635
a62	0.00209793	0.00215347	0.00302251	0.006753	0.0119866	0.0143503	0.0306124	0.0771225	0.194679	0.657223
a83	0.00167514	0.00193098	0.00275193	0.00551981	0.00719909	0.00837577	0.0175975	0.0582695	0.174265	0.722415
a9	0.00108088	0.0011366	0.00174021	0.00399719	0.00526806	0.00676734	0.015228	0.0546862	0.172399	0.737697
a38	0.0044085	0.00345615	0.00348917	0.00618561	0.00755876	0.00935694	0.0216798	0.0649009	0.20282	0.676145
a75	0.00333799	0.00298234	0.00308667	0.00541418	0.00579422	0.00600011	0.0130647	0.0436609	0.161898	0.75476
a85	0.00296413	0.0035231	0.00473217	0.00935448	0.0110241	0.0113791	0.0229119	0.0733777	0.144957	0.715777
a37	0.00389127	0.00460574	0.00606913	0.0126927	0.014598	0.0123292	0.0225845	0.0585898	0.135356	0.729284
a26	0.000306152	0.000286474	0.000368238	0.00111019	0.00176286	0.00256676	0.00829378	0.0372965	0.141881	0.806128
a10	0.00352483	0.00272653	0.00262026	0.00564948	0.00755793	0.011809	0.0308986	0.082739	0.226084	0.62639
a87	0.030199	0.0236699	0.0204168	0.030953	0.02881	0.0306102	0.0424161	0.100486	0.240547	0.451892
a23	0.0566333	0.0551117	0.0595504	0.0840026	0.067196	0.0654155	0.0745004	0.123167	0.169579	0.244844
a87	0.0507538	0.0387671	0.0338227	0.0506179	0.0435921	0.0499431	0.0674075	0.116693	0.160027	0.388375
</S>	0.0195578	0.0175982	0.0202569	0.04609	0.0483755	0.0477296	0.0572288	0.0920194	0.167424	0.483719
