 	la	nourriture	est	trop	salée	</S>
a15	0.477442	0.215772	0.0904028	0.0790212	0.0808556	0.0565063
a66	0.472902	0.218484	0.151568	0.0945862	0.0455361	0.0169235
a87	0.560296	0.271264	0.0821887	0.0395812	0.0294302	0.0172398
a23	0.544187	0.305079	0.0914114	0.0340544	0.0164051	0.00886336
a71	0.536013	0.304682	0.0932574	0.0310365	0.0176268	0.0173846
a9	0.515615	0.243143	0.10762	0.0542295	0.0361747	0.0432179
a38	0.430032	0.261921	0.139917	0.0712342	0.0442095	0.0526853
a12	0.252023	0.235662	0.183213	0.123983	0.0991393	0.105978
a18	0.11462	0.183779	0.231008	0.195235	0.171597	0.10376
a25	0.13701	0.165173	0.229111	0.186285	0.157937	0.124483
a69	0.10157	0.107922	0.180777	0.206484	0.231271	0.171976
a58	0.0632858	0.0546124	0.114667	0.199763	0.303528	0.264145
a20	0.0251812	0.0117993	0.022555	0.0828154	0.285804	0.571845
a15	0.023024	0.0167733	0.0374634	0.123772	0.316988	0.481979
a7	0.00931283	0.0067815	0.0169052	0.0713772	0.217109	0.678514
a84	0.00251997	0.00233608	0.00828967	0.0383278	0.14568	0.802846
a57	0.0656757	0.0541695	0.055795	0.0824252	0.185118	0.556817
a87	0.177838	0.11329	0.0866015	0.102542	0.169784	0.349944
a23	0.288268	0.211005	0.13815	0.107155	0.113464	0.141959
a87	0.191928	0.139738	0.0980816	0.126446	0.188249	0.255558
</S>	0.0435993	0.0411094	0.055439	0.124351	0.239661	0.495841
