 	parmi	ces	enfants	qui	ressemble	à	leur	mère	</S>
a66	0.3669	0.201748	0.0859029	0.0530458	0.0807262	0.0938814	0.0594981	0.0342082	0.024089
a87	0.337472	0.148646	0.105337	0.0902379	0.143525	0.0965729	0.0427656	0.0222848	0.0131593
a23	0.253243	0.156596	0.138506	0.111173	0.115339	0.0908107	0.0503745	0.044805	0.0391527
a10	0.102754	0.100268	0.123793	0.191382	0.211065	0.114094	0.0582131	0.0526923	0.0457386
a75	0.113491	0.107867	0.124375	0.160743	0.185896	0.107151	0.0672923	0.0686387	0.0645452
a47	0.180743	0.211095	0.177705	0.136023	0.111739	0.0680446	0.0367001	0.0385583	0.0393915
a98	0.120405	0.17641	0.180347	0.176058	0.153583	0.0793058	0.0385591	0.0381392	0.0371934
a85	0.120324	0.165429	0.178884	0.180527	0.150405	0.0827811	0.045035	0.0381949	0.0384201
a79	0.109253	0.161419	0.159984	0.156539	0.141263	0.0902017	0.063009	0.0555211	0.0628098
a90	0.0758552	0.100409	0.131188	0.186107	0.171121	0.118217	0.0756367	0.0687786	0.0726871
a56	0.0697735	0.0686524	0.0871829	0.168091	0.170812	0.149545	0.102218	0.0918068	0.0919194
a96	0.0342903	0.0298648	0.04197	0.113121	0.171758	0.214169	0.147383	0.125649	0.121795
a90	0.0095838	0.00895005	0.0146937	0.0426506	0.0885161	0.205128	0.188944	0.209099	0.232435
a56	0.00336377	0.00414587	0.00969484	0.0311629	0.0574585	0.216434	0.238721	0.218328	0.220691
a75	0.00265642	0.00277804	0.00449218	0.0111974	0.0185638	0.0938318	0.170675	0.298797	0.397008
a36	0.00102812	0.00123568	0.00249868	0.00711998	0.0109623	0.0615256	0.144299	0.315833	0.455498
a26	0.000860255	0.000728983	0.00140656	0.00336068	0.00481755	0.0264342	0.0807807	0.326568	0.555043
a82	0.0312312	0.022241	0.0243784	0.0282884	0.0254316	0.0511413	0.0903928	0.266593	0.460303
a87	0.179188	0.0992097	0.0744225	0.0590376	0.0568652	0.0764087	0.084361	0.144051	0.226456
a99	0.286895	0.138302	0.0915523	0.0577777	0.053699	0.0745515	0.0837914	0.1026	0.110832
a23	0.0504588	0.0316922	0.0329461	0.0368072	0.0480626	0.112656	0.179684	0.262487	0.245207
a38	0.0186837	0.0135358	0.0183442	0.0241046	0.0293924	0.102102	0.188509	0.304656	0.300673
a10	0.0447795	0.0357164	0.0368019	0.0345948	0.0461255	0.126963	0.179965	0.250512	0.244542
</S>	0.0446659	0.0324761	0.0316229	0.0316065	0.0420816	0.101414	0.158667	0.259103	0.298363
