 	celles-ci	sont	mes	chenilles	celles-là	sont	à	toi	</S>
a66	0.194016	0.131511	0.111687	0.101225	0.0742442	0.119483	0.130214	0.0879031	0.0497162
a82	0.197585	0.145455	0.125833	0.127742	0.11054	0.154249	0.0935235	0.0293858	0.0156866
a87	0.243427	0.21172	0.178865	0.192605	0.072365	0.0448254	0.026271	0.0158967	0.0140242
a23	0.260604	0.216509	0.174562	0.204349	0.0797637	0.038581	0.0141441	0.00630089	0.00518661
a99	0.286147	0.167847	0.137841	0.170501	0.124882	0.0675964	0.0246314	0.0108111	0.00974426
a83	0.22254	0.1326	0.116607	0.170389	0.161505	0.0946688	0.0430979	0.0286914	0.0299004
a18	0.148838	0.101359	0.0966494	0.127646	0.173586	0.140097	0.0831126	0.0635512	0.0651613
a58	0.175428	0.146744	0.13356	0.132501	0.123721	0.114939	0.0792481	0.050407	0.043452
a4	0.143145	0.144548	0.144586	0.139699	0.123535	0.100551	0.0836348	0.0652945	0.055007
a99	0.124818	0.13268	0.171487	0.174523	0.129844	0.0781169	0.0670985	0.0628827	0.0585507
a53	0.135928	0.142324	0.17235	0.188283	0.132491	0.0741992	0.0614656	0.0494657	0.0434932
a7	0.111789	0.123999	0.169007	0.191069	0.1733	0.0774885	0.0600297	0.0478049	0.0455137
a44	0.0725313	0.0751507	0.122614	0.185868	0.20062	0.100772	0.0798113	0.0783761	0.0842574
a70	0.0312522	0.0334314	0.0655942	0.152487	0.256954	0.13619	0.0937882	0.105462	0.124841
a44	0.0240645	0.0268666	0.054356	0.126109	0.245568	0.155523	0.11321	0.115581	0.138723
a26	0.0191301	0.0202007	0.0410172	0.0958396	0.202503	0.167705	0.141615	0.146729	0.165261
a57	0.0189019	0.0172417	0.0290048	0.0622221	0.170853	0.162073	0.147326	0.178369	0.214009
a99	0.00990757	0.00812189	0.0125989	0.0252935	0.0813806	0.137135	0.194638	0.267143	0.263782
a50	0.0150528	0.0104051	0.01447	0.0241181	0.0758446	0.139701	0.192209	0.251081	0.277118
a24	0.00533168	0.00444702	0.00649608	0.0110533	0.0459644	0.119386	0.187135	0.292104	0.328083
a5	0.00416419	0.00297265	0.00425465	0.00728555	0.0341418	0.0911196	0.179919	0.337733	0.338409
a94	0.00420694	0.003142	0.00394468	0.00584198	0.0292218	0.0634924	0.139231	0.342737	0.408183
a96	0.00148702	0.00117054	0.00163707	0.00247734	0.0127406	0.0327665	0.095699	0.34446	0.507562
a18	0.00116042	0.000942761	0.00125094	0.00189038	0.0095556	0.0290208	0.0878099	0.333323	0.535046
a44	0.00332924	0.00251556	0.00343998	0.00469987	0.0172155	0.0343078	0.0712581	0.277776	0.585458
a38	0.00582058	0.00395727	0.00493897	0.00577425	0.018433	0.0374482	0.0711629	0.256172	0.596292
a82	0.0186394	0.0100644	0.0118381	0.0119229	0.0283109	0.0391745	0.0589937	0.230414	0.590642
a97	0.0713903	0.0313111	0.0323122	0.0318516	0.0416952	0.0415338	0.0520667	0.192322	0.505517
a87	0.287422	0.120532	0.0838718	0.0624347	0.0393504	0.0373591	0.0443505	0.115475	0.209204
a97	0.351003	0.204901	0.140595	0.0904004	0.0346052	0.033111	0.0357177	0.0484234	0.0612431
a99	0.327979	0.181607	0.144561	0.101831	0.0427933	0.0505513	0.0525396	0.046815	0.0513228
a97	0.278899	0.161744	0.114764	0.0687564	0.0308344	0.0553077	0.0901676	0.0953226	0.104205
a3	0.298138	0.16915	0.115	0.0647028	0.0288219	0.0507149	0.0805751	0.088333	0.104565
</S>	0.258009	0.166607	0.138034	0.100348	0.0495318	0.0697081	0.0819721	0.0685309	0.0672594
