 	ton	amaigrissement	me	chagrine	</S>
a66	0.597926	0.178345	0.0815056	0.0825803	0.0596429
a87	0.623645	0.171117	0.0997291	0.0627209	0.0427885
a23	0.493734	0.244831	0.0942693	0.0802297	0.0869352
a13	0.377934	0.272888	0.145485	0.0790188	0.124675
a18	0.587744	0.246048	0.0722352	0.037972	0.0560007
a70	0.730634	0.151794	0.0438495	0.0270463	0.0466758
a94	0.538173	0.294218	0.0906502	0.0344956	0.0424629
a70	0.362803	0.390789	0.158046	0.0451872	0.0431744
a98	0.268551	0.390138	0.211525	0.0690958	0.0606902
a47	0.275082	0.34999	0.207395	0.0837336	0.0837982
a92	0.158616	0.268006	0.218499	0.160226	0.194654
a79	0.156774	0.262885	0.245249	0.167466	0.167625
a44	0.148883	0.273071	0.26345	0.171516	0.143079
a79	0.0983261	0.208864	0.273595	0.228664	0.190551
a69	0.0837816	0.195787	0.258783	0.221769	0.239879
a94	0.048045	0.145706	0.252831	0.259914	0.293504
a75	0.0208175	0.0630737	0.169587	0.305235	0.441287
a5	0.0095184	0.043638	0.163547	0.303062	0.480235
a37	0.00449346	0.0191648	0.0859487	0.311337	0.579056
a75	0.00563539	0.019438	0.0557978	0.248451	0.670678
a5	0.00350516	0.0156986	0.0493195	0.22505	0.706427
a37	0.00195517	0.00797461	0.0366556	0.196825	0.756589
a66	0.00165237	0.00527368	0.0223417	0.156138	0.814594
a27	0.00361808	0.00480844	0.0217155	0.171004	0.798854
a10	0.0428193	0.0318436	0.0737837	0.226612	0.624942
a87	0.195242	0.0984266	0.12025	0.208974	0.377108
a97	0.311364	0.152999	0.106459	0.151163	0.278015
a87	0.209271	0.120777	0.0927144	0.196071	0.381166
a97	0.0943756	0.0768045	0.0809819	0.208698	0.53914
a82	0.0442983	0.0463255	0.0796605	0.262431	0.567285
</S>	0.0334474	0.0659881	0.123748	0.254065	0.522752
