 	j'	ai	faim	</S>
a10	0.437658	0.290104	0.19141	0.0808281
a87	0.466917	0.30981	0.145775	0.0774969
a23	0.536826	0.220498	0.146429	0.0962462
a24	0.535276	0.295607	0.121952	0.0471655
a88	0.543381	0.264811	0.137725	0.0540824
a24	0.429537	0.288222	0.194311	0.0879299
a21	0.331487	0.253821	0.23184	0.182852
a41	0.359479	0.257685	0.270549	0.112288
a98	0.281585	0.276297	0.305377	0.136741
a38	0.150641	0.21145	0.366517	0.271392
a75	0.06462	0.145834	0.364898	0.424648
a41	0.0363649	0.089714	0.296359	0.577562
a73	0.0327319	0.0806453	0.301537	0.585086
a84	0.0200993	0.067809	0.250309	0.661782
a57	0.0481486	0.0721927	0.146221	0.733437
a87	0.207902	0.201781	0.149134	0.441184
</S>	0.204209	0.251375	0.240553	0.303862
