 	avec	cette	manière	de	construire	les	murs	en	bambou	la	case	ne	tiendra	pas	longtemps	</S>
a66	0.138593	0.108902	0.0835648	0.0726608	0.0653915	0.0322992	0.0265408	0.0384999	0.0642698	0.0881422	0.105139	0.109669	0.0229891	0.0160801	0.0147231	0.0125363
a87	0.330026	0.18862	0.118652	0.0763732	0.0677815	0.0168129	0.0100044	0.0071597	0.007132	0.0165764	0.0356802	0.0590151	0.0309307	0.0132985	0.0114566	0.0104807
a23	0.25415	0.179688	0.136814	0.085989	0.0575531	0.0348359	0.022907	0.0160275	0.0129504	0.0179284	0.0322062	0.0910975	0.0264744	0.0128532	0.00870965	0.00981622
a21	0.114176	0.126155	0.115611	0.102094	0.0961726	0.0915013	0.0797565	0.0501154	0.0332197	0.0430841	0.0408831	0.0509858	0.0226363	0.0101573	0.00976562	0.0136867
a47	0.24252	0.178773	0.109318	0.0900845	0.0793746	0.0390032	0.0302703	0.0294575	0.0283139	0.032659	0.0311571	0.0639599	0.0219723	0.00692173	0.00673965	0.00947491
a21	0.15601	0.17249	0.148032	0.143287	0.150841	0.0770769	0.0326369	0.0168678	0.0114371	0.0220328	0.0200338	0.0271927	0.00852199	0.00471458	0.00436119	0.00446426
a5	0.0634101	0.100029	0.148101	0.187783	0.213488	0.103755	0.0484184	0.0277041	0.0144889	0.0262147	0.0237454	0.0235642	0.00745091	0.00435906	0.00358275	0.00390501
a21	0.0577194	0.0864283	0.130927	0.186761	0.218011	0.135905	0.0621635	0.0295958	0.0152	0.0217144	0.0174686	0.0147771	0.00809966	0.00503128	0.00447182	0.00572588
a47	0.0589512	0.0794309	0.105099	0.158266	0.211364	0.144804	0.0836515	0.0480681	0.0234824	0.0259714	0.0176202	0.0125	0.0105896	0.00699005	0.0059339	0.00727805
a21	0.0544216	0.0620085	0.079909	0.116259	0.167376	0.148723	0.111174	0.0765386	0.0478923	0.0422425	0.0251884	0.0150498	0.0143362	0.0115003	0.0121634	0.0152173
a5	0.0371	0.0383131	0.0502249	0.0698677	0.118973	0.13974	0.134704	0.128198	0.0814533	0.0655431	0.0410439	0.0225738	0.0208582	0.014936	0.0159407	0.020531
a47	0.0151621	0.01426	0.017457	0.0248045	0.0530294	0.0951304	0.131191	0.174063	0.133617	0.0988118	0.0603829	0.0292677	0.0350063	0.0314922	0.0378162	0.0485086
a62	0.0130922	0.00956043	0.00928143	0.0109172	0.0254536	0.0693122	0.111567	0.177162	0.174516	0.117566	0.0600554	0.0246157	0.0462549	0.0445656	0.0453046	0.060776
a47	0.0105704	0.00723637	0.00694967	0.00730887	0.016675	0.045798	0.0838828	0.16715	0.18992	0.116265	0.048557	0.0246611	0.0601212	0.0550567	0.0670645	0.0927837
a56	0.0153719	0.0111189	0.00979034	0.00948539	0.0177087	0.0453231	0.0770832	0.15766	0.214847	0.121137	0.053596	0.0236708	0.0521739	0.0485457	0.0617521	0.080736
a34	0.0051431	0.003755	0.00371528	0.00358493	0.00798533	0.024422	0.0512326	0.133534	0.168019	0.0948501	0.048862	0.0255732	0.0525205	0.0843973	0.12302	0.169386
a21	0.00620472	0.00415041	0.00348993	0.00298245	0.00559309	0.017611	0.0384776	0.0943921	0.145908	0.0697196	0.0308944	0.0170516	0.0692631	0.107422	0.157558	0.229282
a85	0.00379245	0.00249063	0.00208416	0.00160023	0.00253716	0.00739944	0.0143325	0.0372436	0.0645419	0.0290937	0.0165241	0.0113956	0.0847015	0.189124	0.239797	0.293342
a6	0.00156317	0.00101303	0.000929234	0.000877512	0.00177036	0.00608548	0.0118591	0.0253977	0.0385696	0.015046	0.0058338	0.00214122	0.0227055	0.116958	0.265824	0.483426
a36	0.00103533	0.000520718	0.000442696	0.000425151	0.00112938	0.00387241	0.00745594	0.0165878	0.0359513	0.0118442	0.00453809	0.00244346	0.0323828	0.114638	0.277345	0.489388
a0	0.00308269	0.00143842	0.00104741	0.000695045	0.00116838	0.00344272	0.00636329	0.0120223	0.0231552	0.00847393	0.00322378	0.00197631	0.0176015	0.0686172	0.263676	0.584016
a36	0.00118809	0.000479742	0.000319241	0.000170331	0.000218625	0.000480965	0.00115132	0.00329843	0.00712938	0.00258259	0.00106829	0.000422794	0.00532914	0.0600759	0.336795	0.57929
a26	0.0802887	0.03612	0.029203	0.0164481	0.0167405	0.0148065	0.0155333	0.0191577	0.0212371	0.0130731	0.0067368	0.00541655	0.0171361	0.0752612	0.252866	0.379975
a82	0.185737	0.0787738	0.07091	0.0341546	0.0314911	0.0275589	0.024424	0.0232053	0.0218071	0.0148499	0.0110916	0.0113569	0.0144286	0.0429828	0.14548	0.261748
a10	0.192857	0.0943109	0.100038	0.0617226	0.0597279	0.0320331	0.0256604	0.0261399	0.0274841	0.0315389	0.0502188	0.0453894	0.0239096	0.0364498	0.0811994	0.11132
a87	0.151555	0.0844275	0.0932851	0.0565166	0.0510635	0.0239832	0.0190016	0.0204963	0.0265423	0.0310714	0.0536407	0.0508486	0.0439173	0.0742432	0.105786	0.113621
a23	0.124402	0.0887102	0.0895516	0.0554235	0.0453596	0.0229041	0.0186584	0.0195691	0.0325724	0.0358341	0.0506442	0.0475104	0.0434841	0.079681	0.115153	0.130542
a87	0.0294823	0.0182436	0.018974	0.0127111	0.010345	0.0056801	0.00427272	0.00419338	0.0055644	0.00713723	0.011576	0.0121177	0.0436771	0.138452	0.305493	0.37208
</S>	0.00677198	0.00388473	0.00541732	0.00380485	0.00321517	0.00213159	0.00207549	0.00344808	0.00459753	0.00392227	0.00720544	0.00681503	0.0379601	0.121677	0.342231	0.444842
