 	il	avait	fermé	sa	maison	avant	de	voyager	</S>
a66	0.156512	0.158546	0.191656	0.173786	0.12202	0.0696943	0.0650196	0.0404291	0.0223363
a87	0.0907328	0.0896479	0.0997422	0.150333	0.148244	0.115341	0.115363	0.118058	0.0725382
a82	0.206007	0.110872	0.063946	0.072784	0.087565	0.098457	0.126704	0.145747	0.0879172
a10	0.170346	0.103982	0.0758039	0.0865428	0.100803	0.113736	0.146576	0.13244	0.0697685
a97	0.170135	0.105339	0.078947	0.0912654	0.10827	0.110948	0.146365	0.1236	0.0651297
a53	0.124648	0.080107	0.0582091	0.0804155	0.110776	0.12895	0.18473	0.161409	0.0707561
a15	0.118574	0.06571	0.0295179	0.0277524	0.0376381	0.0680911	0.208142	0.316249	0.128325
a44	0.271751	0.168747	0.0624587	0.0513343	0.0505501	0.0560627	0.113314	0.122543	0.103239
a98	0.217462	0.196584	0.106712	0.0926519	0.0780065	0.0604225	0.0843034	0.0720629	0.0917941
a47	0.214226	0.211589	0.156866	0.122039	0.073155	0.0452538	0.0515509	0.0510674	0.0742522
a85	0.153609	0.19667	0.175248	0.141479	0.0862843	0.05164	0.0591166	0.0601486	0.0758036
a6	0.218732	0.2354	0.183907	0.129665	0.0714996	0.0385959	0.0379422	0.0355947	0.0486629
a37	0.1209	0.167366	0.178678	0.168686	0.107681	0.0643626	0.0658188	0.0566675	0.0698408
a75	0.104217	0.137823	0.169315	0.167082	0.11374	0.0729116	0.0744188	0.0705796	0.089914
a56	0.0740908	0.119993	0.160479	0.162606	0.119697	0.0848241	0.0854875	0.0850353	0.107788
a70	0.0738591	0.103618	0.161702	0.177166	0.136192	0.0909148	0.084915	0.0738578	0.0977762
a93	0.0420261	0.0626985	0.136159	0.175373	0.138924	0.102871	0.0950804	0.0951718	0.151695
a56	0.0317566	0.0479693	0.113349	0.151461	0.130913	0.111786	0.109502	0.122333	0.180931
a0	0.0163312	0.0233415	0.0652284	0.11221	0.115188	0.125611	0.135874	0.169677	0.236539
a75	0.00967037	0.0126588	0.0355391	0.065461	0.0715863	0.098994	0.122136	0.220437	0.363518
a34	0.00825982	0.0141027	0.0361224	0.0685121	0.07447	0.105546	0.117403	0.206171	0.369413
a61	0.00352041	0.00487297	0.013894	0.0291608	0.0363694	0.0683249	0.0932273	0.242347	0.508283
a47	0.00189647	0.00256906	0.00684183	0.0156343	0.0243037	0.0581615	0.0858576	0.2357	0.569035
a62	0.00201495	0.00320265	0.00689197	0.0169678	0.0287093	0.0745607	0.0958274	0.206093	0.565732
a75	0.000633316	0.000989424	0.0024383	0.00767219	0.015004	0.0452171	0.0668865	0.205128	0.656031
a34	0.00084873	0.00147375	0.00305607	0.00979745	0.0180906	0.0532344	0.0681661	0.180916	0.664417
a98	0.000598859	0.000993432	0.00209987	0.00704049	0.0137698	0.0423548	0.0584989	0.172208	0.702436
a47	0.000697294	0.00136357	0.00298158	0.0098707	0.0178098	0.0525481	0.0617567	0.173091	0.679881
a0	0.000812316	0.00147334	0.00269565	0.0100697	0.0191013	0.050152	0.0683745	0.177242	0.670079
a26	0.000867587	0.00109487	0.00141871	0.00415842	0.00899688	0.0382546	0.0905116	0.233657	0.62104
a82	0.0281257	0.0220879	0.0191437	0.0205055	0.027683	0.0706167	0.123671	0.205034	0.483132
a3	0.100907	0.0673193	0.0532777	0.0397229	0.0410252	0.0645175	0.0925609	0.14807	0.392599
a82	0.0565639	0.0458159	0.0462658	0.0377953	0.04157	0.0655947	0.0856906	0.191339	0.429364
a3	0.0432627	0.0389056	0.0420606	0.0379351	0.0398716	0.061163	0.0780167	0.203046	0.455738
a97	0.0248237	0.0251094	0.032222	0.0369586	0.0419356	0.0663637	0.0774961	0.211596	0.483495
a10	0.0249146	0.0273826	0.0449267	0.0545698	0.0612403	0.0873396	0.0918417	0.206359	0.401426
a97	0.0310749	0.031551	0.0436803	0.0517808	0.0574674	0.0729946	0.0846915	0.194727	0.432032
a82	0.038765	0.0456084	0.0643611	0.065385	0.0696261	0.076059	0.0899377	0.189353	0.360905
</S>	0.0445307	0.0463023	0.0630089	0.0648135	0.0723153	0.0840506	0.102766	0.197618	0.324595
