 	on	a	allumé	un	feu	de	brousse	</S>
a23	0.39402	0.167228	0.111051	0.087197	0.0722487	0.0618289	0.0527873	0.0536389
a87	0.355866	0.175297	0.119247	0.0933528	0.0843734	0.0687528	0.0504331	0.0526777
a40	0.253536	0.18762	0.121435	0.106622	0.0992496	0.0844197	0.0714549	0.0756621
a30	0.436229	0.182189	0.174407	0.0876433	0.040429	0.0247969	0.0226424	0.0316634
a35	0.544718	0.215247	0.150084	0.0474637	0.0201415	0.00920136	0.00618151	0.00696317
a66	0.371479	0.241027	0.183552	0.0884971	0.054029	0.0269428	0.019146	0.0153269
a24	0.192262	0.193289	0.208194	0.145625	0.100857	0.0637785	0.0518759	0.0441183
a25	0.205416	0.183021	0.149258	0.133001	0.108539	0.0871061	0.075776	0.0578819
a38	0.124191	0.154883	0.167124	0.156694	0.128701	0.10216	0.0910188	0.075228
a14	0.137942	0.168987	0.185052	0.163533	0.125894	0.0847336	0.0727522	0.0611055
a35	0.130738	0.15437	0.155995	0.146651	0.123991	0.105453	0.0999873	0.082814
a30	0.0990762	0.115975	0.119564	0.137235	0.134023	0.138639	0.140476	0.115011
a57	0.0287893	0.0539963	0.104212	0.171629	0.164561	0.167229	0.158336	0.151247
a84	0.0111997	0.0197353	0.0506652	0.108755	0.131993	0.191581	0.22043	0.265641
a20	0.00396016	0.00751047	0.027995	0.074472	0.101578	0.184436	0.242051	0.357997
a35	0.00289827	0.00527566	0.0220658	0.0660036	0.101647	0.211	0.262807	0.328303
a76	0.00194045	0.00423158	0.018739	0.0447339	0.0738831	0.189891	0.281416	0.385166
a35	0.00152556	0.00346779	0.0159027	0.0431101	0.0730499	0.189507	0.287534	0.385903
a76	0.00334062	0.0061537	0.0223027	0.0412217	0.0627934	0.171863	0.270693	0.421632
a35	0.00481957	0.00956535	0.0315169	0.0591156	0.0838591	0.184372	0.254756	0.371996
a24	0.00378955	0.0068113	0.0216677	0.043616	0.0674333	0.1712	0.267632	0.41785
a41	0.00267702	0.00400725	0.00981966	0.0207925	0.0367239	0.128212	0.270362	0.527406
a14	0.00255018	0.00539567	0.0157069	0.0324303	0.0536094	0.156128	0.26858	0.4656
a73	0.00758095	0.0131838	0.0310686	0.0555466	0.0829111	0.174092	0.254048	0.381568
a57	0.00342504	0.00513397	0.0127138	0.0358173	0.0562806	0.166046	0.272653	0.44793
a87	0.0119725	0.0145828	0.0190507	0.0363775	0.0578958	0.151305	0.260439	0.448377
</S>	0.0311531	0.0319726	0.02803	0.0522795	0.0839071	0.17627	0.238377	0.35801
