 	son	champ	de	canne	à	sucre	est	devenu	incontrôlé	</S>
a84	0.270501	0.199596	0.12428	0.127743	0.11684	0.0749264	0.0423825	0.0212145	0.0122414	0.0102744
a87	0.269194	0.147525	0.093025	0.0963827	0.0988094	0.0905126	0.0727257	0.0584395	0.0402864	0.0331002
a57	0.236022	0.158092	0.110308	0.0993729	0.108671	0.119193	0.0830026	0.0402294	0.0250499	0.02006
a87	0.212146	0.186458	0.134727	0.122692	0.1032	0.0977193	0.0659948	0.035701	0.022581	0.01878
a97	0.211796	0.16954	0.117125	0.116607	0.111227	0.113226	0.0788345	0.0423193	0.021106	0.0182196
a87	0.223195	0.190352	0.113033	0.11183	0.1036	0.105755	0.0713581	0.0394028	0.0216574	0.0198175
a30	0.197902	0.174533	0.111723	0.127945	0.128079	0.121921	0.0733098	0.0348015	0.0153333	0.0144528
a93	0.199618	0.175393	0.101003	0.139639	0.148506	0.126128	0.0674177	0.0259125	0.00917159	0.00721087
a75	0.239948	0.214483	0.145669	0.111855	0.0864401	0.0714021	0.0554578	0.0357456	0.0230472	0.0159525
a25	0.211949	0.19398	0.153131	0.0949416	0.0723263	0.0622286	0.0713084	0.067432	0.0421152	0.0305878
a98	0.144374	0.149045	0.143633	0.0840179	0.0657785	0.0552111	0.0692544	0.0924686	0.10732	0.088898
a92	0.180262	0.186025	0.185575	0.104568	0.0773863	0.0541548	0.0478203	0.0507211	0.0600317	0.0534557
a21	0.134085	0.15503	0.169602	0.0994999	0.0803375	0.0594828	0.0538997	0.0652464	0.0973672	0.0854509
a12	0.120787	0.128561	0.159254	0.116039	0.102022	0.0752258	0.0609778	0.0614216	0.0922865	0.0834253
a94	0.103637	0.109282	0.150549	0.127365	0.117688	0.0878511	0.0659796	0.0590782	0.0885433	0.0900259
a90	0.0656053	0.0796322	0.13179	0.130152	0.12473	0.100549	0.0741932	0.0653054	0.108911	0.119132
a25	0.0235155	0.0380019	0.076232	0.101729	0.110976	0.109089	0.0962121	0.0947062	0.16358	0.185958
a98	0.0150483	0.0260111	0.0580967	0.110308	0.125202	0.121353	0.104716	0.0968145	0.149947	0.192504
a79	0.0246075	0.0290166	0.054334	0.0674655	0.0785034	0.0912008	0.0974798	0.108714	0.197407	0.251272
a56	0.0174076	0.0200083	0.0443197	0.0717984	0.089484	0.11126	0.127584	0.122484	0.174679	0.220976
a21	0.0103361	0.00977955	0.019395	0.0472553	0.0667766	0.0970468	0.123648	0.13374	0.210671	0.281351
a5	0.00664857	0.00571808	0.00975417	0.0192368	0.0303693	0.0519847	0.084893	0.117548	0.250985	0.422862
a23	0.00475941	0.00383405	0.00531679	0.00862943	0.0143124	0.0302188	0.0617224	0.10464	0.252191	0.514375
a18	0.00209582	0.00139431	0.00209602	0.00478013	0.00772093	0.0188531	0.0444124	0.0943127	0.277198	0.547137
a31	0.00598597	0.00422986	0.00497153	0.00839183	0.0105066	0.0159073	0.0312088	0.0600552	0.253106	0.605636
a88	0.00145168	0.00121443	0.00155403	0.00298102	0.00416774	0.00925207	0.0259458	0.073008	0.303608	0.576817
a38	0.00131074	0.00106592	0.00167101	0.00424204	0.00641674	0.0126998	0.0309924	0.0769656	0.252343	0.612293
a88	0.00709039	0.00425706	0.00491544	0.00814643	0.0123728	0.0177545	0.0337238	0.0665275	0.207216	0.637996
a38	0.00148071	0.00110526	0.0015611	0.00348165	0.00486254	0.00842479	0.0202929	0.0573145	0.223841	0.677635
a57	0.00920955	0.00603728	0.0066394	0.0105103	0.0136529	0.0194585	0.0414523	0.0842956	0.206254	0.60249
a87	0.0603867	0.0348576	0.0290289	0.0291178	0.0320997	0.0419109	0.0636891	0.0916658	0.149995	0.467249
a30	0.114926	0.0654655	0.0456384	0.0478185	0.0663659	0.093083	0.108489	0.11307	0.126913	0.218231
a57	0.0746478	0.0370499	0.0286001	0.0420005	0.048862	0.0605474	0.0652992	0.0898829	0.202823	0.350287
a97	0.0760513	0.0500235	0.0518357	0.0711056	0.0670789	0.0717806	0.0699219	0.0832106	0.174725	0.284267
a30	0.0856899	0.0556939	0.0574278	0.0733074	0.069236	0.0747896	0.0739154	0.0839637	0.168038	0.257938
a97	0.0522939	0.0365092	0.0331478	0.0345067	0.0319604	0.0441755	0.0614832	0.108046	0.223125	0.374752
</S>	0.114313	0.075366	0.0572476	0.0538439	0.0475712	0.0542754	0.0588893	0.084434	0.171514	0.282546
