 	il	menace	de	pleuvoir	aujourd'	hui	</S>
a87	0.179093	0.450817	0.215706	0.0874998	0.0374373	0.0170284	0.0124186
a99	0.203833	0.296431	0.228459	0.103922	0.0744441	0.0480152	0.0448963
a75	0.149923	0.372986	0.276694	0.0949201	0.0478863	0.0314853	0.0261057
a43	0.302771	0.287344	0.234536	0.0613341	0.0470895	0.0306002	0.0363257
a75	0.533346	0.244675	0.117904	0.041533	0.0281569	0.0153125	0.0190735
a85	0.394424	0.296289	0.176338	0.0566693	0.03746	0.0177886	0.0210317
a44	0.495739	0.325849	0.0855492	0.0351415	0.0224005	0.0171773	0.0181435
a84	0.396129	0.441679	0.0829577	0.0309889	0.0189567	0.0142079	0.0150806
a98	0.155372	0.349966	0.160907	0.0916754	0.0844724	0.0742537	0.0833529
a41	0.189307	0.264833	0.11119	0.095005	0.104751	0.111437	0.123478
a90	0.155992	0.235182	0.101513	0.10368	0.120892	0.133626	0.149115
a93	0.0962526	0.173807	0.115745	0.131197	0.149617	0.158117	0.175264
a66	0.0729458	0.121753	0.119722	0.142017	0.166527	0.177991	0.199043
a75	0.0324338	0.0726541	0.132024	0.164276	0.174466	0.195241	0.228906
a85	0.0262784	0.0462177	0.0577063	0.0925772	0.167767	0.287327	0.322127
a79	0.0304054	0.0477	0.0530078	0.101884	0.157062	0.29041	0.319531
a35	0.0152595	0.0271482	0.0559976	0.135655	0.186134	0.271359	0.308447
a66	0.00549076	0.00919811	0.0214842	0.0643018	0.161278	0.333342	0.404905
a53	0.00080206	0.00144691	0.00620986	0.0260675	0.126243	0.329342	0.509889
a15	0.000764897	0.00199303	0.0115563	0.0339261	0.137693	0.350826	0.463241
a7	0.00122403	0.00282689	0.0164936	0.0461978	0.130038	0.362004	0.441216
a57	0.000623895	0.00119668	0.00772571	0.0302768	0.157605	0.357416	0.445156
a87	0.0252921	0.0188996	0.0416383	0.0826765	0.198578	0.29896	0.333955
a23	0.12597	0.0893865	0.0897148	0.125379	0.202572	0.191235	0.175744
a87	0.06946	0.0281606	0.0429784	0.117804	0.223935	0.253206	0.264456
a97	0.00844709	0.00709553	0.0210313	0.0763496	0.222029	0.320699	0.344349
a23	0.0307757	0.0471061	0.0680375	0.117893	0.207295	0.233184	0.295709
a97	0.015225	0.0173477	0.028076	0.0675268	0.178798	0.305669	0.387358
a87	0.0394432	0.0631075	0.0627042	0.0893262	0.162304	0.263152	0.319963
</S>	0.0294125	0.0440268	0.0566135	0.0974372	0.186563	0.27036	0.315587
