 	ragardez	si	vous	le	voyez	au-dessus	</S>
a23	0.471784	0.220896	0.131922	0.0608264	0.0390201	0.0361103	0.039441
a85	0.576968	0.164527	0.0760102	0.0424576	0.0353888	0.0447253	0.0599232
a87	0.458219	0.242733	0.116412	0.0502728	0.0367438	0.0402201	0.0553995
a23	0.415227	0.278822	0.13754	0.0592212	0.0310785	0.0276309	0.0504803
a38	0.493624	0.255899	0.114437	0.0449168	0.0231462	0.0248702	0.0431067
a41	0.480907	0.303454	0.123256	0.0375992	0.0204892	0.0164014	0.0178924
a27	0.386447	0.313736	0.169743	0.0748939	0.0302781	0.0142026	0.0106992
a25	0.310319	0.287945	0.189775	0.107278	0.0547493	0.0267572	0.0231766
a38	0.161017	0.16583	0.156849	0.127168	0.133727	0.113703	0.141706
a30	0.177298	0.204274	0.218969	0.179856	0.127885	0.0544028	0.0373145
a2	0.15404	0.158623	0.208395	0.193026	0.166127	0.0731357	0.0466516
a57	0.0881344	0.0729574	0.100779	0.134255	0.204557	0.191216	0.208101
a87	0.0780947	0.0769456	0.10413	0.13504	0.195746	0.203965	0.206079
a23	0.125796	0.0940092	0.110842	0.148176	0.197655	0.197344	0.126178
a20	0.108181	0.0753338	0.101085	0.139694	0.173891	0.210794	0.191022
a73	0.184235	0.175888	0.196115	0.163301	0.0957601	0.0880873	0.0966141
a20	0.165242	0.192651	0.242702	0.177376	0.108772	0.0697574	0.0434986
a73	0.0877158	0.128123	0.230255	0.196281	0.140585	0.110669	0.106371
a14	0.074674	0.112816	0.224176	0.196785	0.153219	0.11697	0.12136
a30	0.0585312	0.0724543	0.159696	0.200756	0.190975	0.150883	0.166705
a2	0.041731	0.0507761	0.109837	0.118636	0.193389	0.201373	0.284258
a75	0.024127	0.0205641	0.0393168	0.0506643	0.118916	0.261531	0.484881
a14	0.08242	0.0836314	0.1088	0.0787487	0.109429	0.182849	0.354121
a30	0.043757	0.0508885	0.10235	0.121863	0.217863	0.217501	0.245777
a35	0.0326947	0.0285818	0.0540407	0.0598421	0.169084	0.286166	0.36959
a54	0.032105	0.0244914	0.0429304	0.052764	0.147127	0.26219	0.438392
a14	0.0278024	0.0241874	0.0489124	0.0565486	0.152688	0.245144	0.444717
a37	0.0207437	0.0185221	0.0417696	0.0585822	0.157793	0.273533	0.429056
a24	0.00470318	0.00360738	0.00893028	0.0159028	0.060492	0.225143	0.681221
a25	0.0106497	0.00634906	0.011456	0.019042	0.0603379	0.215169	0.676997
a53	0.00178336	0.00113585	0.0027155	0.00584928	0.029471	0.173599	0.785446
a90	0.00526719	0.00275252	0.00489472	0.00974122	0.0380812	0.182191	0.757072
a4	0.0115576	0.00628508	0.0100218	0.0145202	0.0400234	0.166991	0.750601
a57	0.015887	0.00626984	0.00827145	0.011229	0.0277905	0.151086	0.779467
a82	0.0144045	0.00361725	0.00476739	0.00700224	0.0214317	0.148235	0.800542
a87	0.015312	0.00434095	0.00527014	0.00687172	0.0261108	0.171313	0.770782
</S>	0.0411892	0.0145409	0.0175406	0.019897	0.0516693	0.175655	0.679508
