 	mon	mari	sait	tendre	des	pièges	pour	prendre	les	rats	palmistes	</S>
a66	0.0999168	0.0536668	0.0624062	0.0896821	0.200672	0.234043	0.122712	0.0462975	0.0351022	0.0211902	0.0189609	0.0153504
a87	0.118	0.0946601	0.112559	0.126241	0.149023	0.143392	0.0837658	0.0422098	0.0283867	0.0253525	0.0339075	0.0425027
a97	0.233882	0.138077	0.080173	0.0468359	0.0545321	0.0811497	0.0510186	0.075346	0.0531164	0.0531063	0.0685165	0.0642464
a53	0.236111	0.184197	0.105227	0.0548115	0.0748329	0.102613	0.0433883	0.0532409	0.0365893	0.0280815	0.0387445	0.0421635
a56	0.188635	0.0784382	0.0632127	0.0776224	0.0727246	0.0631868	0.035947	0.0531351	0.0567095	0.0893635	0.121388	0.0996371
a25	0.316316	0.198778	0.144638	0.0994336	0.0636091	0.0357027	0.0156281	0.0119482	0.0169816	0.024552	0.0356473	0.0367657
a56	0.221656	0.179729	0.173941	0.126304	0.0596973	0.0341633	0.0196316	0.0126915	0.0228515	0.0389168	0.0489639	0.0614538
a98	0.198172	0.192642	0.176115	0.116998	0.0695072	0.0415725	0.026106	0.0167823	0.0254609	0.0350589	0.0432626	0.0583222
a92	0.151179	0.171752	0.19406	0.150191	0.101371	0.0539006	0.0284405	0.0156883	0.0198038	0.0267894	0.0341495	0.0526749
a85	0.124441	0.151402	0.179074	0.152422	0.128743	0.0724882	0.0374844	0.0186329	0.0214998	0.0266404	0.0360914	0.0510807
a5	0.122298	0.155259	0.179737	0.148704	0.116259	0.0673109	0.0360967	0.0180408	0.0212942	0.0264499	0.0405959	0.0679548
a21	0.1151	0.129747	0.171262	0.143062	0.135998	0.0887592	0.0441469	0.0204708	0.0239959	0.0262776	0.0360003	0.06518
a56	0.0801576	0.0919508	0.137901	0.121833	0.128822	0.100765	0.0594725	0.0313303	0.0358656	0.0421714	0.0592613	0.11047
a94	0.0442519	0.0517062	0.0938286	0.0956734	0.112902	0.099759	0.0770261	0.0471236	0.0529054	0.0670109	0.0879236	0.169889
a61	0.027564	0.0308608	0.0563796	0.065213	0.0698511	0.0616949	0.0714042	0.0563246	0.0630846	0.0909066	0.129802	0.276914
a21	0.0262143	0.0285202	0.04712	0.0506539	0.0553253	0.0558981	0.0817538	0.0813398	0.086764	0.103835	0.130987	0.251589
a85	0.0257099	0.0243936	0.0343473	0.0339579	0.0402015	0.0518949	0.0798295	0.0805452	0.0955665	0.121047	0.152218	0.260289
a47	0.0155878	0.0179695	0.0296367	0.0337138	0.0287899	0.0283883	0.0509751	0.0586591	0.0731803	0.109733	0.176785	0.376582
a36	0.00786778	0.0101606	0.0171013	0.0194544	0.0125333	0.0101679	0.0272028	0.051234	0.0709534	0.115028	0.194185	0.464111
a56	0.00476191	0.00497027	0.00754884	0.00757905	0.00396446	0.00301389	0.00697785	0.0194004	0.0384725	0.097863	0.207155	0.598292
a44	0.00315017	0.00345222	0.00632141	0.00731185	0.00618227	0.00464607	0.0145018	0.0401998	0.0698188	0.130291	0.195226	0.518898
a70	0.00127616	0.00142086	0.00283533	0.00402035	0.00258399	0.00179083	0.00652095	0.0239826	0.0419962	0.09984	0.199659	0.614074
a13	0.00173279	0.00190334	0.00415133	0.00655427	0.0042618	0.00363441	0.0134343	0.0469595	0.0652215	0.117515	0.225369	0.509263
a38	0.00536066	0.00584231	0.0131284	0.0234886	0.0145069	0.0146131	0.040131	0.0972511	0.118166	0.137059	0.187268	0.343185
a3	0.00592696	0.00554171	0.011794	0.0225498	0.0135386	0.0152546	0.0385031	0.098019	0.121578	0.146653	0.190956	0.329685
a99	0.0318362	0.0220287	0.0261817	0.0294137	0.0284395	0.0482546	0.0584537	0.11584	0.118638	0.114552	0.153895	0.252466
a97	0.0466677	0.0337325	0.0327517	0.0329145	0.0354662	0.0519935	0.0571743	0.120533	0.113953	0.117545	0.137425	0.219844
</S>	0.0465677	0.0364053	0.0356707	0.0333966	0.0349041	0.0490747	0.0626208	0.115209	0.12559	0.12625	0.135301	0.199011
