 	les	noix	de	palme	tombent	les	unes	après	les	autres	</S>
a85	0.460973	0.19611	0.106747	0.0644852	0.0432821	0.0224315	0.0226611	0.0279019	0.0219611	0.0181446	0.0153018
a87	0.399221	0.227347	0.154962	0.0855743	0.0335927	0.0158136	0.0212048	0.0148146	0.0132497	0.0159468	0.0182732
a23	0.150768	0.133705	0.150757	0.142877	0.102497	0.0715811	0.056672	0.0383609	0.0368662	0.049681	0.0662342
a83	0.274747	0.199788	0.207407	0.146132	0.0726733	0.0288955	0.0204012	0.00918095	0.00851542	0.0136266	0.0186334
a62	0.275466	0.212453	0.197055	0.139465	0.0945748	0.0386345	0.0187686	0.0106472	0.00536321	0.00425083	0.00332138
a21	0.174605	0.164058	0.13062	0.134451	0.226942	0.104578	0.0453794	0.00905646	0.00418843	0.00328607	0.00283642
a5	0.206005	0.176818	0.13089	0.121314	0.189261	0.106224	0.0465986	0.00990133	0.00494896	0.004095	0.00394632
a66	0.12491	0.106007	0.0895366	0.0719207	0.134744	0.195259	0.14696	0.0516106	0.0287747	0.024894	0.025383
a98	0.031792	0.0272496	0.0330128	0.0338448	0.0605337	0.149328	0.202658	0.203727	0.101123	0.0817115	0.0750194
a44	0.0185436	0.0133944	0.0140973	0.0153371	0.0348845	0.0967879	0.203683	0.239531	0.139424	0.11813	0.106187
a83	0.0120821	0.00826049	0.00949264	0.0142369	0.0254796	0.0689981	0.136633	0.248658	0.171312	0.165899	0.138947
a62	0.00773332	0.00561016	0.00679102	0.0105354	0.0164686	0.0342885	0.06482	0.200298	0.187671	0.237401	0.228383
a83	0.00645188	0.00532159	0.00677712	0.010404	0.0176462	0.0327292	0.0628625	0.195833	0.190196	0.23526	0.236518
a36	0.00239618	0.00220079	0.0028776	0.0049452	0.0084068	0.0163719	0.0331895	0.115657	0.1874	0.280832	0.345723
a57	0.00451379	0.00434018	0.00599345	0.00791611	0.00738855	0.0121776	0.0190326	0.0704042	0.159557	0.282504	0.426173
a87	0.00383742	0.00282012	0.0025632	0.00170069	0.0014432	0.00318867	0.00492528	0.029944	0.113687	0.285917	0.549973
a23	0.0566051	0.0360489	0.0280411	0.0194409	0.0142842	0.0153539	0.0197616	0.0618237	0.133266	0.239725	0.37565
a87	0.0581668	0.0313735	0.021059	0.0181549	0.025048	0.023016	0.0317415	0.0800246	0.157911	0.265585	0.28792
a23	0.0178491	0.013107	0.00982768	0.0113843	0.0212399	0.0253668	0.0358876	0.0930255	0.181217	0.285227	0.305868
a97	0.0104952	0.00725173	0.00521406	0.00650116	0.0176096	0.0238474	0.0349228	0.112135	0.193258	0.285796	0.302969
</S>	0.0127677	0.0108897	0.00831568	0.0104875	0.023924	0.0328	0.0513243	0.113677	0.161286	0.248121	0.326407
