 	les	gens	vont	sous	l'	ombre	pour	se	mettre	à	l'	abri	du	soleil	</S>
a66	0.297945	0.2303	0.112344	0.0521756	0.0335769	0.0307161	0.0437159	0.044722	0.0434055	0.030738	0.0236939	0.0201145	0.0150125	0.0113238	0.0102161
a87	0.355007	0.140125	0.0881703	0.0802627	0.0605738	0.0571639	0.0467553	0.0425873	0.0310933	0.0211716	0.0228897	0.0188645	0.0126547	0.0120601	0.0106209
a79	0.218354	0.104282	0.0777211	0.0536872	0.056945	0.0997795	0.0922376	0.0685292	0.0485764	0.0388259	0.0406551	0.0308611	0.0241925	0.0237191	0.0216337
a40	0.113331	0.0475628	0.0428557	0.043379	0.06397	0.120136	0.11668	0.0873239	0.051393	0.0465219	0.0667568	0.0597634	0.0463135	0.0502086	0.0438039
a5	0.229105	0.132869	0.064028	0.0421583	0.0463712	0.0554308	0.0611949	0.0621198	0.0553427	0.0493551	0.053902	0.0494437	0.0378443	0.0334157	0.0274196
a98	0.115442	0.135984	0.157609	0.124058	0.0868692	0.0773821	0.0644124	0.0548782	0.0449055	0.0310488	0.0247179	0.0208918	0.0219446	0.0210528	0.0188039
a47	0.0833473	0.12394	0.168467	0.125321	0.0812284	0.0793409	0.0615453	0.0577564	0.0503965	0.0360734	0.029421	0.0266354	0.028933	0.0256455	0.0219483
a0	0.0458087	0.0776762	0.175689	0.165134	0.100176	0.0950056	0.0612213	0.05654	0.0495117	0.0312523	0.0236912	0.0230332	0.0304732	0.0332044	0.0315836
a21	0.0653849	0.0823552	0.132119	0.163184	0.105271	0.0930282	0.0681514	0.0605426	0.0610957	0.039418	0.0260325	0.0202091	0.0258469	0.0284239	0.0289381
a5	0.13182	0.14509	0.133495	0.0973459	0.0641988	0.0644454	0.0754303	0.0688063	0.0646736	0.0400686	0.0255265	0.0182863	0.0221973	0.0250579	0.0235586
a43	0.030245	0.0340128	0.0467924	0.0554028	0.0515744	0.0623861	0.114149	0.131798	0.144305	0.0900477	0.0596335	0.0381663	0.0443466	0.0486731	0.0484662
a21	0.0163323	0.0197218	0.0292877	0.0444432	0.049126	0.0585483	0.126014	0.158615	0.169064	0.0926607	0.0625237	0.0412321	0.0411112	0.0446995	0.0466202
a47	0.0140509	0.0150036	0.0176281	0.0189402	0.0225675	0.0338285	0.0745649	0.120688	0.178571	0.134324	0.0961842	0.0572451	0.0679692	0.071513	0.0769215
a90	0.00560854	0.00813528	0.0161189	0.0260409	0.0316883	0.0383921	0.0702566	0.123044	0.169378	0.139134	0.109356	0.0714153	0.0659803	0.062184	0.0632676
a93	0.00238731	0.00342344	0.00570832	0.00911287	0.0150047	0.024814	0.0511231	0.102922	0.164452	0.15016	0.127771	0.0864131	0.0868286	0.0820638	0.0878156
a96	0.00248841	0.00321319	0.00514843	0.00697729	0.0127096	0.0206347	0.0440787	0.0882534	0.138349	0.144222	0.134294	0.102058	0.10522	0.0966982	0.0956559
a62	0.00200011	0.00277714	0.00466144	0.00627535	0.010413	0.0152541	0.0268714	0.0442201	0.0678241	0.0944844	0.118075	0.109977	0.13897	0.166254	0.191943
a88	0.0030981	0.00416913	0.00558335	0.00608251	0.00913229	0.0143298	0.0235053	0.0351408	0.0443998	0.067207	0.0991881	0.109944	0.15038	0.198617	0.229222
a70	0.00198529	0.00249173	0.00358327	0.00505855	0.0101338	0.0213604	0.0303141	0.0412312	0.0471528	0.074958	0.116329	0.100816	0.12042	0.174018	0.250147
a90	0.00288988	0.00409055	0.00610765	0.00833637	0.0175207	0.0346698	0.0380412	0.0457096	0.0490888	0.0710382	0.107815	0.0960815	0.115012	0.165249	0.23835
a92	0.000404724	0.000585461	0.000938439	0.0015823	0.0040046	0.00928287	0.016024	0.0249642	0.0309463	0.0506884	0.0902752	0.0875946	0.131067	0.216588	0.335053
a6	0.000151656	0.000254695	0.000513617	0.00122347	0.00367472	0.00806289	0.014658	0.0236636	0.0305418	0.0449887	0.077673	0.0760442	0.117868	0.221968	0.378713
a37	0.000143692	0.000213724	0.000406739	0.00105103	0.00364276	0.00993683	0.0161439	0.0249922	0.0318722	0.0461877	0.0852229	0.0756835	0.108297	0.208765	0.387441
a0	0.000591739	0.000700596	0.00105035	0.00239384	0.00617512	0.0163882	0.0207064	0.0301776	0.0433738	0.0684876	0.120006	0.0951947	0.119828	0.185225	0.289701
a24	0.00846945	0.0107315	0.0132052	0.0155054	0.0333698	0.0628965	0.0544089	0.0582162	0.0684761	0.0746295	0.109903	0.08693	0.101274	0.134203	0.167782
a9	0.00623855	0.00764542	0.0103822	0.0142682	0.0325547	0.0568821	0.0529588	0.0573153	0.0664088	0.0713514	0.113483	0.0941757	0.0977604	0.136925	0.18165
a87	0.0524077	0.0439949	0.0468621	0.0352729	0.0418064	0.0650179	0.0639667	0.0681062	0.0796008	0.0889297	0.0922823	0.0652523	0.0708158	0.0833184	0.102366
a23	0.106742	0.0575848	0.0519699	0.0360364	0.0349933	0.0582946	0.0541422	0.0584117	0.0648124	0.0792729	0.0937843	0.0745249	0.0741351	0.0742489	0.0810461
a27	0.00950963	0.00496781	0.00600564	0.00707342	0.0125928	0.0388711	0.0464297	0.0654729	0.0884713	0.121754	0.153656	0.127243	0.111741	0.105208	0.101003
</S>	0.0030969	0.00203586	0.00329496	0.0064044	0.010937	0.0318457	0.0490146	0.0674261	0.0923027	0.105348	0.122545	0.102862	0.108559	0.137443	0.156885
