 	le	malade	agonise	</S>
a10	0.289371	0.238968	0.304514	0.167147
a87	0.271283	0.180993	0.245162	0.302562
a79	0.395199	0.17295	0.174768	0.257082
a76	0.51234	0.233358	0.160039	0.0942629
a90	0.552568	0.236283	0.141007	0.0701424
a84	0.573394	0.245993	0.123191	0.0574217
a40	0.486783	0.282807	0.153064	0.0773465
a76	0.399313	0.289609	0.202429	0.108649
a35	0.404658	0.272868	0.19806	0.124415
a26	0.407234	0.266765	0.196458	0.129542
a35	0.444832	0.276417	0.178392	0.100359
a76	0.384013	0.276803	0.215213	0.123972
a94	0.280716	0.254403	0.261093	0.203788
a58	0.20711	0.220158	0.298681	0.274052
a38	0.0995133	0.153094	0.329674	0.417719
a94	0.0856483	0.142602	0.306756	0.464994
a35	0.0764638	0.122037	0.271525	0.529975
a75	0.0464617	0.0781398	0.233133	0.642265
a35	0.0391895	0.0487401	0.188909	0.723161
a14	0.0267201	0.0339605	0.145659	0.793661
a35	0.0274727	0.037473	0.144071	0.790983
a24	0.0328121	0.036573	0.12532	0.805295
a32	0.028359	0.0297831	0.119106	0.822752
a25	0.025902	0.0255989	0.117736	0.830763
a58	0.0299927	0.0367667	0.161781	0.77146
a4	0.028368	0.0288516	0.137825	0.804955
a57	0.0271586	0.0271706	0.13689	0.808781
a87	0.0512159	0.0473445	0.164824	0.736616
</S>	0.0856445	0.0581838	0.154644	0.701528
