 	les	hommes	sont	partis	chercher	du	gravier	au	fleuve	</S>
a15	0.13313	0.136274	0.117149	0.139927	0.241508	0.173995	0.0477384	0.00473023	0.0028999	0.00264996
a66	0.226908	0.189779	0.144936	0.126528	0.157686	0.0832449	0.0348465	0.0116167	0.00999648	0.0144597
a87	0.337953	0.250865	0.168013	0.0956581	0.0792878	0.0220088	0.00863486	0.00572658	0.010397	0.0214551
a23	0.223608	0.224237	0.235081	0.14834	0.0966664	0.0359513	0.013221	0.00526697	0.00649642	0.0111319
a40	0.234117	0.233657	0.215187	0.110589	0.0572404	0.0274884	0.0321592	0.0252655	0.0288648	0.0354329
a7	0.162515	0.149447	0.134683	0.137122	0.170846	0.125831	0.0675331	0.0173569	0.0174687	0.0171973
a54	0.116094	0.162464	0.172131	0.200973	0.188885	0.0818386	0.0509477	0.0131989	0.00786541	0.00560298
a47	0.146428	0.147695	0.126842	0.158051	0.14448	0.109107	0.103283	0.0339746	0.0174104	0.0127292
a37	0.103955	0.131698	0.15212	0.211297	0.196058	0.0981588	0.0634021	0.0197054	0.0122836	0.011323
a79	0.151519	0.14864	0.165476	0.195165	0.152311	0.0734413	0.0522249	0.0240593	0.019172	0.017993
a44	0.125235	0.137785	0.172236	0.202239	0.148175	0.0855727	0.0608655	0.0278754	0.0201872	0.0198293
a26	0.147296	0.138859	0.160227	0.192311	0.160251	0.0916302	0.055585	0.0196243	0.0164279	0.0177888
a54	0.0872863	0.0891705	0.105503	0.139896	0.152872	0.149199	0.117927	0.050164	0.0461434	0.0618395
a15	0.0422505	0.0489044	0.069414	0.121836	0.133698	0.128145	0.131136	0.111249	0.105268	0.108098
a25	0.036969	0.0392744	0.0509201	0.098993	0.138641	0.170337	0.147417	0.114657	0.104381	0.0984112
a92	0.0289422	0.030187	0.0400335	0.082074	0.116469	0.159822	0.147209	0.135077	0.132902	0.127285
a98	0.0325175	0.0324011	0.0410607	0.075217	0.103664	0.145768	0.128129	0.138	0.157714	0.145528
a85	0.017349	0.0204983	0.0299654	0.0645054	0.0980068	0.168978	0.167504	0.145258	0.149674	0.138261
a6	0.00836333	0.0093275	0.0135922	0.0279324	0.0425085	0.0870741	0.133143	0.206808	0.246162	0.225089
a36	0.0082658	0.00756027	0.00867577	0.0143541	0.0226636	0.0655197	0.119093	0.253116	0.257655	0.243097
a21	0.0042659	0.00374456	0.00366002	0.0049966	0.0066298	0.0162193	0.0400789	0.198596	0.321079	0.40073
a92	0.00180544	0.00154231	0.00181853	0.00205054	0.00260638	0.00676399	0.0207312	0.159192	0.32948	0.474009
a79	0.000531994	0.000469914	0.00056051	0.000773383	0.00111393	0.00361261	0.0163926	0.152201	0.341629	0.482715
a44	0.000225903	0.000179754	0.000182923	0.000242168	0.000354966	0.00148641	0.0087932	0.106127	0.307754	0.574653
a75	0.00111129	0.000915213	0.000632222	0.000769526	0.00105953	0.00342446	0.0134863	0.139226	0.305039	0.534336
a5	0.000641569	0.000572866	0.000370536	0.000489439	0.000752006	0.00258291	0.00930935	0.105933	0.289397	0.589951
a12	0.000799499	0.00069755	0.000490479	0.000630124	0.000956457	0.00318181	0.00951833	0.0828143	0.236994	0.663917
a18	0.000852614	0.000758168	0.000496311	0.000624781	0.000925046	0.00341069	0.0140711	0.0972486	0.240794	0.640819
a82	0.000527303	0.00039455	0.000221693	0.000323633	0.000737664	0.0032064	0.0122159	0.09315	0.251158	0.638065
a97	0.0310294	0.0185242	0.0100793	0.0120023	0.0175929	0.0292107	0.0602473	0.165408	0.240911	0.414995
a87	0.234998	0.134752	0.0956809	0.0923434	0.108715	0.106156	0.0710938	0.0550485	0.0460086	0.0552035
a23	0.176762	0.132641	0.110519	0.10461	0.115848	0.107755	0.0773508	0.060596	0.0505497	0.0633689
a99	0.0956361	0.0562372	0.0335436	0.023078	0.0171256	0.0130321	0.00965504	0.0627004	0.17615	0.512842
a87	0.0581043	0.0331974	0.022108	0.0151249	0.0107741	0.0117792	0.0156306	0.0870982	0.221271	0.524913
</S>	0.0132734	0.00865281	0.00688079	0.0052974	0.00466238	0.00612446	0.0112134	0.0779801	0.238347	0.627568
