 	il	recherche	la	moindre	bribe	de	tabac	</S>
a87	0.275557	0.341377	0.155923	0.0694442	0.0436258	0.0378524	0.0381065	0.0381137
a79	0.11127	0.0944564	0.10924	0.132806	0.161854	0.144621	0.151473	0.0942792
a98	0.112438	0.106994	0.0939	0.108557	0.125826	0.139447	0.173065	0.139773
a85	0.178984	0.171187	0.116338	0.113725	0.0927999	0.104109	0.114225	0.108632
a41	0.228371	0.260512	0.190097	0.106483	0.0712907	0.0574263	0.0519412	0.0338785
a21	0.165966	0.232711	0.263134	0.13402	0.0702968	0.0535713	0.0470073	0.0332933
a41	0.22708	0.235716	0.216431	0.138005	0.0716516	0.0523214	0.03627	0.0225247
a56	0.164586	0.147932	0.113184	0.166094	0.147143	0.133341	0.0875701	0.0401503
a75	0.0989989	0.0855229	0.0841673	0.159997	0.170392	0.165538	0.143187	0.0921971
a43	0.0395526	0.0372235	0.0373512	0.119505	0.18391	0.221036	0.228333	0.133089
a31	0.0391788	0.0330683	0.0228248	0.0481015	0.103251	0.194804	0.29577	0.263002
a24	0.024571	0.023661	0.0256227	0.05729	0.12694	0.204705	0.285676	0.251534
a9	0.0201055	0.0174388	0.017096	0.0357585	0.0844366	0.165306	0.291919	0.367939
a38	0.00341101	0.0046256	0.00561773	0.0151422	0.0423779	0.101025	0.28872	0.539081
a21	0.00486675	0.00676322	0.00996652	0.0280742	0.073191	0.138178	0.310772	0.428188
a12	0.00322398	0.00346278	0.00430249	0.0102927	0.0434828	0.108911	0.310192	0.516132
a18	0.00535923	0.00582605	0.0094536	0.0231084	0.0748744	0.130606	0.284512	0.466259
a25	0.0221764	0.0276572	0.0288302	0.0622475	0.101941	0.138837	0.266228	0.352083
a10	0.0242668	0.0311346	0.0269188	0.0484784	0.0869608	0.130376	0.280335	0.371529
</S>	0.0177288	0.0238407	0.0292826	0.0654032	0.137247	0.187064	0.268545	0.270888
