 	sa	colère	s'	apaise	</S>
a23	0.437635	0.181134	0.099332	0.135045	0.146854
a30	0.532081	0.167005	0.0675598	0.097755	0.135599
a53	0.223018	0.146614	0.103793	0.235593	0.290982
a20	0.493813	0.142528	0.115643	0.155691	0.0923245
a30	0.503318	0.168747	0.142165	0.131945	0.053826
a35	0.632361	0.186477	0.0964823	0.0610326	0.0236465
a30	0.502721	0.255603	0.128629	0.0769587	0.0360885
a44	0.340247	0.327148	0.168177	0.106866	0.0575613
a57	0.326678	0.323577	0.16545	0.114562	0.0697339
a79	0.150982	0.250683	0.190554	0.208338	0.199442
a76	0.171984	0.240277	0.205514	0.221173	0.161052
a35	0.324744	0.292476	0.177345	0.127386	0.0780489
a11	0.268509	0.259782	0.176519	0.16459	0.1306
a54	0.133165	0.187111	0.201748	0.25218	0.225795
a14	0.0889212	0.130853	0.172214	0.283738	0.324274
a73	0.0695507	0.102436	0.170787	0.304958	0.352269
a84	0.0243021	0.0302773	0.067655	0.293265	0.5845
a87	0.0133755	0.0144546	0.044727	0.249408	0.678035
a23	0.0174326	0.0314052	0.0906995	0.296713	0.56375
a11	0.016657	0.0148825	0.0620803	0.278531	0.627849
a24	0.0268186	0.028367	0.0759573	0.257727	0.61113
a41	0.00646812	0.0130891	0.0461768	0.204945	0.729321
a35	0.00158361	0.00312032	0.0188832	0.164584	0.811829
a94	0.00245007	0.00362049	0.0192863	0.154671	0.819972
a25	0.00165874	0.00202096	0.0105221	0.118267	0.867532
a87	0.00178821	0.00208261	0.0131426	0.161338	0.821649
</S>	0.011981	0.0145283	0.0475204	0.22009	0.70588
