 	itoua	est	taquin	c'	est	pourquoi	ses	amis	refusent	de	lui	parler	</S>
a15	0.0744144	0.0703258	0.146399	0.145179	0.118015	0.1051	0.125576	0.0950329	0.0651559	0.0200887	0.0127196	0.0119828	0.0100095
a66	0.197212	0.158902	0.103907	0.0939553	0.0914391	0.0729971	0.067988	0.0702212	0.0410417	0.0254851	0.0226146	0.0267778	0.0274605
a87	0.533598	0.167715	0.0629909	0.0374875	0.035963	0.0291117	0.0349143	0.0210114	0.0118925	0.00705374	0.0091768	0.0194391	0.0296464
a23	0.56154	0.168974	0.0471481	0.024221	0.0250266	0.0223416	0.0256434	0.0277479	0.0216636	0.016683	0.0150219	0.0177951	0.026194
a83	0.516032	0.259856	0.0623178	0.0253332	0.0255018	0.0214937	0.0174659	0.0113867	0.010187	0.00778853	0.0101342	0.0138665	0.0186373
a9	0.283209	0.169402	0.0577464	0.0385692	0.0304714	0.0195902	0.0119912	0.0137403	0.0205022	0.0359514	0.0740854	0.127576	0.117165
a11	0.411947	0.265443	0.0655954	0.0359246	0.0274096	0.0142004	0.00764914	0.00742023	0.0101909	0.0157596	0.0340241	0.0519432	0.0524925
a90	0.292589	0.244394	0.119885	0.0633435	0.0529028	0.0357347	0.0224066	0.0168158	0.0159421	0.0160884	0.0319207	0.0420919	0.0458853
a98	0.15002	0.168305	0.134029	0.0959316	0.0797282	0.0592499	0.0350028	0.0263836	0.0280869	0.0270644	0.0530883	0.0701959	0.0729146
a85	0.109379	0.135701	0.126898	0.118039	0.102233	0.075912	0.0448145	0.0358767	0.0362885	0.0317791	0.0516712	0.0638909	0.0675172
a6	0.117065	0.12969	0.113861	0.116185	0.103085	0.0803069	0.0490968	0.0451077	0.0469143	0.0326817	0.0459107	0.0577222	0.0623719
a5	0.119577	0.124932	0.115633	0.108813	0.0898587	0.0722292	0.0563858	0.0559007	0.0562744	0.0365021	0.0455778	0.057583	0.0607328
a21	0.0845501	0.136013	0.16651	0.134174	0.109928	0.087569	0.0760432	0.0588712	0.0475042	0.0226832	0.0230545	0.0246817	0.0284184
a85	0.0601638	0.104692	0.156173	0.122358	0.0972939	0.0845936	0.103294	0.0851365	0.0642764	0.0280055	0.0284373	0.0312099	0.0343656
a37	0.0343835	0.0685164	0.143468	0.141966	0.127092	0.09685	0.0758125	0.0639695	0.0589589	0.0347436	0.0382333	0.0502091	0.0657966
a75	0.0175029	0.0288057	0.162577	0.166708	0.15037	0.137024	0.114385	0.0661106	0.0466737	0.018111	0.01961	0.026474	0.0456472
a92	0.0128738	0.0224757	0.1341	0.139855	0.111699	0.0933094	0.107714	0.0852221	0.0616957	0.0385556	0.0463802	0.0607168	0.0854022
a44	0.0115532	0.0189749	0.115167	0.124134	0.0916451	0.0796693	0.0982204	0.0865634	0.0672404	0.0595415	0.0696679	0.0771879	0.100436
a66	0.0138377	0.0208489	0.117546	0.15511	0.128223	0.125274	0.122287	0.0889087	0.0628411	0.0251414	0.0259946	0.0393422	0.0746456
a57	0.0343094	0.0377472	0.107324	0.121761	0.122938	0.160242	0.162154	0.102294	0.0747643	0.0213892	0.0135595	0.0144516	0.0270661
a3	0.0454011	0.0470879	0.0977996	0.100316	0.101492	0.123841	0.136203	0.127207	0.104529	0.0394355	0.0229972	0.0230441	0.0306467
a87	0.0498835	0.03978	0.0941592	0.0978718	0.0933718	0.105015	0.113796	0.111762	0.104208	0.0557345	0.0435584	0.0432278	0.0476316
a99	0.136007	0.061749	0.0458704	0.0544277	0.047789	0.0360674	0.0274002	0.0472213	0.0663375	0.0870747	0.122071	0.126458	0.141527
a62	0.128285	0.0615939	0.0502891	0.0557253	0.0554784	0.0495008	0.0369309	0.0738039	0.0770801	0.0951492	0.0990543	0.0954438	0.121665
