 	le	sous-préfet	n'	est	pas	venu	faire	le	recensement	personnellement	mais	il	a	envoyé	son	représentant	</S>
a87	0.0707085	0.0550939	0.068348	0.0763154	0.0779878	0.103441	0.0816456	0.065535	0.0499326	0.0603799	0.0790051	0.0803797	0.0702231	0.0368207	0.0100596	0.0087835	0.00534028
a97	0.188015	0.172671	0.100581	0.0706707	0.0551534	0.0508872	0.0541602	0.0466048	0.0160485	0.0084447	0.034568	0.0342443	0.0308952	0.0227524	0.0258195	0.0433989	0.0450861
a87	0.0771567	0.105545	0.100351	0.0876623	0.084796	0.098222	0.111713	0.0994463	0.0522234	0.0236495	0.0202972	0.0162813	0.0149728	0.0137372	0.0170462	0.0322038	0.0446957
a23	0.0875772	0.140634	0.158682	0.12634	0.101498	0.107983	0.0869959	0.0751769	0.0379874	0.0146747	0.00780469	0.00689581	0.00785801	0.00732361	0.00740693	0.0122091	0.0129541
a87	0.060517	0.148324	0.199015	0.146073	0.102043	0.109656	0.0723418	0.0482921	0.0225775	0.0129195	0.00783717	0.00656327	0.00714925	0.00853998	0.00917662	0.0202492	0.0187265
a79	0.0586491	0.144793	0.201281	0.140254	0.0976935	0.099574	0.064031	0.0400365	0.0178327	0.00918526	0.00771489	0.00716742	0.00866681	0.0128666	0.0168192	0.0370784	0.036357
a69	0.15175	0.173788	0.14544	0.0882809	0.0587349	0.070397	0.045948	0.0276016	0.0129979	0.00935497	0.00682513	0.00616754	0.00741019	0.0163538	0.0262785	0.0615386	0.0911336
a44	0.175569	0.13909	0.143498	0.109935	0.071749	0.080633	0.0636332	0.0449159	0.0310605	0.0298528	0.016148	0.0111698	0.00827902	0.00798231	0.0115028	0.0203764	0.0346051
a54	0.104889	0.125341	0.182779	0.138735	0.0868865	0.088788	0.0654238	0.0409862	0.0378532	0.0408145	0.0166597	0.0122842	0.00945847	0.00829961	0.00915693	0.0133397	0.0183036
a37	0.0517463	0.0746335	0.127796	0.104156	0.0776204	0.0911781	0.0832324	0.0607505	0.0676584	0.078395	0.0493957	0.0310061	0.0196175	0.014474	0.0164394	0.0223332	0.0295676
a75	0.0418505	0.0680261	0.140663	0.104848	0.0771679	0.0861798	0.0752002	0.0621462	0.0901313	0.0794924	0.049419	0.0332879	0.020079	0.0145008	0.015738	0.0189045	0.0223647
a85	0.0304447	0.0508487	0.115909	0.0956015	0.0780894	0.0878335	0.0773187	0.0680964	0.107314	0.0904133	0.0658047	0.045192	0.0246016	0.0130424	0.0124904	0.0151558	0.0218445
a37	0.0391634	0.0653332	0.116665	0.0904414	0.0657783	0.0726392	0.0613963	0.0580497	0.0970935	0.0983035	0.0819818	0.0602212	0.0342574	0.0150207	0.0124309	0.013677	0.0175479
a75	0.0169479	0.0293469	0.0983826	0.110849	0.102819	0.109107	0.0887743	0.0741278	0.113176	0.0890189	0.0547714	0.0418276	0.0227402	0.0112606	0.0103432	0.0112058	0.0153031
a5	0.0145442	0.0278678	0.0881673	0.0957835	0.0796648	0.0838067	0.0704118	0.068077	0.116147	0.099947	0.086292	0.0664369	0.0382501	0.0159088	0.0123365	0.0129475	0.0234107
a21	0.0167269	0.0261343	0.0759832	0.0950126	0.0904458	0.095408	0.0796096	0.0766948	0.11602	0.0992375	0.0784803	0.0639086	0.0358914	0.0143313	0.0109473	0.00993688	0.0152319
a25	0.0104941	0.0157655	0.0468816	0.0733596	0.0843684	0.0944575	0.0855956	0.0823869	0.129531	0.115678	0.0908745	0.0756883	0.0420822	0.0167665	0.0117276	0.0097265	0.0146166
a44	0.00386949	0.00717161	0.0237346	0.0444003	0.0662979	0.0758505	0.0830766	0.0955894	0.151632	0.113561	0.105079	0.0921606	0.0534075	0.0210298	0.0173719	0.0172141	0.0285537
a58	0.00259496	0.00492287	0.0167108	0.0319197	0.0566062	0.0759513	0.088825	0.100313	0.14054	0.1308	0.107879	0.0969406	0.0558626	0.0212762	0.0176933	0.0179022	0.0332623
a25	0.000670865	0.00166507	0.00894969	0.0186235	0.0430737	0.069789	0.102392	0.12113	0.14956	0.118287	0.116329	0.0886953	0.0424179	0.0172025	0.0215747	0.0276851	0.0519538
a90	0.000951159	0.00238351	0.0113025	0.0198665	0.042399	0.0651348	0.0981105	0.143976	0.188572	0.102079	0.0952376	0.0665944	0.0320272	0.0160855	0.0193476	0.026087	0.0698448
a13	0.00232175	0.00501744	0.0141669	0.0222156	0.0392575	0.0557118	0.0756882	0.0979188	0.121031	0.0984266	0.110353	0.097964	0.0536134	0.0307893	0.0363344	0.0406743	0.0985163
a98	0.000671019	0.00131971	0.00547043	0.0107706	0.0258451	0.0444981	0.0741548	0.115754	0.135645	0.110006	0.125886	0.101892	0.0566442	0.0271492	0.029872	0.0402478	0.0941726
a5	0.00317559	0.00528239	0.0119149	0.0180014	0.0312889	0.0433658	0.0610224	0.08883	0.132022	0.110056	0.121293	0.108879	0.0584525	0.0362025	0.0429925	0.0394638	0.0877573
a21	0.00450256	0.0071128	0.0157004	0.0226252	0.037933	0.0486508	0.0618205	0.088194	0.141609	0.124776	0.116707	0.0994641	0.0546526	0.0331797	0.0381431	0.0356143	0.0693158
a92	0.00445189	0.00694223	0.0151407	0.0221166	0.0351508	0.0444647	0.0569278	0.0929777	0.153383	0.132552	0.118673	0.096759	0.0531949	0.0306343	0.0322287	0.0351104	0.0692923
a90	0.00444434	0.00689019	0.0126602	0.0169699	0.0256354	0.0323238	0.0416583	0.0766906	0.135248	0.118066	0.114384	0.0921764	0.049591	0.0317209	0.044442	0.0594541	0.137645
a15	0.00163706	0.00252517	0.00661558	0.0104515	0.0184797	0.0245922	0.0377567	0.0824572	0.133357	0.0964953	0.109084	0.102937	0.0622159	0.0484417	0.0559721	0.068247	0.138735
a44	0.00402549	0.00829977	0.0153106	0.0184988	0.0262222	0.0337751	0.0483856	0.0884733	0.130071	0.08869	0.116556	0.0996269	0.0571979	0.0370852	0.0432333	0.0550497	0.129499
a41	0.00237849	0.00382296	0.00829348	0.0115564	0.0185237	0.0240866	0.0363772	0.0731855	0.111081	0.0743298	0.101127	0.0944418	0.0591999	0.0507922	0.0612125	0.0769815	0.19261
a5	0.0113507	0.0143081	0.021581	0.025742	0.0313699	0.0361577	0.0405697	0.0625947	0.0970589	0.0788429	0.108339	0.0897419	0.0510172	0.0358525	0.0529224	0.069616	0.172936
a18	0.00663192	0.00962267	0.017741	0.0240061	0.0343691	0.0411895	0.048143	0.0783434	0.128453	0.120652	0.118876	0.0945565	0.0540875	0.0370785	0.0429943	0.0497993	0.0934567
a40	0.00229631	0.0030947	0.0053703	0.00752911	0.0127781	0.018206	0.0285546	0.0613547	0.100228	0.0776895	0.105788	0.0986839	0.0618448	0.0566658	0.074448	0.0921026	0.193365
a75	0.00849163	0.0111299	0.016893	0.0198986	0.0256835	0.0293303	0.0359517	0.0588359	0.0911662	0.0660423	0.0921621	0.0826172	0.0515279	0.0439959	0.0670251	0.0865177	0.212731
a47	0.0140865	0.0194187	0.0294547	0.0335612	0.0402912	0.0445193	0.0482162	0.0646896	0.106007	0.0925205	0.105971	0.085055	0.050535	0.0340676	0.0405365	0.0570598	0.13401
a36	0.00650257	0.00880555	0.0159342	0.0206296	0.0293222	0.0330273	0.0404387	0.0677878	0.108581	0.07895	0.0977766	0.0819876	0.0497266	0.0414858	0.0567725	0.0786517	0.18362
a2	0.00150014	0.00202	0.00392717	0.00560559	0.00936969	0.0128467	0.0206326	0.0446014	0.0709417	0.0533582	0.071222	0.0672774	0.0448793	0.0477974	0.0835866	0.124349	0.336085
a57	0.00276511	0.00520143	0.00864772	0.00881426	0.010547	0.0135683	0.0195443	0.0349677	0.0392156	0.0344645	0.0582172	0.0570508	0.0420224	0.0566544	0.0898982	0.131003	0.387418
a87	0.0127604	0.0151046	0.0201685	0.0194915	0.0240097	0.0284239	0.0400493	0.0638919	0.0587891	0.0250599	0.0556512	0.0516153	0.0444217	0.061821	0.0922278	0.159961	0.226553
a23	0.0217546	0.0225677	0.0377211	0.0435784	0.055472	0.0635333	0.0651823	0.0661955	0.0346197	0.0177441	0.0358759	0.033636	0.0410738	0.064804	0.113069	0.159484	0.123689
a87	0.00620857	0.00593633	0.00762966	0.00751383	0.00989017	0.0102192	0.0127948	0.016448	0.0097067	0.00357673	0.0118046	0.0162304	0.023707	0.0565456	0.152971	0.255997	0.39282
a97	0.0116064	0.0122995	0.0206382	0.0191377	0.0207337	0.0206762	0.0233539	0.027497	0.0130253	0.00780608	0.0159398	0.0171838	0.0220153	0.0477738	0.15701	0.234356	0.328947
a87	0.0132829	0.0146158	0.0329857	0.0322894	0.0358599	0.0369367	0.0431401	0.0477722	0.0253414	0.0144326	0.0259901	0.0252908	0.0305216	0.0680335	0.143875	0.194402	0.215231
a97	0.0264995	0.0221037	0.046761	0.0471109	0.0506	0.0479621	0.052665	0.0488709	0.0256045	0.0096623	0.0193543	0.0188547	0.0289126	0.0634469	0.119413	0.17193	0.200248
a83	0.02952	0.0277543	0.0561659	0.0516857	0.0487661	0.0445932	0.0478486	0.0407653	0.0227345	0.00977314	0.0201014	0.0191899	0.0266407	0.0576998	0.121215	0.18682	0.188726
a11	0.00476302	0.00320909	0.00476841	0.00541687	0.00562	0.0059456	0.00674919	0.00712249	0.00390449	0.00327114	0.0137715	0.0213152	0.0324253	0.103077	0.24107	0.22755	0.310022
a75	0.00105021	0.000913332	0.00183449	0.00305664	0.0049406	0.00651911	0.00906107	0.011272	0.0103287	0.0123534	0.0246103	0.0303345	0.0339111	0.0786376	0.206046	0.209932	0.355198
a47	0.000920736	0.00121429	0.00206295	0.00328851	0.00556272	0.0068448	0.00875911	0.0111899	0.0126737	0.0105104	0.014042	0.0165059	0.0187288	0.0505555	0.207897	0.286574	0.342669
a41	0.00119194	0.00140786	0.00326101	0.00518494	0.00873578	0.0102666	0.0131077	0.0172685	0.0265337	0.0203025	0.0244808	0.0271089	0.0276633	0.0565497	0.158988	0.252869	0.34508
a27	0.00113911	0.00135065	0.00288185	0.00414784	0.0069202	0.00919803	0.0131245	0.024976	0.0426528	0.0334747	0.0361638	0.0366788	0.034113	0.0637955	0.171613	0.232666	0.285104
a0	0.000148658	0.000145091	0.000416456	0.000654032	0.00131286	0.00230581	0.00459169	0.00758254	0.00939847	0.00829781	0.0127512	0.0172914	0.0189831	0.0552228	0.18131	0.253868	0.425721
a66	0.000193235	0.00021052	0.000472566	0.000681252	0.00121365	0.00205155	0.0038506	0.00697006	0.00774933	0.00955415	0.0160237	0.0216391	0.0238866	0.0777807	0.223347	0.274866	0.329509
a75	0.000339353	0.000475742	0.000920409	0.00120236	0.00179857	0.00275559	0.00459873	0.00786528	0.00832588	0.0107849	0.0170543	0.021334	0.0209821	0.063086	0.196853	0.268465	0.373159
a66	0.000707688	0.00101654	0.00168956	0.00235603	0.00356618	0.00460962	0.00727972	0.0181528	0.0281613	0.020204	0.0248479	0.0269658	0.0226195	0.0431878	0.158419	0.249836	0.386381
a90	0.000149627	0.000153657	0.000290222	0.00041117	0.000708469	0.00103822	0.00200339	0.00476014	0.00580197	0.0064025	0.0106198	0.0142691	0.0148248	0.0468012	0.188661	0.254484	0.44862
a56	0.000210283	0.000258998	0.000545988	0.000834969	0.00146439	0.00205737	0.00372085	0.0102529	0.0161034	0.0112866	0.0148903	0.016988	0.015002	0.0340396	0.151526	0.252748	0.46807
a70	0.000230644	0.000316787	0.000683164	0.00106922	0.00176939	0.00233507	0.00393146	0.0108435	0.0155532	0.0124968	0.0166522	0.0185588	0.017023	0.0335041	0.150526	0.241635	0.472872
a13	0.000177419	0.000248952	0.000529439	0.000772822	0.00121123	0.00151795	0.00257173	0.00710337	0.0101916	0.00896965	0.0129718	0.0147233	0.0131323	0.0290397	0.146051	0.237575	0.513212
a9	0.000185118	0.000222228	0.00049591	0.000633711	0.000929645	0.00116689	0.00195678	0.00382688	0.00450871	0.00367923	0.00844033	0.0109489	0.0116744	0.0375963	0.144753	0.216495	0.552487
a99	0.0014069	0.0011911	0.00142203	0.00162797	0.00197171	0.00193968	0.00270451	0.00415888	0.00443616	0.00365854	0.0104213	0.0144148	0.0181093	0.0534724	0.133944	0.202249	0.542872
a87	0.00544727	0.00415452	0.00434656	0.00437205	0.00463961	0.0041551	0.00576897	0.00784957	0.00590418	0.00333978	0.012825	0.0148317	0.0193218	0.0472777	0.111812	0.250836	0.493118
a23	0.0364884	0.0271266	0.0284255	0.0286481	0.028563	0.0236728	0.0333113	0.036705	0.026623	0.00973111	0.0321385	0.0284451	0.0328984	0.0434268	0.0750967	0.195286	0.313413
a87	0.0142887	0.0107923	0.0124621	0.0120668	0.0155079	0.0152933	0.0287111	0.0411031	0.0309695	0.00734344	0.0243758	0.0199137	0.0187346	0.0271747	0.0850959	0.221387	0.41478
a23	0.00862291	0.00816149	0.0114861	0.0126763	0.0156405	0.0132997	0.0181647	0.0199693	0.0116609	0.00316503	0.011061	0.00934353	0.0113962	0.0194711	0.0863064	0.246879	0.492696
a87	0.022888	0.0152727	0.0180693	0.0206451	0.0292367	0.0280004	0.0413695	0.0472319	0.0334195	0.010058	0.0319829	0.0281073	0.0288365	0.0415793	0.107294	0.19051	0.305499
</S>	0.0191076	0.0117875	0.0126312	0.0135062	0.0172265	0.0152573	0.0190368	0.0220511	0.0125314	0.00402377	0.01263	0.0114564	0.0150732	0.0268054	0.104457	0.234344	0.448074
