 	la	solitude	rend	triste	</S>
a66	0.487204	0.23619	0.12817	0.0939646	0.0544721
a87	0.345953	0.268538	0.221564	0.118392	0.0455527
a23	0.570601	0.270249	0.0701881	0.0458225	0.0431397
a30	0.541694	0.317681	0.0700198	0.0345702	0.0360355
a13	0.570727	0.280857	0.0719601	0.0390405	0.0374154
a83	0.442813	0.364127	0.0891158	0.0442455	0.0596991
a50	0.397677	0.411593	0.116826	0.0417594	0.0321443
a31	0.292747	0.393895	0.199466	0.0698419	0.0440501
a24	0.286104	0.366002	0.218904	0.0773379	0.0516518
a75	0.264498	0.330415	0.256134	0.0913098	0.057643
a92	0.172567	0.232616	0.308991	0.151652	0.134174
a79	0.162156	0.181921	0.299819	0.204472	0.151633
a69	0.124749	0.136887	0.309869	0.262613	0.165883
a58	0.129048	0.124635	0.248798	0.272524	0.224995
a21	0.0514389	0.0536377	0.11653	0.259038	0.519356
a61	0.0403435	0.040549	0.147325	0.332387	0.439396
a96	0.0252265	0.0261921	0.093946	0.303626	0.551009
a88	0.0399574	0.0446937	0.0783595	0.227262	0.609728
a41	0.0208147	0.0302754	0.0641816	0.212057	0.672671
a36	0.0158853	0.0274401	0.0562052	0.196716	0.703753
a27	0.0464529	0.0641984	0.110449	0.243873	0.535027
a30	0.167131	0.132108	0.137336	0.197636	0.365789
a10	0.419736	0.208861	0.115415	0.10852	0.147468
a87	0.312392	0.221394	0.122363	0.125159	0.218692
a23	0.254051	0.235572	0.147141	0.140599	0.222637
a87	0.165631	0.118915	0.0981945	0.162277	0.454983
</S>	0.0541375	0.0482723	0.0673689	0.181013	0.649208
