 	la	souris	sauvage	est	prise	dans	le	piège	</S>
a66	0.375633	0.237793	0.101156	0.098299	0.0793307	0.0444073	0.027848	0.0188743	0.0166592
a87	0.382955	0.184516	0.0761781	0.0695186	0.0791626	0.0580399	0.0497222	0.0483925	0.0515153
a23	0.50711	0.186677	0.0673504	0.0419016	0.0364391	0.0332952	0.0297262	0.0398037	0.057697
a58	0.28092	0.130678	0.067254	0.0592482	0.0658957	0.0670955	0.0747682	0.106975	0.147165
a20	0.176165	0.114281	0.0916106	0.10613	0.111102	0.0884917	0.088923	0.107942	0.115354
a7	0.233892	0.260042	0.138401	0.119386	0.102341	0.0547613	0.0390267	0.0287494	0.0234008
a54	0.161085	0.165681	0.152089	0.143604	0.131526	0.0787865	0.0619408	0.0535869	0.0517001
a36	0.0783068	0.140641	0.14254	0.149939	0.165063	0.105867	0.0857829	0.0686816	0.0631794
a79	0.0608909	0.102734	0.133146	0.136112	0.131662	0.10201	0.104831	0.110039	0.118576
a44	0.09713	0.125624	0.168378	0.145654	0.113309	0.0860211	0.0782051	0.0858197	0.0998593
a66	0.121706	0.119522	0.164205	0.149305	0.114744	0.0844257	0.0722921	0.0784196	0.095381
a71	0.0910207	0.0876397	0.136478	0.13581	0.121633	0.10364	0.0908805	0.10341	0.129488
a9	0.0619811	0.0663048	0.10241	0.115573	0.116794	0.11955	0.113065	0.135422	0.1689
a38	0.0391613	0.0615768	0.0924153	0.106749	0.111328	0.127222	0.133939	0.151714	0.175893
a93	0.0457815	0.0459747	0.0651858	0.076957	0.0871682	0.118681	0.140251	0.188579	0.231422
a4	0.0301404	0.0295344	0.0447893	0.058192	0.080181	0.16505	0.199311	0.192795	0.200007
a93	0.0184073	0.0159006	0.0224447	0.0316193	0.0467594	0.10714	0.190453	0.266043	0.301233
a44	0.00874582	0.00858497	0.0132284	0.0199159	0.0329717	0.0990554	0.195346	0.297765	0.324386
a94	0.00449129	0.00501563	0.00705704	0.00947459	0.0153532	0.0507535	0.133577	0.326552	0.447726
a26	0.00185903	0.00232773	0.00324524	0.00434172	0.00884357	0.0346516	0.110093	0.311837	0.522802
a82	0.0417072	0.0330244	0.0336647	0.03032	0.0395105	0.0742943	0.123384	0.231089	0.393006
a87	0.279494	0.104314	0.064386	0.0446544	0.0498824	0.0713816	0.0884373	0.119723	0.177727
a23	0.375319	0.178513	0.092035	0.0684404	0.0649422	0.0564182	0.0498749	0.0512399	0.0632173
a87	0.202461	0.0938339	0.0369202	0.0237352	0.0268925	0.0584371	0.10525	0.191772	0.260698
</S>	0.0278129	0.014319	0.00930439	0.00878556	0.0140497	0.0461698	0.117646	0.280008	0.481904
