 	cet	homme	soigne	les	maux	de	tête	</S>
a66	0.27524	0.160132	0.157149	0.205676	0.113066	0.0450181	0.0250055	0.0187137
a10	0.286015	0.186916	0.131565	0.109557	0.0965157	0.0692657	0.063021	0.0571448
a87	0.445512	0.193142	0.0822249	0.0547298	0.0383502	0.0434945	0.0610728	0.081474
a97	0.421219	0.234134	0.0847123	0.0455414	0.038062	0.0431238	0.0590053	0.0742017
a99	0.397215	0.23245	0.0992064	0.052716	0.0443631	0.0506752	0.0608871	0.0624869
a53	0.476754	0.225691	0.105897	0.0505394	0.037418	0.0339067	0.0357284	0.0340651
a93	0.383115	0.25199	0.125177	0.0506701	0.0340234	0.0341074	0.0481417	0.0727752
a90	0.294293	0.311201	0.202106	0.0746721	0.0294106	0.0218329	0.0260106	0.0404749
a25	0.171428	0.236768	0.236095	0.140015	0.0540999	0.0395095	0.0471083	0.0749747
a85	0.142685	0.220711	0.275063	0.180114	0.0517958	0.0325077	0.0368677	0.0602554
a6	0.142964	0.222842	0.271916	0.206959	0.0572019	0.0279297	0.0278717	0.0423159
a0	0.137982	0.200278	0.240536	0.220496	0.0747078	0.0382727	0.0366726	0.0510547
a75	0.121885	0.165658	0.21579	0.220391	0.0823411	0.051696	0.0577457	0.0844933
a85	0.0707044	0.099888	0.151486	0.260262	0.149704	0.0827781	0.076493	0.108685
a5	0.046746	0.0631106	0.0940866	0.204687	0.170855	0.110406	0.114341	0.195768
a43	0.0551107	0.057889	0.0783274	0.167837	0.162735	0.142675	0.142409	0.193017
a31	0.0232983	0.0237003	0.0337656	0.1075	0.14802	0.172734	0.209042	0.28194
a62	0.00942526	0.00923892	0.0127681	0.0525606	0.122125	0.198653	0.265649	0.32958
a88	0.00466453	0.00403608	0.00521047	0.0226363	0.0834877	0.162097	0.272055	0.445813
a94	0.00240884	0.00207871	0.00267101	0.0121223	0.0590702	0.151217	0.275761	0.494671
a93	0.000963566	0.00079875	0.00107411	0.00463234	0.031026	0.12467	0.268644	0.568191
a4	0.000851093	0.000763618	0.00099319	0.00543702	0.0277495	0.0995639	0.240472	0.62417
a13	0.000443262	0.000308871	0.000351599	0.00172399	0.0141296	0.0843251	0.251663	0.647054
a11	0.00110176	0.000797268	0.00110704	0.00399946	0.0303409	0.148991	0.299381	0.514281
a90	0.00262828	0.00191555	0.00244662	0.00661876	0.0351864	0.13938	0.285105	0.52672
a20	0.000929166	0.000751178	0.00106873	0.00304145	0.0155831	0.088138	0.245126	0.645362
a7	0.000396327	0.00031981	0.000468422	0.00145743	0.00803491	0.0562614	0.211601	0.72146
a84	0.00325663	0.00227825	0.0028733	0.00599846	0.0188642	0.0783384	0.22897	0.659421
a82	0.0800327	0.0436703	0.0364318	0.0417792	0.0609326	0.11481	0.206338	0.416006
a97	0.149318	0.062721	0.0303029	0.0278985	0.0429784	0.104485	0.211603	0.370693
a99	0.173805	0.0845085	0.0364937	0.0278488	0.0394859	0.0997679	0.207737	0.330354
a97	0.132365	0.0811453	0.0405954	0.0339001	0.0521774	0.116871	0.214354	0.328592
a10	0.149895	0.0730518	0.0344595	0.0406928	0.0645732	0.124256	0.21042	0.302652
</S>	0.144168	0.0757776	0.0385922	0.0451257	0.0677896	0.119884	0.19916	0.309504
