 	les	gens	se	moquent	du	soulard	</S>
a87	0.248325	0.179519	0.17951	0.221165	0.100841	0.0460557	0.0245839
a23	0.353786	0.160405	0.105347	0.0919482	0.107924	0.105021	0.0755698
a87	0.257089	0.196122	0.165327	0.119733	0.075875	0.101458	0.0843957
a23	0.238837	0.218051	0.192644	0.124841	0.0765812	0.091074	0.057972
a87	0.280858	0.250711	0.194599	0.0940664	0.0523077	0.0598562	0.0676018
a23	0.249489	0.229636	0.182701	0.114679	0.0759178	0.0738705	0.0737079
a87	0.30282	0.26152	0.178267	0.0841608	0.0525864	0.0530931	0.0675527
a99	0.237854	0.200111	0.151376	0.108772	0.0895343	0.0826273	0.129724
a54	0.218956	0.191605	0.137679	0.0879046	0.0838754	0.0975525	0.182427
a6	0.433527	0.280546	0.134713	0.0477155	0.0227367	0.0403447	0.0404173
a5	0.331073	0.281281	0.20669	0.0982209	0.0302914	0.0296572	0.0227862
a66	0.316725	0.295937	0.211137	0.0900435	0.0271231	0.0329714	0.0260624
a98	0.222247	0.243342	0.248111	0.117386	0.0442741	0.0754687	0.0491716
a85	0.182087	0.201365	0.239984	0.162543	0.0722737	0.081815	0.0599322
a18	0.188114	0.21872	0.23819	0.149962	0.0720457	0.0738057	0.0591613
a38	0.209304	0.237812	0.28055	0.161955	0.0383731	0.0410842	0.0309209
a61	0.137879	0.173431	0.271269	0.244794	0.0612378	0.058907	0.0524828
a21	0.12286	0.156393	0.261954	0.258258	0.0748949	0.0742044	0.051437
a5	0.157145	0.164383	0.205983	0.187418	0.0940376	0.0985294	0.0925038
a37	0.147242	0.143991	0.151998	0.167872	0.120829	0.125273	0.142795
a94	0.0970601	0.100902	0.128034	0.183576	0.156142	0.165647	0.16864
a56	0.0705769	0.0709454	0.0882466	0.145904	0.178275	0.192674	0.253378
a34	0.0596249	0.0557362	0.0645523	0.102784	0.175025	0.233571	0.308706
a21	0.0479547	0.0432089	0.0477226	0.0735324	0.137777	0.242442	0.407362
a47	0.0693772	0.0524015	0.0430308	0.0479169	0.0901263	0.197905	0.499242
a61	0.0147089	0.0133597	0.0153298	0.0253654	0.0772896	0.284882	0.569064
a75	0.0055309	0.00478246	0.00572235	0.0123652	0.0560822	0.282358	0.633159
a85	0.0150276	0.0119986	0.0129343	0.0208819	0.0632921	0.201565	0.674301
a6	0.00483266	0.00367657	0.00403073	0.00781706	0.0435825	0.210714	0.725346
a37	0.0021773	0.00152466	0.00197763	0.00506869	0.0416283	0.221694	0.72593
a85	0.00142259	0.000983335	0.00100976	0.00304604	0.0490153	0.201274	0.743249
a37	0.00283835	0.00198474	0.00220958	0.00536374	0.0598904	0.241958	0.685756
a44	0.00376229	0.00261217	0.00249569	0.00561464	0.0562186	0.184957	0.744339
a83	0.00184532	0.00150028	0.00175445	0.00470074	0.0505832	0.199143	0.740473
a9	0.00339356	0.00298738	0.00347935	0.00848508	0.0707868	0.205676	0.705191
a10	0.0408955	0.0272283	0.0188585	0.0255822	0.113483	0.238795	0.535158
a87	0.11098	0.0751093	0.0571748	0.0754398	0.161846	0.22683	0.29262
a10	0.105004	0.0705697	0.0616071	0.109792	0.177204	0.244129	0.231693
a99	0.0939525	0.058311	0.0493914	0.0682476	0.123258	0.26198	0.34486
a87	0.031513	0.0205012	0.0227025	0.0429355	0.113682	0.304627	0.464039
</S>	0.0204134	0.0161672	0.0191074	0.0380286	0.115571	0.284348	0.506365
