 	tu	feras	attention	à	la	viande	qui	est	sur	le	feu	</S>
a87	0.174832	0.11242	0.071797	0.0867773	0.0522753	0.0431637	0.0434481	0.0551706	0.0714637	0.0891841	0.101784	0.0976849
a23	0.145185	0.0751493	0.0595873	0.0516135	0.0500157	0.0488471	0.0551362	0.0673613	0.0787074	0.100376	0.123926	0.144095
a79	0.192225	0.134457	0.082116	0.0777345	0.0612226	0.0570809	0.0548744	0.0550166	0.0595616	0.0685048	0.0761706	0.081036
a20	0.302272	0.197391	0.139461	0.116697	0.0662426	0.0460888	0.0312856	0.0240314	0.0184095	0.0167508	0.0197997	0.0215695
a58	0.387355	0.216083	0.167977	0.116522	0.048204	0.0228845	0.0138427	0.00877165	0.00615109	0.00464261	0.00409493	0.00347109
a82	0.367221	0.220518	0.182352	0.103016	0.0479345	0.021665	0.0147144	0.0104969	0.00869079	0.0079458	0.00773127	0.00771475
a38	0.21762	0.193343	0.178276	0.121172	0.0812898	0.0490102	0.0370601	0.028417	0.0237794	0.0223728	0.0230829	0.0245766
a30	0.197202	0.187593	0.194945	0.13261	0.0934613	0.0528907	0.0389162	0.0274453	0.0210305	0.0181721	0.0175394	0.0181941
a73	0.18665	0.200714	0.196943	0.137093	0.0959278	0.0528793	0.0381595	0.0261817	0.019237	0.0160459	0.0149195	0.0152502
a41	0.180333	0.188218	0.177698	0.129217	0.0952824	0.0589828	0.0458677	0.0339933	0.0262019	0.0223285	0.0205791	0.0212988
a94	0.142899	0.166365	0.163133	0.137432	0.10743	0.0755305	0.0591544	0.0448395	0.0338325	0.0266631	0.0220987	0.0206218
a41	0.102861	0.109723	0.111854	0.123134	0.123747	0.103571	0.0880741	0.0715176	0.0542269	0.0425306	0.0346933	0.0340673
a94	0.0804745	0.0871186	0.077588	0.0893023	0.10413	0.112728	0.107189	0.0952623	0.0765964	0.0631791	0.0518821	0.0545495
a98	0.0610907	0.0594883	0.0496976	0.059485	0.0806888	0.113609	0.122149	0.123109	0.102592	0.0846181	0.0690995	0.0743726
a41	0.0417305	0.0417036	0.0354081	0.0375521	0.0550524	0.0993646	0.121826	0.137928	0.128794	0.111244	0.0895096	0.0998877
a24	0.0299336	0.033712	0.0243858	0.0262963	0.041307	0.0884682	0.118256	0.14594	0.146763	0.128583	0.102626	0.11373
a32	0.0177141	0.0188666	0.011639	0.0141335	0.0206804	0.0530151	0.0922591	0.152166	0.175939	0.163785	0.131608	0.148193
a24	0.0171292	0.0169981	0.00984809	0.0113464	0.0161009	0.0412255	0.0744682	0.132961	0.168344	0.175024	0.152468	0.184086
a90	0.00761733	0.00705912	0.00426529	0.00493205	0.00776954	0.0218186	0.0427614	0.0925715	0.153295	0.208216	0.209765	0.239929
a94	0.025103	0.0196057	0.0137772	0.0148386	0.0187749	0.037372	0.0606369	0.112717	0.158949	0.184286	0.166099	0.187841
a41	0.0118366	0.00777849	0.0048923	0.00659752	0.00978188	0.0237581	0.0425061	0.08959	0.147512	0.199752	0.204668	0.251327
a73	0.00612877	0.00523086	0.00433954	0.005935	0.0107171	0.0297007	0.0506344	0.0991139	0.15791	0.198433	0.200923	0.230934
a2	0.0072813	0.00603717	0.00352241	0.00476923	0.00737202	0.020305	0.0359135	0.0768286	0.138559	0.196075	0.220942	0.282394
a57	0.00126298	0.00150907	0.00142474	0.00172666	0.00297647	0.00932624	0.0198482	0.0494454	0.107313	0.187425	0.230544	0.387197
a87	0.00244371	0.0022774	0.0022123	0.00269779	0.00388621	0.00876176	0.0162358	0.0390415	0.100325	0.215099	0.273266	0.333754
</S>	0.0023952	0.00225694	0.00330247	0.00680075	0.0112227	0.029642	0.0423162	0.0736805	0.118731	0.188232	0.220094	0.301326
