 	l'	enseignant	a	recalé	cet	enfant	à	l'	examen	</S>
a87	0.237639	0.142087	0.150083	0.195452	0.110136	0.0508373	0.0427267	0.0315176	0.0217035	0.0178175
a23	0.514284	0.166994	0.0564997	0.0326642	0.031515	0.0255547	0.0299379	0.0456814	0.0484971	0.0483715
a30	0.190203	0.177854	0.135546	0.126945	0.0694678	0.0550297	0.0558016	0.0700019	0.063063	0.0560884
a50	0.279261	0.234294	0.158039	0.0893413	0.0374359	0.033542	0.0393063	0.0481177	0.0409314	0.0397313
a62	0.39957	0.24154	0.144169	0.0377953	0.0151174	0.0195004	0.0297279	0.0433774	0.0385046	0.0306982
a12	0.442695	0.292333	0.122697	0.0295966	0.0127063	0.012794	0.0183504	0.0261468	0.0267076	0.0159742
a0	0.318491	0.317357	0.167398	0.0531105	0.0178415	0.0162011	0.022282	0.0298107	0.0361878	0.0213205
a75	0.190886	0.228824	0.180316	0.103667	0.0449536	0.0368923	0.0452044	0.0539502	0.068851	0.0464562
a79	0.153433	0.234382	0.200593	0.111605	0.0639891	0.0435496	0.0502911	0.0499688	0.0555117	0.0366756
a7	0.0999165	0.191795	0.218502	0.173399	0.0897442	0.0531265	0.0537974	0.0455389	0.0409953	0.0331854
a90	0.0736172	0.125106	0.217601	0.250437	0.094377	0.0535737	0.054885	0.0471501	0.0444001	0.0388538
a92	0.0472601	0.09322	0.196711	0.28857	0.119144	0.0602795	0.0588352	0.0484363	0.0437675	0.0437761
a93	0.0270893	0.0638164	0.177973	0.24913	0.136829	0.0775208	0.0732962	0.0584275	0.0586147	0.0773032
a70	0.0388943	0.0583516	0.123562	0.305823	0.149133	0.0644965	0.0605001	0.0532902	0.0622593	0.0836907
a0	0.022066	0.0268735	0.0585928	0.270732	0.179392	0.0849942	0.0822839	0.0734722	0.083899	0.117695
a62	0.010108	0.0124338	0.0282328	0.264602	0.236226	0.0940839	0.0883111	0.0756114	0.0785331	0.111858
a34	0.0138944	0.0159664	0.030597	0.214197	0.216691	0.103381	0.099208	0.0837554	0.0975442	0.124765
a92	0.0204919	0.0197644	0.0291416	0.166825	0.209126	0.117554	0.114601	0.0982262	0.103672	0.120599
a79	0.0109542	0.0095683	0.0149158	0.0714772	0.144905	0.114036	0.125414	0.13686	0.162533	0.209337
a93	0.00430792	0.00362959	0.0076937	0.0571569	0.187531	0.137794	0.142355	0.134467	0.148047	0.177018
a56	0.00407632	0.0042484	0.00761511	0.0780952	0.172859	0.149859	0.150453	0.129101	0.122245	0.181448
a12	0.00296688	0.00307856	0.00576151	0.0428881	0.148231	0.143847	0.165398	0.15644	0.146936	0.184452
a96	0.00296926	0.00274849	0.0046831	0.0275694	0.114219	0.123126	0.159843	0.166985	0.178624	0.219234
a18	0.00145406	0.00146567	0.00311666	0.0307929	0.109891	0.108777	0.142965	0.160389	0.185841	0.255307
a50	0.00149476	0.00106146	0.00159209	0.0149481	0.0673658	0.0790983	0.126425	0.168115	0.184653	0.355246
a88	0.0020154	0.00160601	0.00245277	0.0171921	0.0637492	0.0658768	0.104621	0.156045	0.213655	0.372787
a38	0.00160738	0.000964924	0.00121796	0.00986525	0.0456262	0.0633209	0.103651	0.156479	0.203799	0.413468
a75	0.000543104	0.000526535	0.000788688	0.00669838	0.0325396	0.0515268	0.0878262	0.14061	0.206609	0.472331
a5	0.000399327	0.000451283	0.00104082	0.00986285	0.0579557	0.0812235	0.120515	0.164133	0.204566	0.359853
a37	0.000409833	0.000415473	0.000819081	0.00770147	0.0335126	0.0556674	0.0919235	0.154247	0.244424	0.410881
a18	0.000245544	0.000270476	0.000506959	0.00662883	0.0281378	0.0421467	0.0663567	0.115388	0.21204	0.528279
a71	0.000254145	0.000254601	0.000394141	0.00384103	0.0156006	0.0241973	0.0443596	0.083846	0.186752	0.6405
a9	0.000325031	0.000247652	0.000258172	0.00140968	0.00917865	0.0207893	0.0399647	0.0792705	0.188854	0.659702
a87	0.00311008	0.00186856	0.00150937	0.00364155	0.0155228	0.0379111	0.0661834	0.121067	0.253808	0.495379
a23	0.0725918	0.0426753	0.0253348	0.0287452	0.0760587	0.102299	0.113055	0.16186	0.183801	0.193578
a87	0.0362871	0.0291924	0.0222657	0.0440291	0.122404	0.132133	0.118047	0.150094	0.132032	0.213516
</S>	0.00570032	0.00750406	0.0128845	0.0402113	0.107266	0.117746	0.105901	0.154752	0.161493	0.286541
