 	la	nuit	notre	mère	nous	récite	des	contes	</S>
a66	0.193057	0.187687	0.200568	0.199219	0.113308	0.0632334	0.0205292	0.0127632	0.00963497
a87	0.367163	0.245799	0.182289	0.110858	0.0514909	0.0190631	0.00828847	0.00748619	0.00756203
a23	0.268923	0.259025	0.211784	0.121344	0.0684266	0.0382355	0.0127113	0.00864755	0.010904
a54	0.274072	0.32001	0.173564	0.0766659	0.0368384	0.0253434	0.019135	0.0269267	0.0474447
a47	0.194478	0.197572	0.208378	0.142969	0.106417	0.0574152	0.0336112	0.0264066	0.0327536
a15	0.180526	0.191811	0.19567	0.171581	0.111022	0.0602361	0.0316357	0.0257147	0.0318034
a7	0.166265	0.173156	0.203401	0.192114	0.136244	0.0617778	0.0308258	0.0190046	0.017212
a79	0.164348	0.185553	0.195013	0.165825	0.129927	0.0804636	0.0433671	0.021262	0.0142421
a92	0.149485	0.173506	0.194122	0.182068	0.143205	0.0928251	0.0404233	0.0156023	0.00876391
a12	0.122444	0.126808	0.139376	0.122185	0.175613	0.203083	0.0765524	0.0242499	0.00968832
a56	0.080926	0.0832887	0.120207	0.111742	0.16514	0.231648	0.122877	0.0537074	0.0304628
a98	0.0574249	0.0624872	0.103814	0.130597	0.205372	0.267816	0.113056	0.0398095	0.0196248
a85	0.0302419	0.029839	0.0743629	0.113378	0.210077	0.279825	0.164243	0.0641364	0.0338966
a6	0.0219498	0.0210628	0.0540675	0.0987348	0.190511	0.265276	0.191864	0.0972416	0.0592931
a5	0.0388395	0.0387685	0.081389	0.134037	0.168317	0.179819	0.164804	0.101654	0.0923716
a43	0.0235992	0.0207988	0.027968	0.0351749	0.0807857	0.173965	0.240547	0.184226	0.212935
a31	0.00760125	0.00544358	0.00635233	0.00755457	0.0179617	0.0527423	0.168408	0.24866	0.485276
a0	0.00190618	0.00116421	0.00106359	0.0013508	0.00455877	0.0223101	0.122423	0.27534	0.569883
a31	0.00184368	0.00144756	0.00145173	0.00227647	0.00430394	0.0102728	0.0479367	0.220759	0.709708
a61	0.0020916	0.00160499	0.00189144	0.00328492	0.00949704	0.0216763	0.0607963	0.231478	0.66768
a56	0.00118057	0.000860535	0.00103846	0.00182915	0.00661021	0.0172233	0.0516529	0.214727	0.704878
a7	0.000323521	0.000229279	0.000295051	0.000667061	0.00306672	0.0109112	0.0472401	0.207422	0.729845
a26	0.000844833	0.000645234	0.00085271	0.00171533	0.00497047	0.0110645	0.0551699	0.22503	0.699707
a82	0.0258631	0.0187659	0.0216996	0.0306711	0.0368925	0.0402901	0.0779316	0.210451	0.537435
a87	0.184355	0.131783	0.156713	0.108346	0.0573999	0.043656	0.0675507	0.104786	0.145412
a23	0.236437	0.211109	0.217375	0.140492	0.0602376	0.0328445	0.0311026	0.033426	0.0369761
a87	0.0465491	0.0308996	0.0304922	0.0212951	0.016222	0.0216727	0.0901801	0.247562	0.495127
a97	0.0103315	0.00626437	0.00701666	0.00584579	0.00981468	0.0250052	0.115853	0.258489	0.56138
</S>	0.0146684	0.0101171	0.0126702	0.0121021	0.0188395	0.0340545	0.120972	0.25615	0.520426
