 	il	a	des	ganglions	dans	l'	aîne	</S>
a23	0.502622	0.187361	0.0813571	0.0786518	0.0552046	0.0402153	0.0317866	0.0228018
a79	0.382453	0.174482	0.123853	0.101277	0.0644528	0.0588516	0.0500488	0.0445827
a15	0.181532	0.113879	0.132759	0.17387	0.129193	0.148996	0.0702051	0.0495647
a14	0.429632	0.249465	0.144841	0.0942399	0.0331405	0.0278397	0.0137055	0.00713623
a41	0.299074	0.297667	0.217128	0.116662	0.0314914	0.021875	0.0107287	0.00537398
a35	0.284352	0.28119	0.211666	0.118461	0.0446644	0.0325586	0.0171016	0.0100074
a26	0.259793	0.263583	0.210255	0.129031	0.0549063	0.0440768	0.0250297	0.0133248
a35	0.170854	0.196952	0.225931	0.194406	0.0793537	0.0683115	0.0397906	0.0244019
a76	0.133477	0.1557	0.209049	0.239329	0.102939	0.0864568	0.0455292	0.0275208
a90	0.163284	0.172821	0.219619	0.204676	0.0897148	0.0743407	0.0461707	0.0293729
a32	0.138625	0.152554	0.214595	0.231262	0.0988048	0.0832898	0.0505197	0.0303488
a11	0.0571008	0.0768861	0.156889	0.281571	0.152014	0.144936	0.0810052	0.0495974
a56	0.0446899	0.0634521	0.125662	0.266159	0.169971	0.179782	0.0954321	0.0548525
a35	0.0517418	0.0704976	0.124615	0.229275	0.158657	0.169006	0.122559	0.0736472
a32	0.047601	0.0532931	0.0841473	0.17986	0.168833	0.194931	0.167471	0.103863
a75	0.0250298	0.0263936	0.0457636	0.127655	0.176731	0.251026	0.207001	0.1404
a35	0.0286798	0.030411	0.0474552	0.106741	0.143457	0.213989	0.234317	0.19495
a76	0.0204366	0.0227755	0.0404831	0.0841681	0.14496	0.221635	0.259002	0.20654
a20	0.0338681	0.0378292	0.0551837	0.0834707	0.127535	0.173517	0.236782	0.251814
a84	0.0176308	0.0175286	0.0353196	0.0762037	0.123602	0.219436	0.268431	0.241849
a87	0.0119525	0.0108777	0.0181424	0.0480552	0.081549	0.178273	0.308896	0.342255
a23	0.0240413	0.0200462	0.0280016	0.0478382	0.110385	0.182448	0.24262	0.34462
a76	0.0152508	0.0106632	0.0181156	0.0590028	0.134048	0.197609	0.256655	0.308656
a44	0.0381738	0.0406461	0.0535961	0.0844145	0.121577	0.163508	0.198639	0.299446
a82	0.00746386	0.00913832	0.0192117	0.0495927	0.110267	0.170973	0.216496	0.416857
a38	0.00153307	0.00198567	0.0055091	0.0252721	0.0796425	0.178537	0.250952	0.456568
a24	0.0026802	0.00303335	0.00743406	0.0287416	0.0733421	0.165193	0.262901	0.456675
a35	0.00260366	0.00296867	0.00825617	0.0312437	0.0820807	0.151973	0.229763	0.491112
a76	0.00249493	0.00225579	0.00569264	0.0203334	0.0660981	0.147208	0.260504	0.495414
a94	0.00391827	0.00414265	0.00898934	0.0233182	0.0743202	0.14712	0.265355	0.472837
a66	0.00198329	0.00172179	0.00427017	0.0141859	0.0407921	0.106434	0.213004	0.617608
a76	0.00147976	0.00101681	0.00236035	0.012076	0.0410821	0.118322	0.229711	0.593952
a35	0.00338443	0.00274715	0.00577344	0.0148687	0.0466788	0.107013	0.220798	0.598737
a25	0.00153618	0.00141702	0.0036659	0.0105022	0.0390587	0.0969809	0.205275	0.641564
a76	0.00131779	0.000939995	0.00210496	0.00798806	0.0328815	0.102335	0.203114	0.649319
a69	0.00247415	0.00206529	0.00495299	0.0160892	0.0476936	0.102821	0.208603	0.6153
a57	0.00401368	0.0032411	0.00635624	0.0177153	0.0420323	0.0974472	0.197326	0.631869
a82	0.00199556	0.00120535	0.00233256	0.00798817	0.0297014	0.0885026	0.206497	0.661777
a87	0.00658058	0.00386392	0.00392933	0.00617004	0.0250554	0.0772496	0.218681	0.65847
</S>	0.0153282	0.0157961	0.0190764	0.0192904	0.0720096	0.135094	0.233683	0.489722
