 	il	a	fait	flétrir	les	légumes	au	soleil	</S>
a23	0.224534	0.182161	0.131954	0.154582	0.112441	0.0726987	0.0478615	0.0372759	0.036491
a13	0.308188	0.225607	0.111821	0.0853672	0.064103	0.0432514	0.0435122	0.0554293	0.0627211
a53	0.271309	0.208703	0.13142	0.0829269	0.0566957	0.0411616	0.0432516	0.0568132	0.10772
a20	0.450132	0.275438	0.128641	0.0720234	0.0336294	0.01718	0.0102561	0.00620261	0.00649778
a44	0.437045	0.296321	0.127651	0.0572184	0.027377	0.018313	0.013116	0.0110797	0.0118783
a57	0.32722	0.286036	0.183153	0.086457	0.0351844	0.0216858	0.017804	0.0195579	0.0229021
a76	0.199066	0.205181	0.215053	0.140789	0.0688903	0.0472339	0.0388236	0.0377212	0.0472417
a44	0.204777	0.200798	0.237319	0.151653	0.067573	0.0395382	0.0310024	0.0315826	0.0357563
a37	0.184444	0.20066	0.244214	0.155997	0.066925	0.0402928	0.0328622	0.035123	0.0394817
a11	0.138645	0.168792	0.244029	0.171391	0.0806211	0.0514705	0.0431302	0.0467799	0.055141
a75	0.104162	0.11865	0.180138	0.156244	0.0955434	0.0761742	0.0717387	0.0852708	0.112079
a47	0.062144	0.0703294	0.120435	0.120958	0.10704	0.111603	0.119645	0.13301	0.154836
a26	0.0741873	0.0754556	0.10486	0.119965	0.110198	0.10976	0.106899	0.128539	0.170135
a57	0.0731765	0.0656784	0.0835516	0.101489	0.088698	0.09921	0.105909	0.145131	0.237157
a11	0.0272343	0.0288611	0.0413373	0.0528921	0.0609089	0.0881048	0.119268	0.203846	0.377548
a96	0.0103329	0.00973416	0.0140929	0.0207629	0.0323407	0.0636987	0.107688	0.241232	0.500118
a93	0.0153125	0.0130962	0.0165889	0.0261873	0.0552729	0.116504	0.153675	0.226367	0.376996
a70	0.00913369	0.00763177	0.0112495	0.0190916	0.0449099	0.115223	0.194698	0.269707	0.328355
a61	0.0055428	0.00420405	0.00622069	0.0096627	0.0215171	0.0625265	0.152805	0.315864	0.421657
a75	0.00293562	0.00231237	0.00356792	0.00592808	0.0139091	0.0427318	0.125846	0.324872	0.477897
a61	0.007114	0.00558211	0.00711392	0.00956754	0.0180901	0.0397153	0.110098	0.297646	0.505073
a0	0.00220716	0.00146341	0.00220273	0.00373752	0.00881822	0.0262352	0.0928531	0.297783	0.5647
a24	0.00344138	0.00222497	0.00300121	0.00520466	0.0116661	0.0310961	0.098742	0.282371	0.562253
a83	0.00416817	0.00260216	0.00238455	0.00363901	0.00872077	0.0279856	0.10737	0.300153	0.542978
a9	0.00172735	0.000986816	0.00117059	0.0018754	0.00472518	0.0163221	0.074357	0.271756	0.627079
a87	0.0165535	0.0112031	0.0127126	0.0163698	0.026888	0.0555505	0.125141	0.268772	0.46681
a23	0.090485	0.0577333	0.0480651	0.0455178	0.0519437	0.0859947	0.141158	0.221424	0.257678
a87	0.037737	0.0232255	0.0250547	0.0288791	0.038714	0.082824	0.163035	0.287766	0.312764
</S>	0.0150676	0.0120209	0.0165964	0.0245805	0.0385783	0.0771513	0.15744	0.296192	0.362373
