 	autrefois	on	éclairait	la	maison	avec	du	feu	</S>
a84	0.189278	0.250971	0.366106	0.101029	0.0412233	0.0175076	0.0116034	0.0107228	0.0115577
a87	0.37788	0.230035	0.211393	0.0531407	0.0330311	0.0209305	0.0208562	0.025589	0.0271445
a23	0.478851	0.244904	0.100161	0.0258385	0.022797	0.021423	0.0246524	0.0380753	0.0432978
a54	0.28663	0.0648129	0.0414667	0.0387882	0.0538627	0.0637187	0.0937196	0.157994	0.199007
a6	0.180138	0.193329	0.283633	0.0977792	0.053424	0.0423448	0.0463559	0.0487027	0.0542926
a36	0.0794008	0.211627	0.31569	0.103699	0.0673875	0.0554145	0.0575273	0.0553885	0.053866
a47	0.092997	0.148465	0.17763	0.127234	0.117285	0.0855692	0.0862024	0.0841623	0.0804555
a85	0.119799	0.172373	0.168596	0.129845	0.11561	0.0795697	0.0741689	0.0709659	0.0690726
a47	0.0880359	0.141522	0.163208	0.139331	0.0989194	0.0871637	0.078411	0.0895251	0.113883
a85	0.105197	0.162801	0.109914	0.149855	0.111267	0.0914913	0.0782682	0.0864968	0.10471
a47	0.0987639	0.161503	0.135736	0.153101	0.105575	0.0787159	0.068592	0.0846529	0.113361
a98	0.0788343	0.171366	0.119189	0.116631	0.0848696	0.0783742	0.0813509	0.110174	0.15921
a47	0.0570844	0.128371	0.149233	0.163023	0.122034	0.0908303	0.0757714	0.0895969	0.124056
a36	0.0347986	0.0873951	0.0964948	0.131675	0.104578	0.097037	0.0960979	0.137156	0.214768
a85	0.0209116	0.054007	0.0848096	0.143144	0.126289	0.120388	0.108451	0.138133	0.203866
a92	0.0129161	0.0500191	0.085698	0.0976083	0.0954314	0.12232	0.121409	0.164053	0.250545
a37	0.0123545	0.0498638	0.0872909	0.0915636	0.0975058	0.141681	0.139932	0.160602	0.219206
a61	0.00828206	0.0232409	0.054046	0.0761233	0.104573	0.1702	0.16736	0.175471	0.220704
a96	0.00560746	0.0121053	0.0255176	0.0281	0.0515919	0.141532	0.205106	0.241005	0.289434
a56	0.00417778	0.00831002	0.0175589	0.0214622	0.0343132	0.0939544	0.16836	0.266245	0.385619
a96	0.00263867	0.00609863	0.0155337	0.0192128	0.0310564	0.0844508	0.163288	0.270238	0.407484
a70	0.00202742	0.00424153	0.0117975	0.0150285	0.0261778	0.0797385	0.169348	0.289933	0.401708
a62	0.000936334	0.00187249	0.00669992	0.0105935	0.0196581	0.05817	0.140983	0.300042	0.461045
a12	0.000996442	0.00184963	0.00624816	0.00880221	0.0171756	0.059609	0.152264	0.313172	0.439883
a75	0.000973194	0.00160504	0.00519047	0.00640281	0.0122212	0.0439869	0.121295	0.299544	0.508781
a6	0.000371371	0.000784257	0.0031451	0.00417686	0.00859573	0.0382969	0.111397	0.298597	0.534635
a36	0.000253496	0.00063763	0.00375353	0.00500898	0.0104414	0.0422368	0.114199	0.292213	0.531256
a2	0.00188751	0.00295091	0.0196448	0.0280327	0.0466718	0.108473	0.162274	0.24098	0.389085
a57	0.015125	0.0230217	0.103359	0.10364	0.103312	0.131521	0.137158	0.153229	0.229634
a87	0.113237	0.108331	0.223198	0.102525	0.0864882	0.0882352	0.0821251	0.084576	0.111284
a23	0.206588	0.22139	0.22712	0.0907191	0.0626093	0.0439793	0.0410841	0.0471383	0.059372
a87	0.185989	0.107346	0.0831658	0.0295945	0.02323	0.0462865	0.0948362	0.17617	0.253382
</S>	0.0148562	0.0137147	0.0297284	0.0155405	0.0184513	0.0573068	0.13208	0.285953	0.432369
