 	quand	un	chien	est	enragé	on	le	rejette	</S>
a87	0.370498	0.232325	0.141276	0.0947809	0.0795988	0.0341536	0.0198528	0.0138103	0.0137045
a23	0.328775	0.193465	0.0960542	0.0744828	0.0940542	0.0630847	0.0455303	0.0425716	0.0619816
a99	0.219376	0.213341	0.134799	0.100794	0.106585	0.0556072	0.0469171	0.0483125	0.0742681
a40	0.240538	0.213124	0.139837	0.0900501	0.0776557	0.0440401	0.0451107	0.0547278	0.0949161
a36	0.393062	0.255322	0.126249	0.058498	0.0365723	0.0215251	0.0248792	0.0316157	0.0522764
a37	0.277081	0.253874	0.163438	0.100393	0.0694251	0.0308334	0.0308088	0.0304948	0.0436515
a5	0.17418	0.198068	0.154604	0.13428	0.138235	0.0585388	0.043178	0.0396947	0.0592215
a56	0.131896	0.176327	0.166759	0.155075	0.156431	0.0663247	0.0411488	0.0384288	0.0676092
a90	0.0990814	0.157614	0.173973	0.183406	0.192858	0.0727413	0.0378678	0.032025	0.0504337
a15	0.0785891	0.135764	0.158612	0.174858	0.174162	0.0828585	0.0512394	0.0537187	0.0901982
a47	0.0574829	0.103321	0.12106	0.147507	0.159209	0.105506	0.0805331	0.0878914	0.137489
a36	0.0444833	0.0804125	0.109866	0.149515	0.157608	0.0969219	0.0812037	0.106963	0.173026
a7	0.0295842	0.0569369	0.0803661	0.138178	0.20016	0.122145	0.0967299	0.113225	0.162675
a44	0.03268	0.0658074	0.0976528	0.158068	0.225601	0.124949	0.0830043	0.0835002	0.128737
a11	0.0211295	0.0364706	0.0597024	0.122541	0.233268	0.149628	0.109425	0.118527	0.149308
a38	0.0303693	0.0480123	0.0648666	0.116172	0.265467	0.146781	0.103371	0.100106	0.124855
a94	0.0231931	0.0444535	0.0708319	0.141317	0.301723	0.15473	0.0853572	0.0729875	0.105406
a62	0.0274514	0.0422368	0.0556175	0.0931663	0.21105	0.13848	0.112758	0.125454	0.193787
a96	0.0334094	0.0515596	0.0687767	0.109329	0.243778	0.162139	0.122244	0.108582	0.100183
a88	0.0349595	0.0558013	0.0718833	0.117308	0.246663	0.158044	0.108801	0.0916245	0.114916
a71	0.0285453	0.0433854	0.057124	0.0937677	0.192161	0.142013	0.129478	0.140737	0.172789
a9	0.0227	0.0323748	0.0453354	0.0817886	0.151735	0.132698	0.125451	0.14368	0.264237
a87	0.0132852	0.0163112	0.0285269	0.060462	0.141815	0.179301	0.166653	0.176505	0.217141
a97	0.0565478	0.0458658	0.0625914	0.0887625	0.130196	0.155853	0.183211	0.152679	0.124293
a99	0.202593	0.138547	0.122613	0.0964205	0.0837887	0.0857051	0.104486	0.0848548	0.0809911
a54	0.0808605	0.0831222	0.0896822	0.0956495	0.0740448	0.0752008	0.101644	0.131828	0.267968
a6	0.0510983	0.0633578	0.0844511	0.0886353	0.081737	0.0790665	0.10081	0.120509	0.330335
a36	0.0383696	0.0707027	0.112271	0.138536	0.125937	0.108761	0.110594	0.107865	0.186964
a37	0.01097	0.0204985	0.0411648	0.0803948	0.101522	0.105516	0.124723	0.164654	0.350556
a61	0.0221333	0.0298986	0.0466969	0.0839797	0.147937	0.118071	0.112294	0.141091	0.297898
a18	0.0188557	0.02325	0.032456	0.0580012	0.11957	0.12395	0.13748	0.169754	0.316683
a54	0.00640314	0.00988132	0.0225507	0.044046	0.108028	0.117126	0.135438	0.199283	0.357244
a15	0.00775224	0.0108908	0.0194227	0.0387953	0.0623068	0.0828844	0.117021	0.213043	0.447884
a7	0.00232402	0.00377073	0.00738649	0.0180706	0.0383838	0.0656968	0.113327	0.241539	0.509501
a20	0.00200753	0.00317449	0.00609394	0.0116666	0.0215871	0.0386318	0.0841166	0.239375	0.593347
a58	0.00597519	0.00993825	0.0184423	0.0318835	0.0467353	0.0617603	0.106624	0.240112	0.478529
a40	0.000743976	0.000969727	0.00221828	0.00476848	0.00950398	0.0221692	0.0559323	0.19556	0.708134
a36	0.00375128	0.00677248	0.0128404	0.0257975	0.0459003	0.062939	0.100747	0.22367	0.517582
a2	0.000940586	0.0012928	0.00276787	0.00610006	0.0126679	0.0264567	0.058908	0.203304	0.687562
a57	0.00283628	0.00225524	0.0033838	0.00451542	0.00832698	0.0238949	0.0644853	0.240313	0.64999
a87	0.0509049	0.0260979	0.0219739	0.0201342	0.0304127	0.0516525	0.127566	0.293794	0.377465
a23	0.122139	0.0718025	0.0600475	0.0509762	0.06554	0.0724241	0.12999	0.208813	0.218268
a87	0.073476	0.0588406	0.061082	0.0709616	0.0797467	0.104181	0.150724	0.191285	0.209703
a23	0.0258444	0.0256677	0.030973	0.0402454	0.0432572	0.0616138	0.117534	0.228212	0.426653
a87	0.0376651	0.0386885	0.0441643	0.0558272	0.0619746	0.0872425	0.143944	0.226484	0.30401
</S>	0.0415817	0.0377232	0.0417928	0.0445351	0.0424433	0.0667721	0.132248	0.244432	0.348472
